date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-16224000.0,144487000.0,299863000.0,252906000.0,103362000.0,346339000.0,319020000.0,220856000.0,190904000.0,118238000.0,18886000.0,35104000.0,27591000.0,16728000.0,12896000.0,8751000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727000.0,1264000.0,-910000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,969013000.0,-14365000.0,1769619000.0,1457480000.0,1344496000.0,1669588000.0,754228000.0,935618000.0,498229000.0,-658160000.0,11111000.0,-131523000.0,-6515000.0,-299630000.0,-38389000.0,926000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130740000.0,-39213000.0,-456000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167255000.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4414000.0,768000.0,842000.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-654975000.0,9011000.0,-71298000.0,0.0,0.0,2060000.0,0.0
,otherNonCashItems,-49045000.0,-37479000.0,27525000.0,78383000.0,67700000.0,55874000.0,-2444000.0,-66430000.0,-12495000.0,0.0,-20313000.0,-2399000.0,-242067000.0,139697000.0,-4091000.0,-94406000.0
,netCashProvidedByOperatingActivites,429438000.0,223838000.0,369106000.0,376201000.0,861869000.0,45464000.0,-1725387000.0,-1811101000.0,-448452000.0,-581609000.0,54838000.0,-74000000.0,-204025000.0,-143890000.0,-30494000.0,-84729000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1757247000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757247000.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106586000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1729258000.0,-1763144000.0,-1449837000.0,-1068629000.0,-1141269000.0,-1486174000.0,-1117369000.0,-195000000.0,-720000000.0,-482000000.0,-268600000.0,-66524000.0,-147325000.0,0.0,0.0,0.0
,commonStockIssued,6146000.0,0.0,0.0,0.0,0.0,146085000.0,973832000.0,1121648000.0,338270000.0,381316000.0,158001000.0,100304000.0,140249000.0,198418000.0,0.0,98424000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-34140000.0,0.0,0.0,0.0,0.0,-1388000.0,-1781000.0,-1023000.0,0.0,-867000.0,0.0,-1463000.0
,dividendsPaid,-239954000.0,-245096000.0,-255911000.0,-333623000.0,-336637000.0,-414833000.0,-377070000.0,-242301000.0,-127564000.0,-91247000.0,-82908000.0,-43257000.0,-24915000.0,-21634000.0,-7663000.0,-2646000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,-13061000.0,-5925000.0,-6270000.0,-1921000.0,-3527000.0,70000.0,0.0
,netCashUsedProvidedByFinancingActivities,-491975000.0,-200498000.0,-603431000.0,-375916000.0,-654097000.0,-69663000.0,1656376000.0,1868250000.0,449785000.0,582020000.0,42887000.0,83387000.0,204580000.0,143890000.0,20907000.0,94315000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-62537000.0,23340000.0,-234325000.0,285000.0,207772000.0,-24199000.0,-69011000.0,57149000.0,1333000.0,411000.0,-8861000.0,9387000.0,0.0,0.0,0.0,9586000.0
,cashAtEndOfPeriod,44561000.0,107098000.0,83758000.0,318083000.0,317798000.0,110026000.0,134225000.0,59974000.0,2825000.0,1492000.0,1081000.0,9942000.0,555000.0,0.0,0.0,9587000.0
