date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,484540000.0,454556000.0,177933000.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,333157000.0,303927000.0,125080000.0,102670.932222,63414.739603,60345.77813,62110.12707,224271.48357,0.0
,grossProfit,151383000.0,150629000.0,52853000.0,-102670.932222,-63414.739603,-60345.77813,-62110.12707,-224271.48357,0.0
,grossProfitRatio,0.312426218681636,0.3313761120742,0.297038773021306,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,18025000.0,15662000.0,18676000.0,10607841.678447,8923462.733031,6479993.280844,8477519.088629,11104225.847632,17272916.748286
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120262.487757
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,19120000.0,16356000.0,19281000.0,13370284.949037,11186215.941601,7462938.68339,9336777.895696,12041536.744972,17490101.860921
,costAndExpenses,352277000.0,320283000.0,144361000.0,13472955.881259,11249630.681204,7523284.46152,9398888.022765,12265808.228542,17490101.860921
,interestExpense,34856000.0,66329000.0,30102000.0,81839.148873,272395.131477,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,649000.0,126000.0,140000.0,102670.932222,63414.739603,60345.77813,62110.12707,224271.48357,95754.162586
,EBITDA,132912000.0,134399000.0,33712000.0,-13370284.949037,-11186215.941601,-7462938.68339,-9336777.895695,-12041536.744972,-17394347.698335
,EBITDARatio,0.274305526891485,0.295670940434182,0.18946457374405,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,132263000.0,134273000.0,33572000.0,-13472955.881259,-11249630.681204,-7523284.46152,-9398888.022765,-12265808.228542,-17490101.860921
,operatingIncomeRatio,0.27296611218888,0.295393746865073,0.188677760730162,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,-16361000.0,-17159000.0,-25763000.0,-66327654.192396,15187109.512932,296097.720655,0.0,0.0,244857.98237
,incomeBeforeTax,82277000.0,53484000.0,-21854000.0,-79161520.720185,3932434.477441,-7105534.689799,-9492404.932521,-12440690.369209,-16852756.12145
,incomeBeforeTaxRatio,0.169804350518017,0.11766207023997,-0.1228215114678,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,41360000.0,16864000.0,-5401000.0,-19336358.901867,4317246.647306,3614769.222818,6082494.811086,2881549.611491,161662.095984
,netIncome,40917000.0,36620000.0,-16453000.0,-59825161.818317,-384812.169865,-10720303.912617,-15574899.743607,-15322239.9807,-17014418.217434
,netIncomeRatio,0.0844450406571181,0.0805621309585618,-0.0924673894106209,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.221494908039555,0.200213221066385,-0.09,-0.349676,-0.002846,-0.094757,-0.150267,-0.170883,-0.195886
,EPSDiluted,0.220302093788961,0.199149544432909,-0.09,-0.349676,-0.002846,-0.094757,-0.150267,-0.170883,-0.195886
,weightedAverageShsOut,184731109.0,182905004.0,181208295.0,172805201.0,135203897.0,111308353.0,101104575.0,91944956.0,85746508.0
,weightedAverageShsOutDil,185731326.0,183881917.0,181208295.0,172805201.0,135203897.0,111308353.0,101104575.0,91944956.0,85746508.0
