date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,25776000000.0,25877000000.0,24492000000.0,20292000000.0,14751000000.0,13104000000.0,13971000000.0,15260000000.0,15190000000.0,15399000000.0,14883000000.0,14208000000.0,12122000000.0,10018000000.0,9762000000.0,9325000000.0,10768000000.0,10570000000.0,10600000000.0,11371000000.0,10915000000.0,9072000000.0,7120000000.0,7152000000.0,7241000000.0,6771000000.0
,costOfRevenue,4138000000.0,4437000000.0,4550000000.0,5033000000.0,3733000000.0,3033000000.0,3030000000.0,3243000000.0,3312000000.0,3426000000.0,3707000000.0,4018000000.0,3316000000.0,2772000000.0,2850000000.0,2762000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,21638000000.0,21440000000.0,19942000000.0,15259000000.0,11018000000.0,10071000000.0,10941000000.0,12017000000.0,11878000000.0,11973000000.0,11176000000.0,10190000000.0,8806000000.0,7246000000.0,6912000000.0,6563000000.0,10768000000.0,25622000000.0,24682000.0,11371000000.0,10915000000.0,0.0,7120000000.0,0.0,7241000000.0,6771000000.0
,grossProfitRatio,0.839463066418374,0.828534992464351,0.814225053078556,0.751971220185295,0.746932411361942,0.768543956043956,0.783122181662014,0.787483617300131,0.781961816984858,0.777518020650692,0.750923872875092,0.717201576576577,0.726447780894242,0.723298063485726,0.708051628764597,0.703806970509383,1.0,2.4240302743614,0.00232849056603774,1.0,1.0,0.0,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,121000000.0,126000000.0,105000000.0,80000000.0,53000000.0,60000000.0,74000000.0,91000000.0,-93000000.0,81000000.0,82000000.0,51000000.0,50000000.0,43000000.0,36000000.0,29000000.0,29000000.0,73000000.0,62000000.0,59000000.0,59000000.0,58000000.0,45000000.0,42000000.0,37000000.0,43000000.0
,GeneralAndAdministrativeExpenses,28300000.0,25300000.0,25400000.0,47700000.0,11400000.0,12600000.0,14900000.0,14800000.0,-14600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,163000000.0,85000000.0,144000000.0,176000000.0,225000000.0,178000000.0,302000000.0,245000000.0,-1314000000.0,-1226000000.0,-1082000000.0,-954000000.0,-898000000.0,-888000000.0,-784000000.0,-252000000.0,292000000.0,-50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
