date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2006-02-22_FY,2005-12-31_FY,2005-02-22_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,41748000000.0,53800000000.0,54722000000.0,45462000000.0,38537000000.0,47011000000.0,55184000000.0,55656000000.0,65875000000.0,60138000000.0,42588000000.0,32396000000.0,51324000000.0,44958000000.0,41517000000.0,36339000000.0,36339000000.0,30251000000.0,30251000000.0,22763000000.0,20152000000.0,20450000000.0,20175000000.0,19702000000.0,20977000000.0,18925000000.0,16522000000.0,16072000000.0,14328000000.0,11615000000.0,10194000000.0,10182000000.0,11436000000.0,11126000000.0,10435000000.0,8180000000.0,7321000000.0,6725000000.0
,costOfRevenue,29671000000.0,37384000000.0,37719000000.0,31695000000.0,28905000000.0,34329000000.0,40391000000.0,41454000000.0,47852000000.0,43578000000.0,30367000000.0,23886000000.0,38415000000.0,32626000000.0,29549000000.0,26558000000.0,26558000000.0,22420000000.0,22420000000.0,17466000000.0,15125000000.0,15219000000.0,14497000000.0,13536000000.0,14166000000.0,12636000000.0,11136000000.0,11318000000.0,10151000000.0,8407000000.0,7790000000.0,7849000000.0,8685000000.0,8256000000.0,7577000000.0,6120000000.0,5516000000.0,4880000000.0
,grossProfit,12077000000.0,16416000000.0,17003000000.0,13767000000.0,9632000000.0,12682000000.0,14793000000.0,14202000000.0,18023000000.0,16560000000.0,12221000000.0,8510000000.0,12909000000.0,12332000000.0,11968000000.0,9781000000.0,9781000000.0,7831000000.0,7831000000.0,5297000000.0,5027000000.0,5231000000.0,5678000000.0,6166000000.0,6811000000.0,6289000000.0,5386000000.0,4754000000.0,4177000000.0,3208000000.0,2404000000.0,2333000000.0,2751000000.0,2870000000.0,2858000000.0,2060000000.0,1805000000.0,1845000000.0
,grossProfitRatio,0.289283318961387,0.305130111524164,0.310715982602975,0.302824336808763,0.249941614552248,0.269766650358427,0.268066830965497,0.255174644243208,0.273593927893738,0.275366656689614,0.286958767727998,0.262686751450796,0.251519756838906,0.274300458205436,0.288267456704483,0.269159855802306,0.269159855802306,0.258867475455357,0.258867475455357,0.232702192153934,0.249454148471616,0.255794621026895,0.281437422552664,0.312963150949142,0.324688945035038,0.332311756935271,0.325989589638058,0.295793927327028,0.291527079843663,0.276194575979337,0.235824995095154,0.229129836967197,0.240556138509969,0.257954341182815,0.273885960709152,0.251833740831296,0.246551017620544,0.274349442379182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1415000000.0,1693000000.0,1850000000.0,1905000000.0,1951000000.0,2165000000.0,2135000000.0,2046000000.0,2466000000.0,2297000000.0,1905000000.0,1421000000.0,1728000000.0,1404000000.0,1347000000.0,1084000000.0,1084000000.0,928000000.0,928000000.0,669000000.0,656000000.0,696000000.0,649000000.0,626000000.0,643000000.0,528000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4642000000.0,5162000000.0,5478000000.0,5177000000.0,4686000000.0,5199000000.0,5697000000.0,5547000000.0,5919000000.0,5203000000.0,4248000000.0,3645000000.0,4399000000.0,3821000000.0,3706000000.0,3190000000.0,3190000000.0,3072000000.0,3072000000.0,2470000000.0,2531000000.0,2567000000.0,2604000000.0,2541000000.0,2561000000.0,2232000000.0,2403000000.0,2098000000.0,1850000000.0,1742000000.0,1719000000.0,1911000000.0,1676000000.0,1573000000.0,1424000000.0,1175000000.0,1120000000.0,1067000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-44000000.0,-257000000.0,-32000000.0,111000000.0,82000000.0,93000000.0,83000000.0,115000000.0,162000000.0,0.0,0.0,0.0,0.0,0.0,0.0,955000000.0,0.0,578000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,7524000000.0,8126000000.0,8710000000.0,9361000000.0,8539000000.0,9426000000.0,9465000000.0,8574000000.0,8870000000.0,7500000000.0,6153000000.0,5066000000.0,6127000000.0,6279000000.0,6024000000.0,955000000.0,5229000000.0,578000000.0,4578000000.0,3609000000.0,3708000000.0,3920000000.0,3253000000.0,4112000000.0,4069000000.0,3498000000.0,3099000000.0,2780000000.0,2533000000.0,2410000000.0,2373000000.0,2513000000.0,2209000000.0,2044000000.0,1858000000.0,1578000000.0,1556000000.0,1543000000.0
