date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-80966000.0,-32436000.0,-47269000.0,14296000.0,-6250000.0,-2864000.0,-1107000.0,-3871000.0
,depreciationAndAmortization,45040000.0,34276000.0,16802000.0,9512000.0,5115000.0,3933000.0,1817000.0,1118000.0
,deferredIncomeTax,-5302000.0,-16353000.0,-3648000.0,-9911000.0,498000.0,290000.0,-422000.0,0.0
,stockBasedCompensation,32555000.0,27278000.0,10361000.0,8752000.0,4250000.0,565000.0,254000.0,89000.0
,changeInWorkingCapital,-33543000.0,66952000.0,-18259000.0,1187000.0,44200000.0,-834000.0,-1011000.0,-220000.0
,accountsReceivables,-2448000.0,1444000.0,-9456000.0,-2132000.0,-633000.0,-1711000.0,-1388000.0,-884000.0
,inventory,-239000.0,-106000.0,-799000.0,116000.0,-607000.0,-264000.0,-792000.0,-337000.0
,accountsPayables,2149000.0,-7809000.0,-778000.0,1288000.0,665000.0,440000.0,1383000.0,801000.0
,otherWorkingCapital,20992000.0,54535000.0,-12417000.0,5842000.0,4655000.0,-39545000.0,-26000.0,-36000.0
,otherNonCashItems,0.0,-9767000.0,49622000.0,-6063000.0,-2897000.0,-636000.0,976000.0,166000.0
,netCashProvidedByOperatingActivites,4818000.0,-5815000.0,15830000.0,18308000.0,6774000.0,3256000.0,870000.0,-2155000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3091000.0,-23163000.0,-10576000.0,-6617000.0,-5696000.0,-1174000.0,-230000.0,-366000.0
,acquisitionsNet,-6807000.0,-159000000.0,-32000000.0,-34000000.0,-5000000.0,-2000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,1000000.0,-1000000.0,0.0,200000.0,300000.0,-500000.0,0.0
,netCashUsedForInvestingActivites,-28734000.0,-180925000.0,-43808000.0,-41068000.0,-10896000.0,-3277000.0,-14916000.0,-845000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1226000.0,-45968000.0,-1051000.0,-36108000.0,-77956000.0,-9375000.0,-1879000.0,-3389000.0
,commonStockIssued,0.0,0.0,0.0,34897000.0,55186000.0,12000.0,59000.0,164000.0
,commonStockRepurchased,0.0,0.0,-2866000.0,-959000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-140352000.0,-2029000.0,-4807000.0,-6942000.0,-2712000.0,-1139000.0,-90000.0
,netCashUsedProvidedByFinancingActivities,5867000.0,208292000.0,42577000.0,28845000.0,6441000.0,-2075000.0,12141000.0,8868000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-18049000.0,21552000.0,14599000.0,6085000.0,2319000.0,-2096000.0,-1905000.0,5868000.0
,cashAtEndOfPeriod,28532000.0,46581000.0,25029000.0,10430000.0,4345000.0,2026000.0,4122000.0,6027000.0
,cashAtBeginningOfPeriod,46581000.0,25029000.0,10430000.0,4345000.0,2026000.0,4122000.0,6027000.0,159000.0
,operatingCashFlow,4818000.0,-5815000.0,15830000.0,18308000.0,6774000.0,3256000.0,870000.0,-2155000.0
,capitalExpenditure,-3091000.0,-23163000.0,-10576000.0,-6617000.0,-5696000.0,-1174000.0,-968000.0,-845000.0
,freeCashFlow,1727000.0,-28978000.0,5254000.0,11691000.0,1078000.0,2082000.0,-98000.0,-3000000.0
