date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,684563000.0,654130000.0,655340000.0,544430000.0,485985000.0,422918000.0,381099000.0,248141000.0,192608000.0,182564000.0,181463000.0,122969000.0,114769000.0,93741000.0,81950000.0,65143000.0,43192000.0,0.0,7574000.0,9344000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,198691000.0,183751000.0,175842000.0,144913000.0,129737000.0,112179000.0,97219000.0,73496000.0,60217000.0,47426000.0,42394000.0,36249000.0,35566000.0,30496000.0,29313000.0,23901000.0,14123000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,3999000.0,4687000.0,4472000.0,3203000.0,3332000.0,2986000.0,2568000.0,1829000.0,2447000.0,0.0,0.0,0.0,0.0,0.0,2383000.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,510000000.0,432000000.0,393000000.0,349000000.0,241000000.0,224000000.0,203000000.0,153000000.0,127000000.0,129000000.0,193000000.0,124000000.0,162000000.0,139000000.0,120000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,93407000.0,154771000.0,124355000.0,64346000.0,30579000.0,21724000.0,18870000.0,14531000.0,21535000.0,30551000.0,34708000.0,39943000.0,59666000.0,73778000.0,60940000.0,36002000.0,11580000.0,0.0,7490000.0,8872000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5844000.0,6324000.0,6455000.0,4207000.0,3132000.0,4079000.0,4630000.0,3624000.0,2761000.0,7187000.0,4654000.0,8163000.0,7878000.0,6439000.0,7031000.0,6206000.0,4038000.0,0.0,0.0,0.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.405664635687292,0.589517374222249,0.603534043397321,0.497920761163051,0.581594082121876,0.516627336741401,0.464900196536858,0.421022724982973,0.511146992855956,0.461985933699963,0.130120189790756,0.31663264725256,0.104871524540599,0.308978995316884,0.282672361195851,0.251462167846123,0.328509909242452,0.0,0.785978346976499,0.23191352739726
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,277703000.0,385621000.0,395520000.0,271083000.0,282646000.0,218491000.0,177173000.0,104473000.0,98451000.0,84342000.0,23612000.0,38936000.0,12036000.0,28964000.0,23165000.0,16381000.0,14189000.0,0.0,5953000.0,2167000.0
,incomeBeforeTaxRatio,0.405664635687292,0.589517374222249,0.603534043397321,0.497920761163051,0.581594082121876,0.516627336741401,0.464900196536858,0.421022724982973,0.511146992855956,0.461985933699963,0.130120189790756,0.31663264725256,0.104871524540599,0.308978995316884,0.282672361195851,0.251462167846123,0.328509909242452,0.0,0.785978346976499,0.23191352739726
