Date,2018-12-31,2017-12-31,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,11079.0,449374.0,0000000.0,000000.0,000000.0,000000.0,000000.0
Short-term investments,0.0,0.0,,,,,
Cash and short-term investments,11079.0,449374.0,,,,,
Receivables,0.0,0.0,,,,,
Inventories,0.0,0.0,,,,,
Total current assets,30193.0,536376.0,69000000.0,000000.0,000000.0,000000.0,000000.0
Property Plant & Equipment Net,0.0,0.0,,,,,
Goodwill and Intangible Assets,0.0,0.0,0,0,0,0,0
Long-term investments,70765966.0,69029443.0,69000000.0,000000.0,000000.0,000000.0,000000.0
Tax assets,0.0,0.0,,,,,
Total non-current assets,70765966.0,69029443.0,64000000.0,000000.0,000000.0,000000.0,000000.0
Total assets,70796159.0,69565819.0,70000000.0,000000.0,000000.0,000000.0,000000.0
Payables,551099.0,85671.0,,,,,
Short-term debt,0.0,0.0,,,,,
Total current liabilities,567410.0,93171.0,0000000.0,000000.0,000000.0,000000.0,000000.0
Long-term debt,690000.0,0.0,,,,,
Total debt,690000.0,0.0,,,,,
Deferred revenue,0.0,0.0,,,,,
Tax Liabilities,16311.0,0.0,,,,,
Deposit Liabilities,0.0,0.0,,,,,
Total non-current liabilities,690000.0,0.0,64000000.0,000000.0,000000.0,000000.0,000000.0
Total liabilities,65796153.0,64565818.0,65000000.0,000000.0,000000.0,000000.0,000000.0
Other comprehensive income,5036213,5102443,,,,,
Retained earnings (deficit),-38932.0,-105033.0,-0000000.0,000000.0,000000.0,000000.0,000000.0
Total shareholders equity,5000006.0,5000001.0,5000000.0,000000.0,000000.0,000000.0,000000.0
Investments,70765966.0,69029443.0,69000000.0,000000.0,000000.0,000000.0,000000.0
Net Debt,678921.0,-449374.0,0,0,0,0,0
Other Assets,0.0,0.0,0,0,0,0,0
Other Liabilities,64538743.0,64472647.0,64000000,0,0,0,0
