Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,75285000.0,74776000.0,42660000.0,64469000.0,128087000.0,62646000.0
Capital Expenditure,-391809000.0,-110051000.0,-90783000.0,-180049000.0,-438139000.0,-317569000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,114690000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-391709000.0,-92503000.0,-79991000.0,-180771000.0,-323235000.0,-164355000.0
Issuance (repayment) of debt,79412000.0,6063000.0,-12003000.0,62000000.0,100000000.0,0.0
Issuance (buybacks) of shares,253517000.0,0.0,67499000.0,0.0,72438000.0,48211000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,312267000.0,6063000.0,51776000.0,50403000.0,167595000.0,44455000.0
Effect of forex changes on cash,-23000.0,-38000.0,-450000.0,150000.0,-101000.0,15000.0
Net cash flow / Change in cash,-4157000.0,-11664000.0,14445000.0,-65899000.0,-27553000.0,-57254000.0
Free Cash Flow,-316524000.0,-35275000.0,-48123000.0,-115580000.0,-310052000.0,-254923000.0
Net Cash/Marketcap,,,,,,
