date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-01-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,2788000000.0,2310000000.0,2828000000.0,2733900000.0,2233400000.0,1892500000.0,1934800000.0,2085200000.0,1715800000.0,1356900000.0,1383600000.0,1054700000.0,1376200000.0,1376000000.0,1704900000.0,2235100000.0,2598900000.0,2849400000.0,2300200000.0,1942700000.0,2359700000.0,2932800000.0,2878600000.0,2297100000.0,2402500000.0,2486000000.0,2843200000.0,3039500000.0,2511300000.0,2184700000.0,1702100000.0,1793300000.0,2009500000.0,1799400000.0,1921600000.0,1506200000.0,1260900000.0
,costOfRevenue,1920000000.0,2007000000.0,2084000000.0,1882000000.0,1724000000.0,1682700000.0,1757800000.0,1636900000.0,1403100000.0,1244200000.0,1187900000.0,994500000.0,1404800000.0,1504000000.0,1667600000.0,1826800000.0,1783300000.0,1741700000.0,1530700000.0,1619700000.0,2122100000.0,2362600000.0,2080100000.0,1853800000.0,2138700000.0,2123500000.0,2250300000.0,2158400000.0,1729700000.0,1620500000.0,1366300000.0,1421800000.0,1480200000.0,1355800000.0,1450700000.0,1197100000.0,1048200000.0
,grossProfit,868000000.0,303000000.0,744000000.0,851900000.0,509400000.0,209800000.0,177000000.0,448300000.0,312700000.0,112700000.0,195700000.0,60200000.0,-28600000.0,-128000000.0,37300000.0,408300000.0,815600000.0,1107700000.0,769500000.0,323000000.0,237600000.0,570200000.0,798500000.0,443300000.0,263800000.0,362500000.0,592900000.0,881100000.0,781600000.0,564200000.0,335800000.0,371500000.0,529300000.0,443600000.0,470900000.0,309100000.0,212700000.0
,grossProfitRatio,0.311334289813486,0.131168831168831,0.263083451202263,0.311606130436373,0.228082743798693,0.110858652575958,0.0914823237543932,0.21499136773451,0.182247348175778,0.0830569680890265,0.141442613472102,0.0570778420403906,-0.0207818631012934,-0.0930232558139535,0.0218781160185348,0.182676390318107,0.313825079841471,0.388748508457921,0.334536127293279,0.166263447778864,0.10069076577531,0.194421713038734,0.277391787674564,0.192982456140351,0.109802289281998,0.145816572807723,0.208532639279685,0.28988320447442,0.311233225819297,0.258250560717719,0.197285705892721,0.207159984386327,0.263398855436676,0.246526619984439,0.24505620316403,0.205218430487319,0.168689031644064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,211000000.0,230000000.0,209300000.0,190400000.0,183600000.0,152800000.0,149500000.0,150200000.0,129400000.0,111200000.0,118800000.0,114400000.0,232100000.0,0.0,139000000.0,166800000.0,151300000.0,166200000.0,182400000.0,181400000.0,164400000.0,234700000.0,219400000.0,183300000.0,168400000.0,139700000.0,121400000.0,125200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-2000000.0,-2000000.0,-5200000.0,1000000.0,200000.0,-500000.0,-3100000.0,900000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
