Date,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06,2013-06
Revenue,10000000.0,46230384.0,43000000.0,44456436.0,46000000.0,44000000.0,42000000.0
Revenue Growth,-0.783692041147657,0.0751252093023256,-0.0327609707624786,-0.0335557391304348,0.0454545454545455,0.0476190476190476,
Cost of Revenue,8000000.0,29362985.0,26000000.0,27503461.0,29000000.0,28000000.0,27000000.0
Gross Profit,2000000.0,16867399.0,16000000.0,16952975.0,17000000.0,17000000.0,16000000.0
R&D Expenses,,0.0,,0.0,,,
SG&A Expense,6000000.0,3374557.0,13000000.0,806037.0,4000000.0,2000000.0,2000000.0
Operating Expenses,6000000.0,4008947.0,13000000.0,1736507.0,4000000.0,2000000.0,2000000.0
Operating Income,-4000000.0,12858452.0,3000000.0,15216468.0,13000000.0,15000000.0,14000000.0
Interest Expense,1000000.0,1297102.0,1000000.0,1183580.0,1000000.0,1000000.0,1000000.0
Earnings before Tax,-7000000.0,11577590.0,-50000000.0,13951321.0,12000000.0,14000000.0,13000000.0
Income Tax Expense,0000000.0,2898019.0,3000000.0,3259147.0,3000000.0,3000000.0,3000000.0
Net Income - Non-Controlling int,,0.0,,0.0,,,
Net Income - Discontinued ops,,0.0,,0.0,,,
Net Income,-7000000.0,8679571.0,-53000000.0,10692174.0,9000000.0,11000000.0,10000000.0
Preferred Dividends,,0.0,,0.0,,,
Net Income Com,-7000000.0,8679571.0,-53000000.0,10692174.0,9000000.0,11000000.0,10000000.0
EPS,-3.08,1.08,-22.30,1.34,5.40,6.94,2
EPS Diluted,-3.08,1.08,-22.30,1.34,5.40,6.94,2
Weighted Average Shs Out,2000000.0,8000000.0,2000000.0,8000000.0,2000000.0,2000000.0,
Weighted Average Shs Out (Dil),2000000.0,8000000.0,2000000.0,8000000.0,2000000.0,2000000.0,
Dividend per Share,,0.0,,0.0,,,
Gross Margin,0.2,0.364855264884,0.37209302325581,0.381339048411,0.3695652173913,0.38636363636364,0.38095238095238
EBITDA Margin,-0.6,0.316049786651,-1.093023255814,0.373508956049,0.32608695652174,0.38636363636364,0.35714285714286
EBIT Margin,-0.6,0.278138550612,-1.1395348837209,0.342278179924,0.28260869565217,0.34090909090909,0.33333333333333
Profit Margin,-0.7,0.187746028672,-1.2325581395349,0.24050902326,0.19565217391304,0.25,0.23809523809524
Free Cash Flow margin,,0.134129169249,,0.272485338231,,,
EBITDA,-6000000.0,14611103.0,-47000000.0,16604877.0,15000000.0,17000000.0,15000000.0
EBIT,-6000000,12858452.0,-49000000,15216468.0,13000000,15000000,14000000
Consolidated Income,-7000000.0,8679571.0,-53000000.0,10692174.0,9000000.0,11000000.0,10000000.0
Earnings Before Tax Margin,-0.7,0.250432486133,-1.1627906976744,0.313820050712,0.26086956521739,0.31818181818182,0.30952380952381
Net Profit Margin,-0.7,0.187746028672,-1.2325581395349,0.24050902326,0.19565217391304,0.25,0.23809523809524
