date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-10-31_FY
,revenue,4357443.0,1185227.0,1562372.0,519622.0,36629276.0,18977794.0,21404469.0,3418371.0,0.0,0.0
,costOfRevenue,11731271.0,3957631.0,5336059.0,3470847.0,19064473.0,16603792.0,11787445.0,957040.0,0.0,0.0
,grossProfit,-7373828.0,-2772404.0,-3773687.0,-2951225.0,17564803.0,2374002.0,9617024.0,2461331.0,0.0,0.0
,grossProfitRatio,-1.6922373970239,-2.33913334745159,-2.41535754609018,-5.6795612964809,0.47952907941724,0.125093675271214,0.449299816781253,0.720030388743644,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1587974.0,1018931.0,3229961.0,8528715.0,9400224.0,11435861.0,8150984.0,5098279.0,5540962.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1587974.0,1018931.0,6079961.0,8528715.0,16853228.0,22261025.0,13679263.0,6136784.0,5540962.0,30928.0
,costAndExpenses,13319245.0,4976562.0,11416020.0,11999562.0,35917701.0,38864817.0,25466708.0,7093824.0,5540962.0,30928.0
,interestExpense,20984.0,51915.0,2371510.0,4870932.0,3140375.0,4245982.0,543283.0,1075.0,153.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,3161198.0,1077321.0,2069712.0,1850268.0,7453004.0,10825164.0,5528280.0,1038505.0,0.0,0.0
,EBITDA,-5800604.0,-2714014.0,-8303968.0,-24716321.0,-6554838.0,-10025161.0,-723792.0,-2636948.0,-5531211.0,-30928.0
,EBITDARatio,-1.33119446427641,-2.28986852307617,-5.31497492274567,-47.5659633348857,-0.178950793349014,-0.528257446571504,-0.0338149944294343,-0.771404859215106,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-8961802.0,-3791335.0,-9853648.0,-11479940.0,711575.0,-19887023.0,-4062239.0,-3675453.0,-5540962.0,-30928.0
,operatingIncomeRatio,-2.05666534249559,-3.19882604766851,-6.30685137726483,-22.0928675075343,0.0194264008930998,-1.04791015225479,-0.189784619277404,-1.07520599724255,0.0,0.0
,totalOtherIncomeExpensesNet,1485969.0,-274270.0,2891542.0,19957581.0,18023640.0,5209284.0,2733115.0,38342.0,-13325.0,0.0
,incomeBeforeTax,-10447771.0,-3517065.0,-12745190.0,-31437521.0,-17312065.0,-25096307.0,-6795354.0,-3713795.0,-5527637.0,-30928.0
,incomeBeforeTaxRatio,-2.397683916921,-2.96741889950195,-8.15758986976213,-60.5007505455889,-0.47262918873963,-1.32240380520518,-0.317473607964767,-1.08642245092765,0.0,0.0
,incomeTaxExpense,0.0,0.0,69134.0,-103952.0,11516807.0,-8156448.0,-4913232.0,0.0,0.0,0.0
,netIncome,-10447771.0,-3517065.0,-12814324.0,-31333569.0,-28665024.0,-16939859.0,-1882123.0,-3450335.0,-6927812.0,-30928.0
,netIncomeRatio,-2.397683916921,-2.96741889950195,-8.20183925467174,-60.3006974300549,-0.782571405451749,-0.892614758069352,-0.0879313100455797,-1.00935065269393,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.13,-0.53,-2.4,-19.2,-30.24,-19.04,-2.56,-6.0,-19.76002,-0.260835097366179
,EPSDiluted,-0.13,-0.53,-2.4,-19.2,-30.24,-19.04,-4.32711,-6.0,-19.881911,-0.260835097366179
,weightedAverageShsOut,81408340.0,6664238.0,5315943.0,1630662.0,948628.0,888049.0,728804.0,575524.0,348448.0,118573.0
,weightedAverageShsOutDil,81408340.0,6664238.0,5315943.0,1630662.0,948628.0,888049.0,728804.0,575524.0,348448.0,118573.0
