date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-12515000.0,51188000.0,66539000.0,63583000.0,52392000.0,34666000.0,27143000.0,82527000.0
,depreciationAndAmortization,191006000.0,181588000.0,168508000.0,160710000.0,155211000.0,171474000.0,145431000.0,70956000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,25495000.0,20857000.0,18785000.0,14100000.0,9729000.0,5483000.0,3720000.0,0.0
,changeInWorkingCapital,-5776000.0,-387088000.0,152295000.0,-28007000.0,521099000.0,10883000.0,26426000.0,3515000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15427000.0
,otherWorkingCapital,5378000.0,452977000.0,840065000.0,687770000.0,715777000.0,194678000.0,183795000.0,157369000.0
,otherNonCashItems,8448000.0,-12209000.0,-13181000.0,-23395000.0,-30372000.0,-30879000.0,-45251000.0,-336211000.0
,netCashProvidedByOperatingActivites,182293000.0,232591000.0,279022000.0,191455000.0,218583000.0,203187000.0,138558000.0,-69906000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-143118000.0,-250256000.0,-243023000.0,-223013000.0,-182376000.0,-142197000.0,-308402000.0,-675913000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-400000000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,-1592000.0,538000.0,-119000.0,9345000.0,-844000.0
,netCashUsedForInvestingActivites,-143118000.0,149744000.0,-643023000.0,-224605000.0,-181838000.0,-142316000.0,-299057000.0,-676757000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-603938000.0,-253790000.0,-266613000.0,-611615000.0,-122305000.0,-1231918000.0,-638908000.0,-350639000.0
,commonStockIssued,0.0,0.0,4749000.0,0.0,611206000.0,0.0,0.0,0.0
,commonStockRepurchased,-143713000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-41378000.0,-76935000.0,-71790000.0,-67725000.0,-56748000.0,-40119000.0,-34074000.0,-162713000.0
,otherFinancingActivites,-33804000.0,-50826000.0,-56729000.0,-72537000.0,-61212000.0,-57881000.0,-58130000.0,-176685000.0
,netCashUsedProvidedByFinancingActivities,257167000.0,-381551000.0,104617000.0,-56877000.0,470941000.0,-59918000.0,145488000.0,744547000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,296342000.0,784000.0,-259384000.0,-90027000.0,507686000.0,953000.0,-15011000.0,9244000.0
,cashAtEndOfPeriod,567939000.0,271597000.0,270813000.0,464344000.0,554371000.0,46685000.0,45732000.0,60743000.0
,cashAtBeginningOfPeriod,271597000.0,270813000.0,530197000.0,554371000.0,46685000.0,45732000.0,60743000.0,51499000.0
,operatingCashFlow,182293000.0,232591000.0,279022000.0,191455000.0,218583000.0,203187000.0,138558000.0,-69906000.0
,capitalExpenditure,0.0,-250256000.0,-243023000.0,-223013000.0,-182376000.0,-142197000.0,-308402000.0,-675913000.0
,freeCashFlow,182293000.0,232591000.0,279022000.0,191455000.0,218583000.0,203187000.0,138558000.0,-69906000.0
