date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1986-12-31_FY,1985-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-25124000.0,-36256000.0,-15191000.0,-11985000.0,6668000.0,5251000.0,-84000.0,-3927000.0,-3007000.0,-3423000.0,-4920000.0,-1852000.0,-332000.0,-1667000.0,-1298000.0,-892000.0,-322000.0,8780000.0,-1740000.0,-20212000.0,-1584000.0,-3000000.0,-1500000.0,100000.0,-2500000.0,300000.0,-4100000.0,100000.0,100000.0,0.0,0.0,300000.0,400000.0,-1300000.0
,depreciationAndAmortization,6696000.0,5675000.0,4641000.0,3779000.0,1174000.0,515000.0,475000.0,457000.0,419000.0,376000.0,348000.0,349000.0,336000.0,371000.0,300000.0,271000.0,269000.0,581000.0,1026000.0,1372000.0,1150000.0,1000000.0,1000000.0,1000000.0,800000.0,800000.0,1000000.0,1100000.0,900000.0,700000.0,700000.0,600000.0,700000.0,900000.0
,deferredIncomeTax,-22000.0,73000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267000.0,0.0,0.0,0.0,0.0,0.0,5850000.0,-611000.0,-1300000.0,-600000.0,0.0,-100000.0,-200000.0,-100000.0,-200000.0,-100000.0,-300000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1076000.0,1970000.0,3295000.0,3090000.0,2273000.0,823000.0,536000.0,378000.0,351000.0,501000.0,476000.0,566000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,29264000.0,-24661000.0,-47898000.0,-17700000.0,-58183000.0,158879000.0,1174000.0,-207000.0,-1894000.0,4347000.0,1974000.0,-1042000.0,2039000.0,-553000.0,-1423000.0,-788000.0,-499000.0,10077000.0,588000.0,-12023000.0,11667000.0,-3600000.0,-8200000.0,-500000.0,-1800000.0,-2500000.0,-3700000.0,-1900000.0,-1000000.0,1300000.0,-2400000.0,0.0,0.0,0.0
,accountsReceivables,-3655000.0,-4047000.0,1894000.0,-7681000.0,1250000.0,-9419000.0,-3370000.0,-369000.0,-409000.0,-53000.0,-275000.0,113000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-6145000.0,-1877000.0,-5275000.0,-5042000.0,-3578000.0,-143000.0,-1206000.0,-716000.0,-559000.0,-372000.0,-493000.0,-325000.0,129000.0,-294000.0,-12000.0,-61000.0,8000.0,-140000.0,-733000.0,1263000.0,-2244000.0,400000.0,-1400000.0,-500000.0,-1600000.0,400000.0,-1100000.0,-1200000.0,-600000.0,0.0,-1100000.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,45038000.0,15774000.0,40435000.0,88333000.0,106033000.0,164216000.0,5337000.0,4163000.0,4370000.0,6264000.0,1917000.0,-57000.0,985000.0,-1054000.0,-501000.0,922000.0,1710000.0,2209000.0,-7868000.0,-8456000.0,3567000.0,-8100000.0,-4500000.0,3700000.0,4200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,16306000.0,9328000.0,9586000.0,8616000.0,7812000.0,568000.0,91000.0,862000.0,-2827000.0,430000.0,298000.0,211000.0,358000.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,100000.0,100000.0,0.0,200000.0,100000.0,-100000.0,-100000.0,-100000.0,-100000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-18419000.0,-13275000.0,400000.0,1098000.0,-15513000.0,-3891000.0,-618000.0,-2373000.0,-2394000.0,-3013000.0,-3619000.0,-722000.0,-668000.0,-377000.0,-877000.0,-235000.0,-468000.0,-724000.0,177000.0,-4063000.0,391000.0,800000.0,2400000.0,500000.0,-2700000.0,-100000.0,-3800000.0,-500000.0,100000.0,2200000.0,-1700000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263000.0,-133000.0,-87000.0,-817000.0,-99000.0,-104000.0,-219000.0,-552000.0,-1064000.0,-600000.0,-600000.0,-900000.0,-2400000.0,-1800000.0,-500000.0,-3400000.0,-1400000.0,-400000.0,-400000.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110000.0,-800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335000.0,500000.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
