date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,103126000000.0,114235075000.0,61534470000.0,31162374000.0,21471402000.0,15700689000.0,11805072000.0,8265640000.0,6049403000.0,5131302000.0,3890332000.0,3399120000.0,2767948000.0,1931856214.05,1352221520.8,967895580.56,563028827.95,178748000.0,1108165000.0,123993000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,38768000000.0,28347054000.0,19713561000.0,9246507000.0,7153453000.0,5122707000.0,3799648000.0,2769129000.0,2156137000.0,1706198000.0,1293289000.0,1003376000.0,825177000.0,589279243.86,395809660.4,254710798.09,133935718.4,0.0,0.0,0.0
,SellingAndMarketingExpenses,432000000.0,472968000.0,362895000.0,232872000.0,197505000.0,143883000.0,128387000.0,103437000.0,92526000.0,190522000.0,143670000.0,108481000.0,-3899000.0,50365424.16,31822599.2,22656845.2,12140302.6,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,225221000.0,241150000.0,144337000.0,111586000.0,77661000.0,64870000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,3225000000.0,2837000000.0,1986000000.0,1861000000.0,2082000000.0,1764000000.0,1580000000.0,1596000000.0,1200000000.0,903000000.0,877000000.0,877000000.0,584000000.0,391000000.0,305000000.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
