Date,2018-12-31,2017-12-31,2016-12-31
Revenue,39555000.0,33882000.0,26949583.0
Revenue Growth,0.167434035771206,0.257236521989969,
Cost of Revenue,0.0,0.0,0.0
Gross Profit,39555000.0,33882000.0,26949583.0
R&D Expenses,0.0,0.0,0.0
SG&A Expense,19422000.0,16473000.0,14188892.0
Operating Expenses,26448000.0,19346000.0,16378696.0
Operating Income,13107000.0,14536000.0,10570887.0
Interest Expense,0.0,0.0,0.0
Earnings before Tax,13107000.0,14536000.0,10503760.0
Income Tax Expense,2238000.0,6846000.0,3571123.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,10869000.0,7690000.0,6932637.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,10869000.0,7690000.0,6932637.0
EPS,0.93,0.74,0.68
EPS Diluted,0.85,0.67,0.63
Weighted Average Shs Out,13687569.0,12826266.0,10000000.0
Weighted Average Shs Out (Dil),13687569.0,12826266.0,
Dividend per Share,0.0,0.0,0.0
Gross Margin,1.0,1.0,1.0
EBITDA Margin,0.347,0.445,0.41
EBIT Margin,0.3314,0.429,0.3898
Profit Margin,0.275,0.227,0.257
Free Cash Flow margin,0.3185,0.295,0.3391
EBITDA,13722000.0,15092000.0,11047552.0
EBIT,13107000.0,14536000.0,10503760.0
Consolidated Income,10869000.0,7690000.0,6932637.0
Earnings Before Tax Margin,0.3314,0.429,0.3898
Net Profit Margin,0.2748,0.227,0.2572
