date,,2020-02-29_FY,2019-03-02_FY,2018-03-03_FY,2017-03-04_FY,2016-02-27_FY,2015-02-28_FY,2014-03-01_FY,2013-03-02_FY,2012-03-03_FY,2011-02-26_FY,2010-02-27_FY,2009-02-28_FY,2008-03-01_FY,2007-03-03_FY,2006-03-04_FY,2005-02-26_FY,2004-02-28_FY,2003-03-01_FY,2002-03-02_FY,2001-03-03_FY,2000-02-26_FY,1999-02-27_FY,1998-02-28_FY,1997-03-01_FY,1996-03-02_FY,1995-03-04_FY,1994-02-26_FY,1993-02-28_FY,1992-02-29_FY,1991-02-28_FY,1990-02-28_FY,1989-02-28_FY,1988-02-29_FY,1987-02-28_FY,1986-02-28_FY
,revenue,21928393000.0,21639557000.0,21528968000.0,22927540000.0,20770237000.0,26528377000.0,25526000000.0,25392000000.0,26121000000.0,25215000000.0,25669000000.0,26289268000.0,24327000000.0,17508000000.0,17271000000.0,16816000000.0,16600000000.0,15801000000.0,15171000000.0,14517000000.0,14681000000.0,12732000000.0,11375100000.0,6970000000.0,5446000000.0,4534000000.0,4059000000.0,4085100000.0,3748400000.0,3447500000.0,3172800000.0,2868300000.0,2486300000.0,1756700000.0,1564100000.0
,costOfRevenue,17201635000.0,16963205000.0,16748863000.0,17862833000.0,15778258000.0,18951645000.0,18203000000.0,18074000000.0,19328000000.0,18522000000.0,18845000000.0,19253616000.0,17689000000.0,12792000000.0,12572000000.0,12609000000.0,12569000000.0,12109000000.0,11742000000.0,11151000000.0,11413000000.0,9396000000.0,8016700000.0,5113000000.0,4017000000.0,3328000000.0,2970000000.0,2891500000.0,2630200000.0,2394200000.0,2199800000.0,1983300000.0,1730000000.0,1209900000.0,1078600000.0
,grossProfit,4726758000.0,4676352000.0,4780105000.0,5064707000.0,4991979000.0,7576732000.0,7323000000.0,7318000000.0,6793000000.0,6693000000.0,6824000000.0,7035652000.0,6638000000.0,4716000000.0,4699000000.0,4207000000.0,4031000000.0,3692000000.0,3429000000.0,3365000000.0,3269000000.0,3335000000.0,3358400000.0,1857000000.0,1429000000.0,1206000000.0,1089000000.0,1193600000.0,1118200000.0,1053300000.0,973000000.0,885000000.0,756300000.0,546800000.0,485500000.0
,grossProfitRatio,0.215554236008083,0.21610202094248,0.222031311486923,0.220900585060587,0.240342900276006,0.285608576808148,0.286883961451069,0.288201008191556,0.260058956395238,0.265437239738251,0.265845962055398,0.267624492245277,0.272865540346117,0.269362577107608,0.27207457587864,0.25017840152236,0.242831325301205,0.233656097715334,0.226023333992486,0.231797203278914,0.222668755534364,0.261938422871505,0.295241360515512,0.266427546628407,0.26239441792141,0.265990295544773,0.268292682926829,0.292183789870505,0.298313947284175,0.305525743292241,0.30666918809884,0.30854513126242,0.304186944455617,0.311265440883475,0.310402148200243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4587336000.0,4592375000.0,4651262000.0,4776995000.0,4581171000.0,6695642000.0,6561000000.0,6601000000.0,6531000000.0,6458000000.0,6603000000.0,6985367000.0,6366000000.0,4370000000.0,4307000000.0,3721000000.0,3624000000.0,3410000000.0,3367000000.0,3458000000.0,3712000000.0,2640000000.0,2394400000.0,1434000000.0,1104000000.0,932000000.0,865000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
