date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,2834000000.0,2782000000.0,2609000000.0,2382957000.0,2092380000.0,2188633000.0,2033735000.0,2151810000.0,2245624000.0,2220132000.0,2955465000.0,2162338000.0,2452504000.0,2315933000.0,1800193000.0,1592359000.0,1585589000.0,1411956000.0,1368495000.0,1092453000.0,1008000000.0,744500000.0,495000000.0,371400000.0,313700000.0,271800000.0,234900000.0,205900000.0,190400000.0,178300000.0,159100000.0,0.0,0.0,0.0,0.0,107000000.0,101800000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175800000.0,143100000.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107000000.0,101800000.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1166000000.0,1120000000.0,1064000000.0,1022206000.0,1007134000.0,988602000.0,950937000.0,929062000.0,938211000.0,825344000.0,850842000.0,810501000.0,799884000.0,751679000.0,573902000.0,531303000.0,491563000.0,478028000.0,441450000.0,349293000.0,346700000.0,249600000.0,160000000.0,118100000.0,103000000.0,93300000.0,79200000.0,66000000.0,58500000.0,56300000.0,49200000.0,0.0,0.0,0.0,0.0,79300000.0,71100000.0
,SellingAndMarketingExpenses,19000000.0,26000000.0,22000000.0,22143000.0,25314000.0,25100000.0,23362000.0,25720000.0,27164000.0,24820000.0,22982000.0,30731000.0,26920000.0,26465000.0,21364000.0,19747000.0,18212000.0,20577000.0,22784000.0,25416000.0,18500000.0,11900000.0,7400000.0,5300000.0,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33683000.0,85355000.0,280463000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,2192000000.0,1890000000.0,1800000000.0,1765000000.0,1739000000.0,1724000000.0,1872000000.0,1917000000.0,2165000000.0,3163000000.0,4942000000.0,3125000000.0,2880000000.0,2435000000.0,1596000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255100000.0,214200000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,411000000.0,251000000.0,127000000.0,86966000.0,118211000.0,172998000.0,245077000.0,306782000.0,432396000.0,592456000.0,617794000.0,1002253000.0,1323374000.0,1053397000.0,548906000.0,330642000.0,303894000.0,420777000.0,642163000.0,822805000.0,617800000.0,432300000.0,330500000.0,218500000.0,203500000.0,155400000.0,110900000.0,114200000.0,154100000.0,166100000.0,161900000.0,0.0,0.0,0.0,0.0,175800000.0,143100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,188000000.0,193000000.0,6000000.0,7853000.0,9247000.0,10923000.0,14375000.0,17010000.0,20070000.0,25517000.0,31674000.0,140201000.0,124973000.0,133771000.0,100667000.0,94777000.0,94536000.0,87093000.0,119614000.0,114972000.0,90600000.0,52100000.0,31500000.0,21900000.0,18100000.0,17700000.0,17000000.0,15800000.0,5300000.0,5400000.0,5400000.0,12400000.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203400000.0,173900000.0
