date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,5755189000.0,5657919000.0,5538640000.0,5435229000.0,5266103000.0,4870818000.0,5170138000.0,4880084000.0,4306432000.0,3957630000.0,3775216000.0,3783155000.0,3650799000.0,3332154000.0,3166853000.0,2641751000.0,2313653000.0,2185802000.0,2048835000.0,2020751000.0,1892703000.0,1405559000.0
,costOfRevenue,1021644000.0,1007964000.0,980080000.0,971147000.0,960192000.0,882803000.0,1040835000.0,1005190000.0,436571000.0,414264000.0,425703000.0,455874000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,4733545000.0,4649955000.0,4558560000.0,4464082000.0,4305911000.0,3988015000.0,4129303000.0,3874894000.0,3869861000.0,3543366000.0,3349513000.0,3327281000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.822482980141921,0.821848987233645,0.823046812936028,0.82132362776251,0.817665548888808,0.818756726282936,0.798683323346495,0.794021988146106,0.898623500847105,0.895325232525527,0.887237445486563,0.87949898959995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,34860000.0,46543000.0,51972000.0,65082000.0,60329000.0,59958000.0,59803000.0,57144000.0,288433000.0,199553000.0,219908000.0,273731000.0,156197000.0,145986000.0,135075000.0,16781000.0,15083000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,150344000.0,151241000.0,150865000.0,142801000.0,134854000.0,136656000.0,126210000.0,118790000.0,107002000.0,97194000.0,99262000.0,96783000.0,94340000.0,88480000.0,92377000.0,69059000.0,61765000.0,61327000.0,64941000.0,65797000.0,65843000.0,50754000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
