Date,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06
Depreciation & Amortization,929000.0,1000000.0,851000.0,1000000.0,707000.0,1000000.0,685000.0,1000000.0,540000.0,1000000.0
Stock-based compensation,375000.0,0000000.0,129000.0,0000000.0,375000.0,0000000.0,561000.0,1000000.0,436000.0,0000000.0
Operating Cash Flow,-1254000.0,-1000000.0,651000.0,1000000.0,1725000.0,2000000.0,-2916000.0,-3000000.0,-6916000.0,-7000000.0
Capital Expenditure,1910000.0,-2000000.0,674000.0,-1000000.0,428000.0,-1000000.0,681000.0,-1000000.0,547000.0,-1000000.0
Acquisitions and disposals,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Investing Cash flow,82000.0,0000000.0,-719000.0,-1000000.0,-561000.0,-1000000.0,-999000.0,-1000000.0,-754000.0,-1000000.0
Issuance (repayment) of debt,-585000.0,-1000000.0,-558000.0,-1000000.0,-476000.0,-0000000.0,-333000.0,-0000000.0,-0.0,-0000000.0
Issuance (buybacks) of shares,-278000.0,,-783000.0,,-4043000.0,,-1679000.0,,-5567000.0,
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Financing Cash Flow,500000.0,0000000.0,-3192000.0,-3000000.0,1301000.0,1000000.0,27000.0,0000000.0,1870000.0,2000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,
Net cash flow / Change in cash,-503000.0,-1000000.0,-3260000.0,-3000000.0,2465000.0,2000000.0,-3888000.0,-4000000.0,-5800000.0,-6000000.0
Free Cash Flow,-3164000.0,-3000000.0,-23000.0,-0000000.0,1297000.0,1000000.0,-3597000.0,-4000000.0,-7463000.0,-8000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,
