date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,63621000.0,83814000.0,80236000.0,52398000.0,40591000.0,47856000.0,32462000.0,26903000.0
,depreciationAndAmortization,12332000.0,9515000.0,7519000.0,6311000.0,14448000.0,7615000.0,5109000.0,4662000.0
,deferredIncomeTax,-25530000.0,-1916000.0,6359000.0,6458000.0,9257000.0,1647000.0,842000.0,351000.0
,stockBasedCompensation,10214000.0,7089000.0,7207000.0,6760000.0,4693000.0,0.0,0.0,0.0
,changeInWorkingCapital,-11434000.0,-32161000.0,-39073000.0,54105000.0,-9418000.0,11899000.0,4625000.0,2529000.0
,accountsReceivables,-74628000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-160323000.0,87749000.0,230476000.0,16360000.0,-186332000.0,-44023000.0,-114709000.0,46923000.0
,netCashProvidedByOperatingActivites,-269287000.0,63905000.0,212208000.0,37610000.0,-245201000.0,-45282000.0,-105607000.0,60961000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5934000.0,-6812000.0,-10144000.0,-4545000.0,-4784000.0,-5918000.0,-5424000.0,-5910000.0
,acquisitionsNet,248447000.0,171032000.0,0.0,-135141000.0,0.0,23995000.0,0.0,0.0
,purchasesOfInvestments,-424971000.0,-151425000.0,-203844000.0,-81353000.0,-316384000.0,-164864000.0,-109709000.0,-125032000.0
,salesMaturitiesOfInvestments,367043000.0,137516000.0,75808000.0,178087000.0,375516000.0,297844000.0,153286000.0,157629000.0
,otherInvestingActivites,124836000.0,-333224000.0,-448321000.0,-224216000.0,-87089000.0,-203372000.0,-67766000.0,-100889000.0
,netCashUsedForInvestingActivites,309421000.0,-182913000.0,-586501000.0,-267168000.0,-32741000.0,-52315000.0,-29613000.0,-74202000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-250000000.0,0.0,-119819000.0,0.0,-11724000.0,-8234000.0,-3011000.0,-4490000.0
,commonStockIssued,978000.0,804000.0,1196000.0,153356000.0,116054000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-14264000.0,-10045000.0,-6137000.0,0.0,-69300000.0,-25350000.0,-14850000.0,-11260000.0
,otherFinancingActivites,1308369000.0,235574000.0,504658000.0,59626000.0,281516000.0,178950000.0,135438000.0,37768000.0
,netCashUsedProvidedByFinancingActivities,1045083000.0,226333000.0,379898000.0,212982000.0,316546000.0,145366000.0,117577000.0,22018000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1085217000.0,107325000.0,5605000.0,-16576000.0,38604000.0,47769000.0,-17643000.0,8777000.0
,cashAtEndOfPeriod,1317898000.0,232681000.0,125356000.0,119751000.0,136327000.0,97723000.0,49954000.0,67597000.0
,cashAtBeginningOfPeriod,232681000.0,125356000.0,119751000.0,136327000.0,97723000.0,49954000.0,67597000.0,58820000.0
,operatingCashFlow,-269287000.0,63905000.0,212208000.0,37610000.0,-245201000.0,-45282000.0,-105607000.0,60961000.0
,capitalExpenditure,-5934000.0,3860000.0,4819000.0,5438000.0,6696000.0,-5918000.0,-5424000.0,-5910000.0
,freeCashFlow,-275221000.0,57093000.0,202064000.0,33065000.0,-249985000.0,-51200000.0,-111031000.0,55051000.0
