date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,2000-01-01_FY,1999-01-02_FY,1998-01-03_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY
,revenue,32218000000.0,25542000000.0,24358000000.0,20918000000.0,18274100000.0,16965400000.0,16889600000.0,13090300000.0,12509900000.0,11725900000.0,10788700000.0,10109700000.0,10498000000.0,9746400000.0,3791617000.0,2633027000.0,2205995000.0,2097135000.0,2086000000.0,2188000000.0,2281000000.0,2471000000.0,3868000000.0,3558000000.0,2933000000.0,2207000000.0,1585300000.0
,costOfRevenue,16214000000.0,14214000000.0,13501000000.0,11473000000.0,9905000000.0,9209500000.0,9397600000.0,7561200000.0,7214400000.0,6913200000.0,6350000000.0,6085000000.0,6291800000.0,5942000000.0,2223557000.0,1438079000.0,1191516000.0,1149120000.0,1159000000.0,1230000000.0,1259000000.0,1378000000.0,2187000000.0,1973000000.0,1658000000.0,1210000000.0,866300000.0
,grossProfit,16004000000.0,11328000000.0,10857000000.0,9445000000.0,8369100000.0,7755900000.0,7492000000.0,5529100000.0,5295500000.0,4812700000.0,4438700000.0,4024700000.0,4206200000.0,3804400000.0,1568060000.0,1194948000.0,1014479000.0,948015000.0,927000000.0,959000000.0,1022000000.0,1093000000.0,1681000000.0,1585000000.0,1275000000.0,998000000.0,719000000.0
,grossProfitRatio,0.49674095226271,0.443504815597839,0.445726250102636,0.451525002390286,0.457976042595805,0.457159866551923,0.443586585827965,0.422381458026172,0.423304742643826,0.410433314287176,0.411421209228174,0.398102812150707,0.400666793674986,0.390338996962981,0.413559702891932,0.453830515220695,0.459873662451637,0.452052442975774,0.444391179290508,0.438299817184644,0.448049101271372,0.442331040064751,0.43459152016546,0.445474985947161,0.434708489601091,0.452197553239692,0.453541916356526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1181000000.0,1003000000.0,967000000.0,888000000.0,754800000.0,692300000.0,691100000.0,395500000.0,376400000.0,340600000.0,287200000.0,246100000.0,249100000.0,238700000.0,170184000.0,152775000.0,134680000.0,146394000.0,155000000.0,172000000.0,177000000.0,171000000.0,367000000.0,337000000.0,301000000.0,270000000.0,103700000.0
,GeneralAndAdministrativeExpenses,6930000000.0,6144000000.0,6057000000.0,5492000000.0,4975900000.0,4612100000.0,4896100000.0,3446300000.0,3354900000.0,3126500000.0,2826200000.0,2668900000.0,2692300000.0,2549100000.0,1110205000.0,761786000.0,626458000.0,568138000.0,565000000.0,620000000.0,647000000.0,673000000.0,938000000.0,841000000.0,689000000.0,481000000.0,373200000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,16313000000.0,-72000000.0,9000000.0,-28000000.0,-4100000.0,-15500000.0,16400000.0,-56000000.0,3700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,24424000000.0,7147000000.0,7024000000.0,6380000000.0,5730700000.0,5304400000.0,5587200000.0,3841800000.0,3731300000.0,3467100000.0,3113400000.0,2915000000.0,2941400000.0,2787800000.0,1280389000.0,914561000.0,761138000.0,714532000.0,772000000.0,924000000.0,756000000.0,994000000.0,1349000000.0,1180000000.0,1028000000.0,772000000.0,539200000.0
,costAndExpenses,24424000000.0,21361000000.0,20525000000.0,17853000000.0,15635700000.0,14513900000.0,14984800000.0,11403000000.0,10945700000.0,10380300000.0,9463400000.0,9000000000.0,9233200000.0,8729800000.0,3503946000.0,2352640000.0,1952654000.0,1863652000.0,1931000000.0,2154000000.0,2015000000.0,2372000000.0,3536000000.0,3153000000.0,2686000000.0,1982000000.0,1405500000.0
,interestExpense,553000000.0,676000000.0,667000000.0,592000000.0,469600000.0,414900000.0,479900000.0,262100000.0,241600000.0,175300000.0,84700000.0,118100000.0,0.0,0.0,0.0,0.0,0.0,0.0,133000000.0,37000000.0,-83000000.0,-59000000.0,59000000.0,82000000.0,134000000.0,75000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
