date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,revenue,57792796000000.0,64785709000000.0,65154636000000.0,60186867000000.0,52939771000000.0,58522268000000.0,64758625000000.0,61864650000000.0,63604151000000.0,68938725000000.0,60637860000000.0,36855001000000.0,41742636000000.0,31625629280529.5,24649558161633.6,26023157798473.3,23158000000000.0,18656250000000.0,14354187420979.6
,costOfRevenue,53072390000000.0,58462100000000.0,57129060000000.0,51915597000000.0,46271465000000.0,52018434000000.0,57465485000000.0,55004591000000.0,56142892000000.0,59823850000000.0,51560675000000.0,31037425000000.0,32562339000000.0,24916755670801.1,18978417400004.7,18568383138176.7,16770000000000.0,14106250000000.0,11337683270166.5
,grossProfit,4720406000000.0,6323609000000.0,8025576000000.0,8271270000000.0,6668306000000.0,6503834000000.0,7293140000000.0,6860059000000.0,7461259000000.0,9114875000000.0,9077185000000.0,5817576000000.0,9180297000000.0,6708873609728.43,5671140761628.87,7454774660296.57,6388000000000.0,4550000000000.0,3016504150813.06
,grossProfitRatio,0.0816781039629922,0.0976080851411227,0.123177359167504,0.137426492061798,0.125960235075441,0.111134346331212,0.112620365240924,0.110888188973832,0.117307736723032,0.132217052172056,0.149695009025714,0.157850382367375,0.219926144577932,0.212134074873849,0.230070686234687,0.286466950630178,0.275844200708179,0.243886097152429,0.210148025962392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,110315000000.0,108352000000.0,125795000000.0,120608000000.0,135508000000.0,175195000000.0,192805000000.0,192321000000.0,212472000000.0,141787000000.0,84382000000.0,94571000000.0,52846442059.6,51480528540.54,52140501666.73,69000000000.0,60000000000.0,0.0
,GeneralAndAdministrativeExpenses,1939602000000.0,1293286000000.0,1280259000000.0,1218739000000.0,1368668000000.0,1375032000000.0,1333637000000.0,1301694000000.0,1225046000000.0,1662985000000.0,2857858000000.0,1396069000000.0,2006368000000.0,1512626407701.15,1240594336691.82,1211325072864.77,1054000000000.0,945000000000.0,966741399434.06
,SellingAndMarketingExpenses,376940000000.0,450892000000.0,476120000000.0,1677001000000.0,1639827000000.0,1819654000000.0,1864603000000.0,1737783000000.0,1734465000000.0,1612128000000.0,108532000000.0,183041000000.0,0.0,103979400969.5,104929477193.97,97402818060.79,48000000000.0,42500000000.0,0.0
,otherExpenses,-243238000000.0,54846000000.0,42866000000.0,142130000000.0,-29876000000.0,-264081000000.0,-24886000000.0,13024000000.0,-4797000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,2316542000000.0,2396156000000.0,2489632000000.0,3591604000000.0,3720476000000.0,3942532000000.0,4175265000000.0,3927534000000.0,3788916000000.0,3660392000000.0,3338876000000.0,1949414000000.0,2006368000000.0,1774678842713.63,1484577304104.84,1435942840504.52,1250000000000.0,1127500000000.0,966741399434.06
,costAndExpenses,55388932000000.0,60858256000000.0,59618692000000.0,55507201000000.0,49991941000000.0,55960966000000.0,61640750000000.0,58932125000000.0,59931808000000.0,63484242000000.0,54899551000000.0,32986839000000.0,34568707000000.0,26691434513514.7,20462994704109.5,20004325978681.2,18020000000000.0,15233750000000.0,12304424669600.6
,interestExpense,2892402000000.0,755711000000.0,741296000000.0,653115000000.0,658726000000.0,788772000000.0,795585000000.0,657681000000.0,871457000000.0,3866695000000.0,656769000000.0,532090000000.0,344686000000.0,240049625977.07,174830124546.66,147754571850.42,186000000000.0,262500000000.0,331759193244.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,3621739000000.0,243508000000.0,213692000000.0,243575000000.0,243011000000.0,273995000000.0,273220000000.0,228496000000.0,218747000000.0,172807000000.0,230699000000.0,123525000000.0,106271000000.0,87256554492.1,69532511099.04,60274807655.33,66000000000.0,68750000000.0,1453177935448.98
,EBITDA,6025603000000.0,4170961000000.0,5749636000000.0,4923241000000.0,3190841000000.0,2835297000000.0,3391095000000.0,3161021000000.0,3891090000000.0,5627290000000.0,5969008000000.0,3991687000000.0,7280200000000.0,5021451321506.9,4256095968623.07,6079106627447.38,5204000000000.0,3491250000000.0,3502940686827.98
,EBITDARatio,0.104262181743206,0.0643808806661358,0.0882459998702164,0.081799256970794,0.0602730412264156,0.0484481736080358,0.0523651482717553,0.0510957550071002,0.0611766675417144,0.081627416230863,0.0984369830993376,0.108307879302459,0.17440681034135,0.158777910060382,0.172664188977131,0.233603726132116,0.224717160376544,0.18713567839196,0.244036153638916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,2403864000000.0,3927453000000.0,5535944000000.0,4679666000000.0,2947830000000.0,2561302000000.0,3117875000000.0,2932525000000.0,3672343000000.0,5454483000000.0,5738309000000.0,3868162000000.0,7173929000000.0,4934194767014.8,4186563457524.03,6018831819792.05,5138000000000.0,3422500000000.0,2049762751379.0
,operatingIncomeRatio,0.0415945267642009,0.0606222122227604,0.0849662332546835,0.077752277751889,0.0556827115855866,0.0437662805549505,0.0481460963694025,0.0474022725417504,0.0577374737695972,0.0791207409188377,0.0946324458020121,0.104956231041752,0.171860948120286,0.156018864423121,0.169843346889694,0.231287527301747,0.22186717333103,0.183450586264657,0.142798940216089
