date,,2021-03-27_FY,2020-03-28_FY,2019-03-30_FY,2018-03-31_FY,2017-03-25_FY,2016-03-26_FY,2015-03-28_FY,2014-03-29_FY,2013-03-30_FY,2012-03-31_FY,2011-03-26_FY,2010-03-27_FY,2009-03-28_FY,2008-03-29_FY,2007-03-31_FY,2006-03-25_FY,2005-03-26_FY,2004-03-27_FY,2003-03-29_FY,2002-03-30_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,34319000.0,58024000.0,79752000.0,63935000.0,61526000.0,66805000.0,61799000.0,54500000.0,42600000.0,54612000.0,45800000.0,33200000.0,24100000.0,21900000.0,22271000.0,22700000.0,19700000.0,16500000.0,13300000.0,10900000.0,9696000.0,8207000.0,4700000.0,9900000.0,10200000.0,7600000.0,9100000.0,7400000.0,6200000.0,5700000.0
,depreciationAndAmortization,77304000.0,64986000.0,55531000.0,49335000.0,44629000.0,39769000.0,35721000.0,31700000.0,27500000.0,23583000.0,22400000.0,22500000.0,20400000.0,20400000.0,20322000.0,17800000.0,15700000.0,14000000.0,12900000.0,12800000.0,12963000.0,13058000.0,11800000.0,9300000.0,8100000.0,6800000.0,5500000.0,4900000.0,4000000.0,3400000.0
,deferredIncomeTax,10854000.0,11473000.0,12517000.0,15485000.0,11256000.0,6589000.0,6338000.0,4500000.0,-400000.0,3162000.0,2600000.0,1000000.0,2500000.0,-1300000.0,816000.0,-800000.0,1900000.0,2000000.0,-200000.0,600000.0,2725000.0,1736000.0,700000.0,200000.0,200000.0,-300000.0,200000.0,-300000.0,0.0,-200000.0
,stockBasedCompensation,2391000.0,3800000.0,4022000.0,2858000.0,2483000.0,2750000.0,3264000.0,3551000.0,3084000.0,2695000.0,2299000.0,1977000.0,1730000.0,1761000.0,0.0,297000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,60384000.0,319624000.0,8209000.0,-86000.0,10833000.0,-16987000.0,-11909000.0,3100000.0,3794000.0,5106000.0,-5300000.0,-5700000.0,-4200000.0,6272000.0,-3072000.0,4300000.0,-2500000.0,7700000.0,9500000.0,-798000.0,1535000.0,-6437000.0,4600000.0,3900000.0,800000.0,2000000.0,-1100000.0,-200000.0,-300000.0,-1200000.0
,accountsReceivables,-814000.0,107000.0,-1361000.0,-88000.0,-74000.0,-1477000.0,168000.0,107000.0,-511000.0,153000.0,101000.0,671000.0,65000.0,109000.0,0.0,436000.0,-187000.0,-73000.0,-700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,26570000.0,-11841000.0,-9126000.0,-8399000.0,5044000.0,1555000.0,805000.0,-5192000.0,-5968000.0,4589000.0,-12887000.0,-655000.0,-5260000.0,-2820000.0,-974000.0,-4592000.0,-4870000.0,840000.0,-6500000.0,-3700000.0,-1330000.0,-1042000.0,-4400000.0,-7500000.0,-3500000.0,-2700000.0,-1900000.0,-1400000.0,-1500000.0,-1400000.0
,accountsPayables,12874000.0,-4090000.0,19037000.0,5151000.0,9605000.0,7079000.0,9599000.0,-7685000.0,15657000.0,4048000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4300000.0,-1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,341084000.0,21460000.0,13251000.0,13337000.0,2504000.0,19491000.0,31400000.0,28300000.0,24506000.0,19400000.0,24700000.0,30400000.0,34600000.0,28328000.0,31400000.0,27100000.0,29600000.0,21900000.0,12400000.0,13198000.0,11663000.0,18100000.0,13500000.0,9600000.0,8800000.0,6800000.0,7900000.0,8100000.0,8400000.0
,otherNonCashItems,0.0,10135000.0,4078000.0,0.0,2568000.0,2701000.0,3022000.0,3500000.0,3000000.0,54612000.0,600000.0,800000.0,-2200000.0,-100000.0,12000.0,-700000.0,200000.0,0.0,1500000.0,900000.0,0.0,0.0,200000.0,0.0,0.0,0.0,-200000.0,0.0,-200000.0,-100000.0
,netCashProvidedByOperatingActivites,184905000.0,121329000.0,152891000.0,121235000.0,129935000.0,126504000.0,126349000.0,93900000.0,84400000.0,82626000.0,65500000.0,86500000.0,48600000.0,37000000.0,38337000.0,35800000.0,37600000.0,32800000.0,27400000.0,24000000.0,21393000.0,22581000.0,8700000.0,14200000.0,19400000.0,12500000.0,14700000.0,11800000.0,9500000.0,7500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-55918000.0,-44468000.0,0.0,-34640000.0,-36834000.0,-34750000.0,-32150000.0,-34185000.0,0.0,143000.0,780000.0,-1062000.0,-1670000.0,-22319000.0,3015000.0,1986000.0,2212000.0,-14800000.0,-8600000.0,-11045000.0,-14265000.0,-43900000.0,-25400000.0,-27600000.0,-25600000.0,-20300000.0,-14400000.0,-14700000.0,-9300000.0
,acquisitionsNet,0.0,-104436000.0,-62427000.0,-23000000.0,-142567000.0,-49018000.0,-84367000.0,-27467000.0,-163326000.0,-39000000.0,-10193000.0,-46103000.0,0.0,-20243000.0,-13000000.0,-1000000.0,-4539000.0,-25506000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800000.0,-3000000.0,-8200000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,1600000.0,6000000.0,8400000.0
,otherInvestingActivites,2619000.0,1543000.0,1012000.0,4071000.0,1583000.0,2625000.0,409000.0,3916000.0,3037000.0,2102000.0,0.0,0.0,0.0,0.0,5450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2400000.0,0.0,100000.0,-400000.0,0.0
