date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,3821100000.0,4015800000.0,4313500000.0,4301500000.0,3992400000.0,3800600000.0,4144700000.0,4476100000.0,4342700000.0,4124600000.0,4083900000.0,4341400000.0,4189700000.0,4572300000.0,4467400000.0,4326500000.0,4330000000.0,4707700000.0,4450400000.0,5492000000.0,5581400000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,252600000.0,238200000.0,233200000.0,237300000.0,231000000.0,205200000.0,242400000.0,234000000.0,226600000.0,0.0,0.0,0.0,0.0,0.0,184000000.0,186000000.0,195500000.0,70500000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,3582000000.0,4425000000.0,3684000000.0,3440000000.0,3317000000.0,3636000000.0,3902000000.0,3872000000.0,3701000000.0,3739000000.0,4028000000.0,4101000000.0,3883000000.0,3604000000.0,3762000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,3476800000.0,3741600000.0,4578300000.0,3821000000.0,3639200000.0,3432900000.0,3969600000.0,4171300000.0,4187000000.0,3745400000.0,3790400000.0,4167800000.0,4177300000.0,4745300000.0,4315100000.0,3823100000.0,3875900000.0,2386000000.0,6082600000.0,5735400000.0,6358900000.0
