date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-9843000.0,5451000.0,42017000.0,27523000.0,20121000.0,23802000.0,22974000.0,16570000.0,19710000.0,23044000.0,12460000.0,22530000.0,20727000.0,15588000.0,12301000.0,15778000.0,17932000.0,17295398.0,11310030.0,6735978.0,826557.0,3200000.0,2500000.0,800000.0,2200000.0,1200000.0,1300000.0,1800000.0,1200000.0,1300000.0
,depreciationAndAmortization,106816000.0,104356000.0,69546000.0,53582000.0,43755000.0,37425000.0,35929000.0,32542000.0,22534000.0,19194000.0,14856000.0,12271000.0,10240000.0,9309000.0,8100000.0,5642000.0,4492000.0,4228178.0,4381137.0,4564457.0,4319682.0,3600000.0,2800000.0,2700000.0,2400000.0,1700000.0,1600000.0,1400000.0,1100000.0,500000.0
,deferredIncomeTax,-11295000.0,-12436000.0,2052000.0,-1304000.0,-962000.0,3450000.0,3870000.0,1359000.0,549000.0,1677000.0,-953000.0,1791000.0,-183000.0,984000.0,376000.0,2574000.0,-48000.0,429985.0,1293735.0,-45152.0,389635.0,500000.0,400000.0,0.0,0.0,-200000.0,0.0,100000.0,0.0,0.0
,stockBasedCompensation,14339000.0,9382000.0,6117000.0,4075000.0,2506000.0,2243000.0,1460000.0,1467000.0,1917000.0,1644000.0,1294000.0,1182000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-28179000.0,18391000.0,53990000.0,45409000.0,38999000.0,-817000.0,16589000.0,11329000.0,-865000.0,17732000.0,14419000.0,-26577000.0,24089000.0,5222000.0,11279000.0,-11251000.0,-1986551.0,22348285.0,7670945.0,-5535686.0,-1552993.0,18200000.0,1000000.0,2000000.0,3300000.0,500000.0,-1200000.0,2800000.0,4500000.0,-1600000.0
,accountsReceivables,10425000.0,-17900000.0,-27522000.0,-12844000.0,-6816000.0,-5872000.0,-13599000.0,-6445000.0,-6576000.0,-3323000.0,-2088000.0,-2131000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,29429000.0,-27044000.0,-28172000.0,-17834000.0,-3656000.0,-13113000.0,-9396000.0,2334000.0,-8965000.0,-9314000.0,-7614000.0,-6882000.0,-4036000.0,5056000.0,-6045000.0,-8470000.0,-1634000.0,-2570163.0,2124399.0,4449812.0,2274934.0,-7200000.0,-3300000.0,-100000.0,-1700000.0,-3800000.0,-2400000.0,-1000000.0,-2500000.0,-1600000.0
,accountsPayables,333000.0,-2295000.0,15726000.0,417000.0,-6835000.0,14766000.0,5326000.0,-5000.0,7721000.0,-2129000.0,5643000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,244703000.0,272882000.0,254491000.0,200501000.0,155092000.0,116093000.0,116910000.0,100321000.0,88992000.0,89857000.0,72125000.0,57706000.0,84283000.0,60194000.0,54972000.0,43693000.0,54944000.0,56930551.0,34582266.0,26911321.0,32447007.0,34000000.0,15800000.0,14800000.0,12800000.0,9500000.0,9000000.0,10200000.0,7400000.0,2900000.0
,otherNonCashItems,-7236000.0,1107000.0,1306000.0,12674000.0,1243000.0,1816000.0,812000.0,706000.0,2276000.0,25863000.0,12594000.0,-833000.0,-391000.0,875000.0,1316000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,100000.0,-100000.0,0.0,100000.0,0.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,165270000.0,77813000.0,86533000.0,62727000.0,53599000.0,69458000.0,53325000.0,51373000.0,46938000.0,34015000.0,34760000.0,30070000.0,27967000.0,32119000.0,19106000.0,11094000.0,30016000.0,24837398.0,21355029.0,18368095.0,7127597.0,300000.0,1700000.0,1700000.0,3400000.0,-1800000.0,400000.0,1200000.0,-800000.0,300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-45988000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59195000.0,-23648000.0,-18478000.0,-14908000.0,-16738000.0,-14998000.0,-40741000.0,-27915000.0,-8165678.0,-7954191.0,-4091399.0,-4690107.0,-16300000.0,-4200000.0,-1100000.0,-2700000.0,-2500000.0,-3500000.0,-1400000.0,-2000000.0,-2600000.0
,acquisitionsNet,-10953000.0,-54000000.0,-302000000.0,-106000000.0,-125000000.0,-12000000.0,-6000000.0,-32000000.0,-193000000.0,-10000000.0,-98000000.0,-46000000.0,-5000000.0,-5000000.0,-4000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2503000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,1089000.0,0.0,0.0,0.0,3248000.0,0.0,9673000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,250000.0,0.0,-10750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-308000.0,-293000.0,-718000.0,-416000.0,-102655.0,-97467.0,-263427.0,-406229.0,0.0,-500000.0,-500000.0,-500000.0,1800000.0,-500000.0,-2900000.0,-800000.0,-700000.0
