date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-06-27_FY,2006-06-06_FY,2005-05-27_FY,2003-12-31_FY
,revenue,867888000.0,1167381000.0,1274378000.0,1068791000.0,951864000.0,1175780000.0,1285441000.0,1563527000.0,1556624000.0,1103768000.0,881507000.0,815363000.0,786428000.0,344416000.0,344416000.0,336939000.0,234203000.0
,costOfRevenue,799582000.0,982957000.0,980254000.0,824973000.0,951797000.0,949529000.0,1016779000.0,943220000.0,602806000.0,503975000.0,422527000.0,371800000.0,233040000.0,172124000.0,172124000.0,159828000.0,83687000.0
,grossProfit,68306000.0,184424000.0,294124000.0,243818000.0,67000.0,226251000.0,268662000.0,620307000.0,953818000.0,599793000.0,458980000.0,443563000.0,553388000.0,172292000.0,172292000.0,177111000.0,150516000.0
,grossProfitRatio,0.0787037037037037,0.157980984785601,0.230798083457185,0.228125049705695,7.03882067186069e-05,0.192426304240589,0.20900375824328,0.396735713550198,0.612747844052257,0.543404954664386,0.520676523272078,0.54400677980237,0.703672809208217,0.500243891108427,0.500243891108427,0.525647075583414,0.642673236465801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49593000.0,0.0,0.0,0.0,0.0,39654000.0,39654000.0,38736000.0,0.0
,GeneralAndAdministrativeExpenses,71519000.0,74715000.0,80264000.0,77124000.0,82281000.0,96965000.0,92426000.0,99243000.0,75170000.0,144876000.0,128406000.0,70601000.0,150408000.0,28203000.0,28203000.0,17978000.0,80775000.0
,SellingAndMarketingExpenses,24313000.0,27522000.0,24088000.0,21733000.0,19481000.0,16605000.0,16035000.0,18090000.0,11617000.0,9375000.0,10047000.0,15386000.0,0.0,4624000.0,4624000.0,5435000.0,0.0
,otherExpenses,45954000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224980000.0,224980000.0,3383000.0,0.0
,operatingExpenses,193163000.0,136535000.0,153595000.0,111781000.0,136726000.0,164655000.0,129766000.0,198456000.0,245735000.0,162208000.0,168458000.0,141218000.0,150948000.0,76264000.0,76264000.0,70967000.0,-112460000.0
,costAndExpenses,992745000.0,1119492000.0,1133849000.0,936754000.0,1088523000.0,1114184000.0,1146545000.0,1141676000.0,848541000.0,666183000.0,590985000.0,513018000.0,383988000.0,248388000.0,248388000.0,230795000.0,-28773000.0
,interestExpense,28798000.0,32269000.0,29145000.0,24126000.0,23926000.0,11318000.0,10970000.0,8290000.0,11823000.0,12271000.0,15090000.0,33934000.0,0.0,1689000.0,1689000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,3825000.0,1295000.0,0.0,0.0,2575000.0,121000.0,3956000.0,39000.0,118322000.0,71694000.0,73536000.0,62993000.0,36345000.0,193587000.0,193587000.0,179441000.0,17250000.0
,EBITDA,-121032000.0,49184000.0,153955000.0,-233749000.0,-134084000.0,61717000.0,142852000.0,421890000.0,826405000.0,509279000.0,364058000.0,365338000.0,438785000.0,289615000.0,289615000.0,285585000.0,280226000.0
,EBITDARatio,-0.139455782312925,0.0421319175145047,0.120807954939586,-0.218704124566917,-0.140864661338174,0.052490261783667,0.111130732565711,0.269832244662228,0.530895707633957,0.461400402983236,0.41299501875765,0.448067915762673,0.557946817763355,0.840887182941559,0.840887182941559,0.847586655151229,1.19650901141318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-124857000.0,47889000.0,140529000.0,132037000.0,-136659000.0,61596000.0,138896000.0,421851000.0,708083000.0,437585000.0,290522000.0,302345000.0,402440000.0,96028000.0,96028000.0,106144000.0,262976000.0
,operatingIncomeRatio,-0.143863033018085,0.0410225967357701,0.11027261926995,0.123538652552276,-0.143569879730718,0.0523873513752573,0.108053189527952,0.269807301057161,0.454883774116293,0.396446535866233,0.32957424047682,0.370810301669318,0.511731525327176,0.278813992381306,0.278813992381306,0.315024381267826,1.12285495915936
,totalOtherIncomeExpensesNet,103264000.0,3183000.0,-19058000.0,-362683000.0,-198313000.0,-23200000.0,-122089000.0,462337000.0,463980000.0,410183000.0,685000.0,300831000.0,-140590000.0,224980000.0,224980000.0,147945000.0,-170469000.0
,incomeBeforeTax,-43535000.0,22475000.0,92545000.0,-255237000.0,-351256000.0,35486000.0,12460000.0,885384000.0,1172067000.0,843700000.0,733540000.0,171958000.0,435056000.0,321008000.0,321008000.0,834174000.0,10251000.0
