date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,304573000.0,260352000.0,226743000.0,176737000.0,132923000.0,111204000.0,88996000.0
,costOfRevenue,88766000.0,93841000.0,84925000.0,64597000.0,50123000.0,48481000.0,36797000.0
,grossProfit,215807000.0,166511000.0,141818000.0,112140000.0,82800000.0,62723000.0,52199000.0
,grossProfitRatio,0.708555912704015,0.639561055801377,0.625457015211054,0.634502113309607,0.622917027151057,0.564035466350131,0.586531978965347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,70241000.0,58043000.0,44724000.0,34835000.0,22994000.0,16750000.0,13488000.0
,GeneralAndAdministrativeExpenses,53152000.0,41496000.0,37821000.0,27150000.0,17039000.0,12515000.0,23373000.0
,SellingAndMarketingExpenses,130316000.0,117440000.0,105992000.0,81966000.0,54137000.0,38300000.0,29088000.0
,otherExpenses,5786000.0,941000.0,-2295000.0,2038000.0,-1792000.0,-1579000.0,-2086000.0
,operatingExpenses,253709000.0,216979000.0,188537000.0,143951000.0,94170000.0,67565000.0,65949000.0
,costAndExpenses,342475000.0,310820000.0,273462000.0,208548000.0,144293000.0,116046000.0,102746000.0
,interestExpense,478000.0,367000.0,198000.0,473000.0,982000.0,188000.0,19000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5851000.0,4742000.0,2021000.0,886000.0,764000.0,763000.0,610000.0
,EBITDA,-32051000.0,-45726000.0,-44698000.0,-30925000.0,-10606000.0,-4079000.0,-13140000.0
,EBITDARatio,-0.105232571501742,-0.17563145280236,-0.197130672170695,-0.174977508953982,-0.0797905554343492,-0.0366803352397396,-0.147647085262259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-37902000.0,-50468000.0,-46719000.0,-31811000.0,-11370000.0,-4842000.0,-13750000.0
,operatingIncomeRatio,-0.124443072760882,-0.193845255653884,-0.206043846998584,-0.179990607512858,-0.085538243945743,-0.0435415992230495,-0.154501325902288
,totalOtherIncomeExpensesNet,5786000.0,941000.0,-2295000.0,2038000.0,-1792000.0,-1579000.0,-2086000.0
,incomeBeforeTax,-32594000.0,-49894000.0,-49212000.0,-30246000.0,-14144000.0,-6609000.0,-15855000.0
,incomeBeforeTaxRatio,-0.107015395323945,-0.191640548180924,-0.217038673740755,-0.171135642225454,-0.106407468985804,-0.0594313154203086,-0.17815407434042
,incomeTaxExpense,883000.0,820000.0,239000.0,761000.0,-1683000.0,378000.0,1204000.0
,netIncome,-33477000.0,-50714000.0,-49451000.0,-31007000.0,-12461000.0,-6987000.0,-17059000.0
,netIncomeRatio,-0.109914536088228,-0.194790130285152,-0.218092730536334,-0.175441475186294,-0.0937460033252334,-0.0628304737239668,-0.191682772259427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.48,-0.77,-0.8,-0.63,-0.21,-0.143413,-0.327376
,EPSDiluted,-0.48,-0.77,-0.8,-0.63,-0.21,-0.143413,-0.327376
,weightedAverageShsOut,69923553.0,65479327.0,62140684.0,49529833.0,54723043.0,54723043.0,54723043.0
,weightedAverageShsOutDil,69923553.0,65479327.0,62140684.0,49529833.0,54723043.0,54723043.0,54723043.0
