Date,2019-12-31,2018-12-31,2017-12-31,2017-06,2016-12-31,2016-06,2015-12-31,2015-06,2014-12-31,2014-06,2013-12-31,2013-06,2012-12-31,2011-12-31,2010-12-31
Revenue,1.08942e+11,94507000000.0,84526000000.0,,80403000000.0,,74510000000.0,,68775000000.0,,64657000000.0,,62570000000.0,55842000000.0,37937000000.0
Revenue Growth,0.152740008676606,0.11808201026903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120482790730991,0.471966681603711,0.0
Cost of Revenue,80200000000.0,68462000000.0,60222000000.0,,57430000000.0,,52569000000.0,,48793000000.0,,46125000000.0,,45584000000.0,7636000000.0,6616000000.0
Gross Profit,28742000000.0,26045000000.0,24304000000.0,,22973000000.0,,21941000000.0,,19982000000.0,,18532000000.0,,16986000000.0,48206000000.0,31321000000.0
R&D Expenses,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,0.0,0.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0.0,8091000000.0
Operating Expenses,7617000000.0,7036000000.0,6317000000.0,,6114000000.0,,5943000000.0,,5078000000.0,,4969000000.0,,4807000000.0,37485000000.0,23341000000.0
Operating Income,21125000000.0,19009000000.0,17987000000.0,,16859000000.0,,15998000000.0,,14904000000.0,,13563000000.0,,12179000000.0,10721000000.0,7980000000.0
Interest Expense,4567000000.0,3542000000.0,3086000000.0,,2942000000.0,,2702000000.0,,2617000000.0,,2574000000.0,,2521000000.0,2505000000.0,2156000000.0
Earnings before Tax,16996000000.0,15242000000.0,15322000000.0,,14353000000.0,,13372000000.0,,12465000000.0,,11115000000.0,,11609000000.0,8207000000.0,6104000000.0
Income Tax Expense,3673000000.0,3380000000.0,-7578000000.0,,5308000000.0,,4959000000.0,,3873000000.0,,3980000000.0,,3744000000.0,3050000000.0,2436000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,13057000000.0,11731000000.0,22714000000.0,-1000000.0,8695000000.0,-0000000.0,8163000000.0,-4000000.0,8380000000.0,-2000000.0,6816000000.0,-1000000.0,6203000000.0,4160000000.0,3635000000.0
Preferred Dividends,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,13057000000.0,11731000000.0,22714000000.0,-1000000.0,8695000000.0,-0000000.0,8163000000.0,-4000000.0,8380000000.0,-2000000.0,6816000000.0,-1000000.0,6203000000.0,4160000000.0,3635000000.0
EPS,2.87,2.56,4.82,-0.00,3.61,-0.00,3.28,-0.04,3.24,-0.02,2.6,-0.06,2.32,1.51,1.29
EPS Diluted,2.83,2.53,4.75,-0.00,3.57,-0.00,3.24,-0.04,3.2,-0.02,2.56,-0.06,2.28,1.5,1.29
Weighted Average Shs Out,4548000000.0,4584000000.0,4708000000.0,222000000.0,2410000000.0,600000000.0,2486000000.0,128000000.0,2583000000.0,101000000.0,2625000000.0,11000000.0,2678000000.0,2746000000.0,2808000000.0
Weighted Average Shs Out (Dil),4610000000.0,4640000000.0,4786000000.0,222000000.0,2438000000.0,600000000.0,2518000000.0,128000000.0,2620000000.0,101000000.0,2665000000.0,11000000.0,2717000000.0,2778000000.0,2820000000.0
Dividend per Share,0.810195227766,0.722413793103,0.602381947346,,1.06685808039,,0.967831612391,,0.860305343511,,0.736960600375,,0.591829223408,0.427285817135,0.377304964539
Gross Margin,0.26382845918,0.275588051679,0.287532830135,,0.285723169533,,0.294470540867,,0.290541621229,,0.28662016487,,0.271471951414,0.863257046667,0.8256056093
EBITDA Margin,0.312808650475,0.314103717185,0.329034853181,,0.328557392137,,0.331203865253,,0.333304252999,,0.45908408989,,0.470369186511,0.450270405788,0.384743126763
EBIT Margin,0.193910521195,0.201138540002,0.212798428886,,0.2096812308,,0.214709434975,,0.216706652126,,0.209768470545,,0.194645996484,0.191988109308,0.210348736062
Profit Margin,0.119852765692,0.124128371443,0.26872205002,,0.108142730993,,0.109555764327,,0.121846601236,,0.10541782019,,0.0991369665974,0.074495899144,0.0958167488204
Free Cash Flow margin,0.144517266068,0.153671156634,0.140229041952,,0.125679390073,,0.137954636961,,0.138495092694,,0.116986559847,,0.146076394438,0.161849503958,0.163903313388
EBITDA,34078000000.0,29685000000.0,27812000000.0,-0000000.0,26417000000.0,-0000000.0,24678000000.0,-4000000.0,22923000000.0,-2000000.0,29683000000.0,-0000000.0,29431000000.0,25144000000.0,14596000000.0
EBIT,21125000000.0,19009000000.0,17987000000.0,-1000000,16859000000.0,0,15998000000.0,-4000000,14904000000.0,-2000000,13563000000.0,-1000000,12179000000.0,10721000000.0,7980000000.0
Consolidated Income,13057000000.0,11731000000.0,22714000000.0,-1000000.0,8695000000.0,-0000000.0,8163000000.0,-4000000.0,8380000000.0,-2000000.0,6816000000.0,-1000000.0,6203000000.0,4160000000.0,3635000000.0
Earnings Before Tax Margin,0.156009619798,0.161279058694,0.181269668504,,0.178513239556,,0.179465843511,,0.181243184297,,0.171907140758,,0.185536199457,0.146968231797,0.160898331444
Net Profit Margin,0.119852765692,0.124128371443,0.26872205002,,0.108142730993,,0.109555764327,,0.121846601236,,0.10541782019,,0.0991369665974,0.074495899144,0.0958167488204
