date,,2020-08-28_FY,2019-08-30_FY,2018-08-31_FY,2017-08-25_FY,2016-08-31_FY,2015-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1143000.0,51332000.0,119463000.0,-7795000.0,-19960000.0,-46451000.0
,depreciationAndAmortization,36430000.0,29206000.0,26182000.0,33238000.0,31480000.0,50145000.0
,deferredIncomeTax,-2115000.0,-719000.0,-2820000.0,-2389000.0,-1417000.0,-2464000.0
,stockBasedCompensation,18716000.0,18199000.0,10558000.0,5364000.0,3872000.0,6132000.0
,changeInWorkingCapital,39861000.0,8096000.0,119149000.0,17020000.0,-7979000.0,23063000.0
,accountsReceivables,6121000.0,35240000.0,-55297000.0,-40426000.0,44922000.0,8597000.0
,inventory,-44253000.0,102083000.0,-42435000.0,-21851000.0,31326000.0,-19989000.0
,accountsPayables,-59794000.0,-64569000.0,17548000.0,-10608000.0,-86588000.0,53236000.0
,otherWorkingCapital,274221000.0,234360000.0,226264000.0,107115000.0,90095000.0,98074000.0
,otherNonCashItems,46654000.0,18289000.0,-28000.0,37220000.0,4696000.0,4562000.0
,netCashProvidedByOperatingActivites,78383000.0,169657000.0,67907000.0,-933000.0,15050000.0,40762000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,404000.0,-33433000.0,-25738000.0,-18678000.0,0.0,0.0
,acquisitionsNet,0.0,-76088000.0,-42000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,81000.0,0.0,651000.0,194000.0,22786000.0
,netCashUsedForInvestingActivites,-23871000.0,-109440000.0,-67749000.0,-18027000.0,-13369000.0,-8716000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5625000.0,-6753000.0,-485953000.0,-19698000.0,-295894000.0,-370258000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,5479000.0,7373000.0,0.0,63913000.0,-124000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,104992000.0,-2359000.0,25159000.0,0.0,-33459000.0
,netCashUsedProvidedByFinancingActivities,12594000.0,100000.0,7944000.0,-16975000.0,-10914000.0,-32645000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-14434000.0,588000.0,837000.0,-28000.0,-227000.0,-9399000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,52672000.0,60905000.0,8939000.0,-35963000.0,-9460000.0,-9998000.0
,cashAtEndOfPeriod,150811000.0,92280000.0,31375000.0,22671000.0,58634000.0,68094000.0
,cashAtBeginningOfPeriod,98139000.0,31375000.0,22436000.0,58634000.0,68094000.0,78092000.0
,operatingCashFlow,78383000.0,169657000.0,67907000.0,-933000.0,15050000.0,40762000.0
,capitalExpenditure,404000.0,-33433000.0,-25738000.0,-18678000.0,-13844000.0,-31663000.0
,freeCashFlow,54108000.0,136224000.0,42169000.0,-19611000.0,1206000.0,9099000.0
