Date,2018-12-31,2017-12-31
Depreciation & Amortization,15439942.1129,136000.0
Stock-based compensation,0.0,
Operating Cash Flow,-189680752.5326,-14109000.0
Capital Expenditure,-145536758.3213,-10827000.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-40167727.9305,
Investing Cash flow,-185704486.2518,-10827000.0
Issuance (repayment) of debt,48045296.6715,
Issuance (buybacks) of shares,137614037.6266,
Dividend payments,0.0,
Financing Cash Flow,577192764.11,57494000.0
Effect of forex changes on cash,2517655.5716,-26000.0
Net cash flow / Change in cash,204325180.8973,32531000.0
Free Cash Flow,-335217510.8538,
Net Cash/Marketcap,,
