date,,2021-01-03_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2017-01-01_FY,2016-01-03_FY,2014-12-28_FY,2013-12-29_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,69037000.0,44602000.0,92710000.0,151739000.0,98622000.0,-47111000.0,-37340000.0,-11000000.0,-23245000.0,-6534000.0,3038000.0,-1262310000.0
,depreciationAndAmortization,91773000.0,99849000.0,87672000.0,81903000.0,82331000.0,82885000.0,82344000.0,79200000.0,78424000.0,71353000.0,66725000.0,102552000.0
,deferredIncomeTax,-10085000.0,3292000.0,10563000.0,-34230000.0,12918000.0,9097000.0,-1970000.0,-23200000.0,-15617000.0,-21968000.0,-12218000.0,-57399000.0
,stockBasedCompensation,19423000.0,10023000.0,7681000.0,11644000.0,18790000.0,13236000.0,9605000.0,7752000.0,6517000.0,5888000.0,9626000.0,852000.0
,changeInWorkingCapital,88453000.0,13583000.0,-5636000.0,-39413000.0,-38665000.0,4105000.0,-492000.0,-11532000.0,4528000.0,-27232000.0,5671000.0,-5333000.0
,accountsReceivables,-13006000.0,6723000.0,-4543000.0,-15926000.0,-29514000.0,27150000.0,-14047000.0,9168000.0,-9642000.0,-8625000.0,7238000.0,9173000.0
,inventory,-15568000.0,5735000.0,-1192000.0,692000.0,-23022000.0,-2071000.0,-12843000.0,-8720000.0,-3090000.0,-8969000.0,-366000.0,44094000.0
,accountsPayables,0.0,4742000.0,11909000.0,-15809000.0,16560000.0,-8246000.0,23592000.0,-5095000.0,16274000.0,0.0,0.0,0.0
,otherWorkingCapital,19077000.0,466388000.0,451287000.0,499745000.0,347559000.0,326428000.0,455335000.0,395100000.0,417584000.0,384647000.0,349248000.0,384344000.0
,otherNonCashItems,1601000.0,55893000.0,14089000.0,1226000.0,10819000.0,106133000.0,31622000.0,10800000.0,715000.0,3864000.0,2114000.0,89734000.0
,netCashProvidedByOperatingActivites,321180000.0,221656000.0,203232000.0,173481000.0,174030000.0,161011000.0,77386000.0,47500000.0,55222000.0,32688000.0,75153000.0,-72895000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-72908000.0,-82720000.0,-82380000.0,-73782000.0,-82287000.0,-51065000.0,-50147000.0,-45971000.0,-48419000.0,-42413000.0,-57823000.0,-32755000.0
,acquisitionsNet,0.0,-2029000.0,-157363000.0,-14000000.0,-14000000.0,-117398000.0,-54256000.0,-15376000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-166916000.0,0.0,-109202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-2530000.0,0.0,152182000.0,-3352000.0,123573000.0,-11761000.0,3495000.0,6874000.0,-804000.0,-1567000.0,407000.0,-990000.0
,netCashUsedForInvestingActivites,-73890000.0,-82126000.0,-254477000.0,-89833000.0,-76916000.0,-180224000.0,-100908000.0,-54500000.0,-136103000.0,-186717000.0,-97973000.0,-56003000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-57000.0,-500177000.0,-125363000.0,-422000.0,-1071000.0,-500038000.0,-1925000.0,0.0,0.0,0.0,-140000.0,-21361000.0
,commonStockIssued,0.0,0.0,0.0,0.0,10487000.0,0.0,263000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-43724000.0,-59947000.0,-166916000.0,-119888000.0,-98715000.0,0.0,263000.0,-1500000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-10280000.0,0.0,286639000.0,-15220000.0,6667000.0,522989000.0,327828000.0,93458000.0,-9270000.0,-138395000.0,-4279000.0,-15562000.0
,netCashUsedProvidedByFinancingActivities,-54061000.0,-89407000.0,-10048000.0,21216000.0,-109638000.0,-72033000.0,128849000.0,-11100000.0,94230000.0,136605000.0,-4797000.0,295165000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,4397000.0,1344000.0,-1130000.0,91000.0,-5398000.0,-11604000.0,-14163000.0,-3300000.0,-240000.0,5579000.0,-3569000.0,-14871000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,197626000.0,51467000.0,-62423000.0,104955000.0,-17922000.0,-102850000.0,91164000.0,-21400000.0,13109000.0,-11845000.0,-31186000.0,151396000.0
,cashAtEndOfPeriod,375234000.0,167123000.0,114246000.0,176669000.0,71265000.0,89187000.0,192064000.0,100900000.0,122314000.0,109205000.0,121050000.0,191010000.0
,cashAtBeginningOfPeriod,177608000.0,115656000.0,176669000.0,71714000.0,89187000.0,192037000.0,100900000.0,122300000.0,109205000.0,121050000.0,152236000.0,39614000.0
,operatingCashFlow,321180000.0,221656000.0,203232000.0,173481000.0,174030000.0,161011000.0,77386000.0,47500000.0,55222000.0,32688000.0,75153000.0,-72895000.0
,capitalExpenditure,-72908000.0,-82720000.0,-82380000.0,-73782000.0,-82287000.0,-51065000.0,-50147000.0,-45971000.0,-48419000.0,-42413000.0,-57823000.0,-32755000.0
