Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-923665.0,6667000.0
Capital Expenditure,0.0,-37804000.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-690000000.0,
Investing Cash flow,-690000000.0,-40205000.0
Issuance (repayment) of debt,0.0,14577000.0
Issuance (buybacks) of shares,676225000.0,
Dividend payments,0.0,0.0
Financing Cash Flow,694451855.0,22818000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,3528190.0,
Free Cash Flow,-923665.0,
Net Cash/Marketcap,0.0043,
