date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,366496000.0,578774000.0,379878000.0,217659000.0,148720000.0,136568000.0,57930000.0,19553000.0,3489000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3909000.0,0.0
,grossProfit,366496000.0,0.0,0.0,0.0,0.0,0.0,0.0,15644000.0,0.0
,grossProfitRatio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800081828875364,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,18159000.0,56500000.0,32852000.0,30302000.0,29056000.0,22586000.0,7470000.0,5721000.0,2265000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,91353000.0,3445000.0,3941000.0,3073000.0,602000.0,26000.0,20000.0,0.0,0.0
,operatingExpenses,109512000.0,513559000.0,336720000.0,210797000.0,155435000.0,136687000.0,0.0,0.0,0.0
,costAndExpenses,109512000.0,513559000.0,336720000.0,210797000.0,155435000.0,136687000.0,50691000.0,10342000.0,4427000.0
,interestExpense,-98206000.0,95585000.0,57854000.0,38827000.0,18957000.0,19311000.0,5872000.0,2816000.0,30000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,202746000.0,169023000.0,136354000.0,88110000.0,60210000.0,45308000.0,15998000.0,3909000.0,887000.0
,EBITDA,97723000.0,234238000.0,179512000.0,94972000.0,53495000.0,45189000.0,23237000.0,13120000.0,-51000.0
,EBITDARatio,0.26664138217061,0.404714102568533,0.472551713971328,0.436333898437464,0.359702797202797,0.330890106027766,0.401122043846021,0.670996777988032,-0.0146173688736028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-105023000.0,65215000.0,43158000.0,6862000.0,-6715000.0,-119000.0,7239000.0,9211000.0,-938000.0
,operatingIncomeRatio,-0.286559744171833,0.112677832798294,0.113610159051064,0.0315263784176165,-0.0451519634211942,-0.0008713607873001,0.124961160020715,0.471078606863397,-0.268844941243909
,totalOtherIncomeExpensesNet,70000.0,181971000.0,-124000.0,9991000.0,-14794000.0,-9194000.0,2239000.0,18884000.0,3162000.0
,incomeBeforeTax,-110928000.0,152132000.0,-14332000.0,-21286000.0,-40330000.0,-28045000.0,3792000.0,25279000.0,2194000.0
,incomeBeforeTaxRatio,-0.302671789050904,0.262852166821592,-0.0377279021159425,-0.0977951750214786,-0.271180742334588,-0.205355573780095,0.0654583117555671,1.29284508771033,0.628833476640871
,incomeTaxExpense,-5905000.0,17810000.0,1372000.0,1954000.0,268000.0,586000.0,874000.0,0.0,0.0
,netIncome,-105023000.0,225108000.0,5882000.0,134000.0,-20064000.0,-11826000.0,7780000.0,24821000.0,2194000.0
,netIncomeRatio,-0.286559744171833,0.388939378755784,0.0154839185212094,0.000615641898566106,-0.13491124260355,-0.0865942241227813,0.134300017262213,1.26942157213727,0.628833476640871
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.22088106872564,2.61777781959044,0.0703133767505485,0.001769,-0.26,-0.18,0.15,0.463919,0.041007
,EPSDiluted,-1.22088106872564,2.6166414832108,0.0703043296578384,0.001769,-0.26,-0.18,0.15,0.463919,0.041007
,weightedAverageShsOut,86022302.0,85992019.0,83654068.0,75766811.0,75738698.0,67039439.0,53502873.0,53502873.0,53502873.0
,weightedAverageShsOutDil,86022302.0,86029363.0,83664833.0,75766811.0,75738698.0,67039439.0,53502873.0,53502873.0,53502873.0
