date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1991-02-28_FY,1990-02-28_FY,1989-02-28_FY,1988-02-29_FY,1987-02-28_FY,1986-02-28_FY
,revenue,3144097000.0,3412190000.0,3300303000.0,2944978000.0,2755226000.0,3275137000.0,3401636000.0,3509656000.0,2187908000.0,1984136000.0,1731244000.0,1074220000.0,1030713000.0,946917000.0,829809000.0,711170000.0,643219000.0,610969000.0,350133000.0,251601000.0,233466000.0,203000000.0,197400000.0,183800000.0,200200000.0,209300000.0,207100000.0,200100000.0,176200000.0,127500000.0,142900000.0,131400000.0,95700000.0,73500000.0,46700000.0,32200000.0
,costOfRevenue,2137751000.0,2387819000.0,2305551000.0,2062673000.0,1932857000.0,2356806000.0,2441796000.0,2542633000.0,1540621000.0,1379991000.0,1210740000.0,753483000.0,707820000.0,664440000.0,584835000.0,512582000.0,464838000.0,453206000.0,253412000.0,178085000.0,166303000.0,149300000.0,146400000.0,139800000.0,153900000.0,156800000.0,146800000.0,134500000.0,116500000.0,84800000.0,97500000.0,93300000.0,66100000.0,50100000.0,32700000.0,24900000.0
,grossProfit,1006346000.0,1024371000.0,994752000.0,882305000.0,822369000.0,918331000.0,959840000.0,967023000.0,647287000.0,604145000.0,520504000.0,320737000.0,322893000.0,282477000.0,244974000.0,198588000.0,178381000.0,157763000.0,96721000.0,73516000.0,67163000.0,53700000.0,51000000.0,44000000.0,46300000.0,52500000.0,60300000.0,65600000.0,59700000.0,42700000.0,45400000.0,38100000.0,29600000.0,23400000.0,14000000.0,7300000.0
,grossProfitRatio,0.32007473051881,0.300209249778002,0.301412324868353,0.299596465576313,0.298476059677137,0.280394682726249,0.282170108735914,0.27553213192404,0.295847448795836,0.304487696407908,0.300653171938791,0.298576641656272,0.313271492646353,0.298312312483565,0.295217333145338,0.279241250333957,0.27732545213994,0.258217683712267,0.276240742803449,0.292192797325925,0.287677863157805,0.264532019704434,0.258358662613982,0.239390642002176,0.231268731268731,0.250836120401338,0.291163689039112,0.32783608195902,0.338819523269012,0.334901960784314,0.317704688593422,0.289954337899543,0.309299895506792,0.318367346938775,0.299785867237687,0.226708074534162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,484054000.0,503747000.0,456648000.0,422015000.0,414164000.0,437921000.0,470477000.0,273520000.0,263817000.0,216119000.0,173774000.0,170450000.0,149180000.0,125039000.0,118696000.0,114903000.0,119259000.0,62250000.0,44460000.0,42238000.0,37200000.0,35300000.0,34500000.0,36300000.0,39600000.0,38900000.0,42300000.0,35900000.0,24900000.0,24900000.0,25600000.0,20000000.0,12600000.0,7700000.0,4000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,303966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
