date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2016-09-30_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,3298873000.0,3119917000.0,2880013000.0,2548792000.0,2460490000.0,0.0,2463625000.0,2121707000.0,1950782000.0,1927778000.0,1887188000.0,1830371000.0,1893824000.0,2144743000.0,2152088000.0,2024758000.0,1714283000.0,1477060000.0,1231004000.0,1320909000.0,1396688000.0,1034087000.0,936900000.0,917300000.0,732000000.0,644100000.0,563500000.0,609800000.0,539100000.0,718500000.0,794800000.0,863200000.0,844600000.0,801500000.0,468600000.0,450500000.0,611000000.0
,costOfRevenue,342837000.0,2382541000.0,2213470000.0,1916195000.0,1823268000.0,0.0,1855789000.0,1536945000.0,1394199000.0,1391104000.0,1037192000.0,1013979000.0,1109091000.0,0.0,0.0,0.0,0.0,0.0,0.0,563379000.0,677547000.0,394711000.0,330000000.0,329800000.0,209300000.0,187600000.0,227500000.0,249900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,2956036000.0,737376000.0,666543000.0,632597000.0,637222000.0,0.0,607836000.0,584762000.0,556583000.0,536674000.0,849996000.0,816392000.0,784733000.0,2144743000.0,2152088000.0,2024758000.0,1714283000.0,1477060000.0,1231004000.0,757530000.0,719141000.0,639376000.0,606900000.0,587500000.0,522700000.0,456500000.0,336000000.0,359900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.896074507869809,0.236344748914795,0.231437496983521,0.248194831119997,0.258981747538092,0.0,0.246724237657923,0.275609214655935,0.285312761754004,0.278389939090497,0.450403457419187,0.446025423261186,0.414364270386266,1.0,1.0,1.0,1.0,1.0,1.0,0.573491436578901,0.514890226020414,0.618300007639589,0.647774575728466,0.640466586721901,0.714071038251366,0.708740878745536,0.596273291925466,0.590193506067563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,10313000.0,7400000.0,0.0,500000.0,5300000.0,12400000.0,6600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,2875869000.0,-1417000.0,-27470000.0,8013000.0,5284000.0,0.0,-1788000.0,4683000.0,11971000.0,6167000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,2875869000.0,365565000.0,309110000.0,308897000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,3218706000.0,2748106000.0,2522580000.0,2225092000.0,2164776000.0,0.0,2175293000.0,1837224000.0,1676567000.0,1656254000.0,1637108000.0,1598254000.0,1685433000.0,1936881000.0,1931501000.0,1815576000.0,1563635000.0,1307293000.0,1095899000.0,1174410000.0,1262705000.0,905457000.0,805600000.0,763100000.0,629800000.0,572600000.0,505200000.0,558300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,0.0,109226000.0,96671000.0,78064000.0,73660000.0,0.0,71879000.0,72069000.0,63700000.0,68020000.0,69602000.0,77589000.0,83001000.0,92648000.0,96199000.0,94977000.0,90327000.0,86506000.0,79786000.0,79971000.0,80731000.0,76146000.0,0.0,68800000.0,0.0,60400000.0,54300000.0,117100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
