Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Revenue,85166053.0,79076110.0,73161190.0,67109920.0,64833466.0,52526989.0,43367708.0
Revenue Growth,0.077,0.0808,0.0902,0.0351,0.2343,0.2112,
Cost of Revenue,38151009.0,37741567.0,35736401.0,36894040.0,27488180.0,22246196.0,19411748.0
Gross Profit,47015044.0,41334543.0,37424789.0,30215880.0,37345286.0,30280793.0,23955960.0
R&D Expenses,14664843.0,14941394.0,16794516.0,16448625.0,9745137.0,7935614.0,5774695.0
SG&A Expense,44197666.0,37789832.0,37956082.0,40729072.0,35795146.0,26715359.0,19082618.0
Operating Expenses,58862509.0,52731226.0,54750598.0,57177697.0,64223560.0,43978567.0,25735205.0
Operating Income,-11847465.0,-11396683.0,-17325809.0,-26961817.0,-26878274.0,-13697774.0,-1779245.0
Interest Expense,1271786.0,976834.0,862321.0,910046.0,275074.0,168810.0,37041.0
Earnings before Tax,-13110510.0,-12368711.0,-18131004.0,-27810449.0,-27151339.0,-13848152.0,-1785657.0
Income Tax Expense,492010.0,608775.0,595722.0,268225.0,552619.0,549718.0,310900.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-13602520.0,-12977486.0,-18726726.0,-28078674.0,-27703958.0,-14397870.0,-2096557.0
Preferred Dividends,0.0,0.0,0.0,0.0,2416505.0,4849607.0,4572027.0
Net Income Com,-13602520.0,-12977486.0,-18726726.0,-28078674.0,-30120463.0,-19247477.0,-6668584.0
EPS,-0.49,-0.47,-0.7,-1.07,-1.46,-5.11,-1.82
EPS Diluted,-0.49,-0.47,-0.7,-1.07,-1.46,-5.11,-1.82
Weighted Average Shs Out,,,,,,,
Weighted Average Shs Out (Dil),27825795.0,27415953.0,26718882.0,26152301.0,20623760.0,3763562.0,3673181.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.552,0.5227,0.5115,0.4502,0.576,0.5765,0.5524
EBITDA Margin,-0.081,-0.076,-0.146,-0.288,-0.339,-0.188,0.019
EBIT Margin,-0.139,-0.1441,-0.236,-0.4008,-0.4145,-0.2604,-0.0403
Profit Margin,-0.16,-0.164,-0.256,-0.418,-0.465,-0.366,-0.154
Free Cash Flow margin,0.0013,-0.0302,-0.0367,-0.2465,-0.1696,-0.0333,-0.0199
EBITDA,-6859109.0,-6005088.0,-10678340.0,-19324620.0,-21979552.0,-9887369.0,818057.0
EBIT,-11838724.0,-11391877.0,-17268683.0,-26900403.0,-26876265.0,-13679342.0,-1748616.0
Consolidated Income,-13602520.0,-12977486.0,-18726726.0,-28078674.0,-27703958.0,-14397870.0,-2096557.0
Earnings Before Tax Margin,-0.1539,-0.1564,-0.2478,-0.4144,-0.4188,-0.2636,-0.0412
Net Profit Margin,-0.1597,-0.1641,-0.256,-0.4184,-0.4273,-0.2741,-0.0483
