date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,152790000.0,28369000.0,33965000.0,140451000.0,200883000.0,205438000.0,201200000.0,123700000.0,89800000.0,89900000.0,47300000.0,19500000.0,25100000.0,-9600000.0,79500000.0,-12600000.0
,depreciationAndAmortization,136765000.0,124378000.0,105545000.0,95542000.0,92253000.0,94127000.0,97900000.0,99800000.0,91900000.0,89300000.0,78700000.0,76900000.0,65500000.0,52000000.0,43200000.0,34900000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,1200000.0,-800000.0,3700000.0,-5500000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,7933000.0,3850000.0,-24038000.0,-22547000.0,-44544000.0,5351000.0,-17100000.0,-14800000.0,-53100000.0,-14000000.0,19800000.0,20000000.0,8800000.0,-7800000.0,1000000.0,-700000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5200000.0,4200000.0,10500000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,5500000.0,-5500000.0
,otherWorkingCapital,-118632000.0,-32819000.0,-484621000.0,-28999000.0,-179557000.0,-117863000.0,-67060000.0,-71906000.0,-107260000.0,-367344000.0,-131114000.0,-191439000.0,-156441000.0,0.0,0.0,0.0
,otherNonCashItems,-10373000.0,-23905000.0,88332000.0,-36598000.0,-25490000.0,-127308000.0,-110500000.0,-32200000.0,-14200000.0,6700000.0,-10700000.0,33000000.0,13900000.0,49300000.0,-61700000.0,6100000.0
,netCashProvidedByOperatingActivites,298929000.0,131198000.0,218750000.0,194362000.0,239729000.0,191097000.0,183500000.0,192000000.0,122000000.0,175000000.0,164500000.0,149600000.0,114500000.0,83000000.0,65700000.0,22200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-97895000.0,-686148000.0,-708608000.0,-345790000.0,-191969000.0,-188855000.0,-368163000.0,-39894000.0,-64685000.0,-26652000.0,-134230000.0,-172093000.0,-160757000.0,-1037000.0,-226071000.0,-4085000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37000000.0,0.0,-61000000.0,-30000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-158771000.0,-632854000.0,-766439000.0,-343208000.0,-212530000.0,-271008000.0,-492300000.0,-202400000.0,-116600000.0,-34500000.0,-169900000.0,-527100000.0,-683200000.0,285100000.0,-269300000.0,40900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-25728000.0,-3786000.0,164411000.0,120707000.0,35374000.0,182139000.0,190500000.0,182300000.0,341200000.0,50900000.0,162600000.0,202500000.0,86000000.0,-100000.0,259300000.0,0.0
,dividendsPaid,-82379000.0,-70345000.0,-56650000.0,-45467000.0,-255519000.0,-240525000.0,-215400000.0,-195900000.0,-159400000.0,-135500000.0,-114500000.0,-97400000.0,-74100000.0,-64200000.0,-20100000.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-109731000.0,385085000.0,690069000.0,-154925000.0,-84357000.0,100700000.0,334684000.0,30374000.0,7174000.0,-167746000.0,-9648000.0,403262000.0,394284000.0,-373719000.0,81653000.0,69799000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,30427000.0,-116571000.0,96262000.0,29173000.0,-57158000.0,20158000.0,25900000.0,20000000.0,12600000.0,-27300000.0,-15100000.0,25800000.0,62600000.0,-5600000.0,-121900000.0,132900000.0
