Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31
Cash and cash equivalents,3069000.0,7576000.0,6501000.0,4039000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,3069000.0,7576000.0,6501000.0,4039000.0
Receivables,0.0,7000.0,4000.0,7000.0
Inventories,0.0,10000.0,38000.0,100000.0
Total current assets,3385000.0,7981000.0,6827000.0,4431000.0
Property, Plant & Equipment Net,148000.0,109000.0,120000.0,216000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,119000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,269000.0,109000.0,274000.0,420000.0
Total assets,3654000.0,8090000.0,7101000.0,4851000.0
Payables,1363000.0,1376000.0,2551000.0,2002000.0
Short-term debt,0.0,0.0,0.0,0.0
Total current liabilities,2297000.0,2979000.0,3727000.0,2797000.0
Long-term debt,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,59000.0,39000.0,403000.0,0.0
Total liabilities,2356000.0,3018000.0,4130000.0,2797000.0
Other comprehensive income,0.0,0.0,0.0,0.0
Retained earnings (deficit),-78534000.0,-61278000.0,-44638000.0,-26232000.0
Total shareholders equity,1298000.0,5072000.0,2971000.0,2054000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,-3069000.0,-7576000.0,-6501000.0,-4039000.0
Other Assets,316000.0,388000.0,284000.0,285000.0
Other Liabilities,934000.0,1603000.0,1176000.0,795000.0
