date,,2021-01-03_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2017-01-01_FY,2016-01-03_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2012-01-01_FY,2011-01-02_FY,2010-03-12_FY,2010-01-03_FY,2009-02-23_FY,2008-12-28_FY,2008-02-27_FY,2007-12-30_FY,2007-03-07_FY,2006-12-31_FY,2006-01-01_FY,2005-01-02_FY,2004-12-31_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,2000-01-02_FY,1999-01-03_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1995-01-01_FY,1994-01-02_FY,1993-01-03_FY,1991-12-29_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,1103262000.0,1343029000.0,1179573000.0,996443000.0,958617000.0,1001863000.0,1003903000.0,960000000.0,932000000.0,953000000.0,862300000.0,859888000.0,859900000.0,1082344000.0,1082300000.0,1081273000.0,1081300000.0,1075842000.0,1075842000.0,786900000.0,881700000.0,881658000.0,766500000.0,745300000.0,1058800000.0,1283948000.0,1228200000.0,1281100000.0,1135300000.0,1002100000.0,802100000.0,725300000.0,625100000.0,594100000.0,581800000.0,623500000.0,581800000.0,396700000.0,267000000.0,137400000.0,123400000.0,107300000.0,80100000.0
,costOfRevenue,692688000.0,817575000.0,755216000.0,610422000.0,589973000.0,618974000.0,663876000.0,618900000.0,614800000.0,618300000.0,549200000.0,576871000.0,576900000.0,710299000.0,710300000.0,703751000.0,703800000.0,736247000.0,736247000.0,527600000.0,616300000.0,616297000.0,543300000.0,522100000.0,746300000.0,845319000.0,846100000.0,847700000.0,755700000.0,684500000.0,522700000.0,504100000.0,427300000.0,404100000.0,393700000.0,389100000.0,365200000.0,251900000.0,225400000.0,84600000.0,77000000.0,70000000.0,49500000.0
,grossProfit,410574000.0,525454000.0,424357000.0,386021000.0,368644000.0,382889000.0,340027000.0,341100000.0,317200000.0,334700000.0,313100000.0,283017000.0,283000000.0,372045000.0,372000000.0,377522000.0,377500000.0,339595000.0,339595000.0,259300000.0,265400000.0,265361000.0,223200000.0,223200000.0,312500000.0,438629000.0,382100000.0,433500000.0,379600000.0,317600000.0,279400000.0,221200000.0,197700000.0,189900000.0,188100000.0,234400000.0,216600000.0,144800000.0,41600000.0,52800000.0,46400000.0,37200000.0,30600000.0
,grossProfitRatio,0.37214551031396,0.39124546082028,0.359754758713534,0.387398978165334,0.384558170781449,0.382177004241099,0.338705034251317,0.3553125,0.340343347639485,0.351206715634837,0.3630986895512,0.329132398637962,0.329108035818118,0.343740067852734,0.343712464196618,0.349145867879805,0.349116803847221,0.315655086899377,0.315655086899377,0.329520904816368,0.301009413632755,0.30097951813515,0.29119373776908,0.299476720783577,0.295145447676615,0.341625206005228,0.311105683113499,0.33838107876044,0.334360961860301,0.31693443768087,0.348335619000125,0.304977250792775,0.316269396896497,0.319643157717556,0.323306978343073,0.375942261427426,0.37229288415263,0.365011343584573,0.155805243445693,0.384279475982533,0.376012965964344,0.346691519105312,0.382022471910112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,16400000.0,0.0,14300000.0,14500000.0,13900000.0,12600000.0,12400000.0,12100000.0,11100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,333229000.0,366404000.0,311049000.0,268878000.0,247403000.0,254796000.0,243446000.0,239800000.0,219000000.0,231200000.0,206000000.0,218322000.0,218300000.0,258198000.0,258200000.0,246258000.0,246300000.0,241538000.0,241538000.0,181600000.0,204600000.0,204619000.0,185700000.0,175800000.0,259000000.0,297948000.0,304600000.0,318500000.0,281800000.0,238900000.0,188900000.0,170400000.0,151600000.0,149500000.0,150100000.0,153300000.0,135500000.0,87400000.0,0.0,36200000.0,32600000.0,28200000.0,19100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,10889000.0,3431000.0,5952000.0,-2177000.0,-329000.0,1426000.0,1779000.0,1149000.0,1521000.0,434000.0,657000.0,576000.0,0.0,2858000.0,0.0,1851000.0,0.0,1319000.0,0.0,933000.0,0.0,0.0,44100000.0,42820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
