Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,1842937000.0,1295112000.0,982696000.0,1473000000.0
Revenue Growth,0.422994304739667,0.317917239919568,-0.332860828241684,
Cost of Revenue,1380766000.0,928659000.0,752736000.0,1128000000.0
Gross Profit,462171000.0,366453000.0,229960000.0,219000000.0
R&D Expenses,2210000.0,0.0,0.0,
SG&A Expense,145593000.0,99087000.0,83845000.0,119000000.0
Operating Expenses,147803000.0,203749000.0,205503000.0,1399733000.0
Operating Income,-163841000.0,162704000.0,24457000.0,73000000.0
Interest Expense,0.0,14653000.0,23999000.0,-36187000.0
Earnings before Tax,-278995000.0,145346000.0,-21667000.0,-113000000.0
Income Tax Expense,3987000.0,-8825000.0,-25332000.0,36000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,-23284000.0,-9435000.0,
Net Income,-270498000.0,154171000.0,3665000.0,
Preferred Dividends,0.0,0.0,0.0,
Net Income Com,-270498000.0,154171000.0,3665000.0,-72000000.0
EPS,-2.16,1.29,0.03,-0.55
EPS Diluted,-2.16,1.29,0.03,-0.55
Weighted Average Shs Out,125514000.0,131000000.0,131000000.0,
Weighted Average Shs Out (Dil),125514000.0,119645000.0,119645000.0,
Dividend per Share,0.0,0.0,0.0,
Gross Margin,0.250779598,0.283,0.234,0.1487
EBITDA Margin,0.0217983577301,0.211,0.121,
EBIT Margin,-0.0889021165672,0.1235,0.0024,0.0497
Profit Margin,-0.146775500193,0.119,0.004,
Free Cash Flow margin,-0.00904263140845,0.0958,0.0201,
EBITDA,40173000.0,272704000.0,118591000.0,
EBIT,-163841000.0,159999000.0,2332000.0,73170000.0
Consolidated Income,-270498000.0,154171000.0,3665000.0,
Earnings Before Tax Margin,-0.151386075596,0.1122,-0.022,-0.0767
Net Profit Margin,-0.146775500193,0.119,0.0037,
