date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,6400000000.0,5704000000.0,6032000000.0,37533000000.0,4648000000.0,4290000000.0,3115000000.0,3904000000.0,3841000000.0,3095000000.0,2879000000.0,2713000000.0,2457000000.0,2130000000.0,1896000000.0,1767000000.0,2827000000.0,631000000.0,1152000000.0,1010000000.0,692000000.0,556000000.0,346000000.0,412000000.0,988000000.0,860000000.0
,depreciationAndAmortization,1450000000.0,1512000000.0,1038000000.0,902000000.0,607000000.0,428000000.0,523000000.0,477000000.0,475000000.0,516000000.0,504000000.0,504000000.0,420000000.0,318000000.0,353000000.0,325000000.0,375000000.0,477000000.0,338000000.0,396000000.0,401000000.0,350000000.0,297000000.0,239000000.0,231000000.0,221000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,109000000.0,314000000.0,1590000000.0,-1345000000.0,-369000000.0,-494000000.0,-484000000.0,-562000000.0,-489000000.0,445000000.0,500000000.0,148000000.0,377000000.0,150000000.0,-47000000.0,239000000.0,-29000000.0,814000000.0,416000000.0,690000000.0,617000000.0,538000000.0,134000000.0,174000000.0,-122000000.0,-109000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-144000000.0,-371000000.0,-192000000.0,1409000000.0,-638000000.0,-520000000.0,-405000000.0,-386000000.0,-755000000.0,-47000000.0,-280000000.0,-125000000.0,-367000000.0,170000000.0,21000000.0,-28000000.0,45000000.0,179000000.0,58000000.0,234000000.0,122000000.0,31000000.0,-36000000.0,-71000000.0,-201000000.0,-66000000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,46000000.0,106000000.0,31000000.0,86000000.0,0.0,-54000000.0,49000000.0,-49000000.0,39000000.0,63000000.0,43000000.0,21000000.0,27000000.0,3000000.0,448000000.0,425000000.0,0.0,27000000.0,766000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,9786000000.0,8996000000.0,10295000000.0,5347000000.0,4610000000.0,4720000000.0,3716000000.0,4436000000.0,4427000000.0,3464000000.0,3480000000.0,2849000000.0,3073000000.0,1977000000.0,1617000000.0,1806000000.0,1338000000.0,1207000000.0,967000000.0,1235000000.0,1080000000.0,1015000000.0,165000000.0,347000000.0,475000000.0,546000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-511000000.0,-664000000.0,-758000000.0,-791000000.0,-586000000.0,-483000000.0,-529000000.0,-574000000.0,-664000000.0,-617000000.0,-584000000.0,-554000000.0,-544000000.0,-482000000.0,-483000000.0,-419000000.0,-333000000.0,-428000000.0,-490000000.0,-515000000.0,-362000000.0,0.0,-363000000.0,-360000000.0,-360000000.0,-361000000.0
,acquisitionsNet,0.0,0.0,0.0,-22756000000.0,0.0,-754000000.0,155000000.0,271000000.0,396000000.0,-359000000.0,19000000.0,291000000.0,-3894000000.0,222000000.0,-74000000.0,-219000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-343000000.0,-191000000.0,-320000000.0,-170000000.0,-109000000.0,-99000000.0,-31000000.0,-32000000.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,-37000000.0,0.0,0.0,-150000000.0,-112000000.0,-75000000.0,-158000000.0,-30000000.0,-30000000.0,-18000000.0,-13000000.0,-19000000.0
,salesMaturitiesOfInvestments,184000000.0,339000000.0,167000000.0,160000000.0,22000000.0,45000000.0,34000000.0,0.0,24000000.0,3000000.0,0.0,37000000.0,9000000.0,71000000.0,0.0,22000000.0,80000000.0,88000000.0,44000000.0,67000000.0,54000000.0,2000000.0,7000000.0,8000000.0,18000000.0,3000000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112000000.0,-303000000.0,-59000000.0,-285000000.0,761000000.0,-1340000000.0,459000000.0,401000000.0,-406000000.0,-148000000.0
,netCashUsedForInvestingActivites,-783000000.0,-639000000.0,-1021000000.0,-18544000000.0,-640000000.0,-3991000000.0,-470000000.0,-335000000.0,-400000000.0,-238000000.0,8000000.0,-263000000.0,-2062000000.0,161000000.0,-58000000.0,-100000000.0,48000000.0,-2588000000.0,-537000000.0,-1082000000.0,503000000.0,-1837000000.0,760000000.0,-963000000.0,-569000000.0,-608000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
