Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12-31,2013-12,2011-12-31
Depreciation & Amortization,0.0,,0.0,,0.0,,,0.0,,0.0
Stock-based compensation,0.0,,0.0,,0.0,,,0.0,,0.0
Operating Cash Flow,0.0,000000.0,0.0,000000.0,100000.0,0000000.0,000000.0,600000.0,1000000.0,200000.0
Capital Expenditure,0.0,,0.0,,0.0,,,0.0,,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,,-0.0,,-0.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0,0.0,-508000000,0.0
Investing Cash flow,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0,-508500000.0,-508000000.0,-25500000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,,-0.0,,-0.0
Issuance (buybacks) of shares,-1000000.0,,-800000.0,,-800000.0,,,507800000.0,,25300000.0
Dividend payments,-0.0,,-0.0,,-0.0,,,-0.0,,-0.0
Financing Cash Flow,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0,508500000.0,508000000.0,25500000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,0.0,,0.0
Net cash flow / Change in cash,0.0,000000.0,0.0,000000.0,100000.0,0000000.0,000000.0,600000.0,1000000.0,200000.0
Free Cash Flow,0.0,000000.0,0.0,000000.0,100000.0,0000000.0,000000.0,600000.0,1000000.0,200000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,,0.0,,0.0
