Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,8272000.0,8225000.0,8000000.0,7832000.0,8000000.0,8486000.0,8000000.0,9261000.0,9000000.0,9909000.0,10000000.0,10398000.0,11755000.0
Stock-based compensation,239000.0,295000.0,0000000.0,326000.0,0000000.0,375000.0,0000000.0,580000.0,1000000.0,682000.0,1000000.0,793000.0,905000.0
Operating Cash Flow,9995000.0,6700000.0,7000000.0,10355000.0,10000000.0,9719000.0,10000000.0,6280000.0,6000000.0,11137000.0,11000000.0,13166000.0,15651000.0
Capital Expenditure,4826000.0,2193000.0,-2000000.0,2812000.0,-3000000.0,1651000.0,-2000000.0,900000.0,-1000000.0,1574000.0,-2000000.0,2625000.0,1853000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,-74000.0,-74000.0,0,-66000.0,0,-93000.0,0,-108000.0,0,-144000.0,0,-107000.0,-150000.0
Investing Cash flow,-4838000.0,-2204000.0,-2000000.0,-2818000.0,-3000000.0,-1634000.0,-2000000.0,-909000.0,-1000000.0,13487000.0,-2000000.0,-2625000.0,-1930000.0
Issuance (repayment) of debt,-33000.0,-35000.0,-75000000.0,-40000.0,-53000000.0,-0.0,-60000000.0,-0.0,-103000000.0,-70000.0,-84000000.0,-0.0,-268000.0
Issuance (buybacks) of shares,-74000.0,-74000.0,-0000000.0,-66000.0,-0000000.0,-93000.0,-0000000.0,-108000.0,-0000000.0,-144000.0,-0000000.0,-107000.0,-150000.0
Dividend payments,-0.0,-0.0,,-0.0,,-65000.0,,-104000.0,,-0.0,,-3575000.0,-3888000.0
Financing Cash Flow,-5007000.0,-5459000.0,-5000000.0,-6356000.0,-6000000.0,-7668000.0,-8000000.0,-8242000.0,-8000000.0,-11674000.0,-12000000.0,-14182000.0,-13906000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,10864000.0,10714000.0,-1000000.0,11677000.0,1000000.0,10496000.0,0000000.0,10079000.0,-3000000.0,12950000.0,-2000000.0,14993000.0,18634000.0
Free Cash Flow,5169000.0,4507000.0,5000000.0,7543000.0,8000000.0,8068000.0,8000000.0,5380000.0,5000000.0,9563000.0,10000000.0,10541000.0,13798000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
