Date,2018-12-31,2017-12-31,2016-12-31
Revenue,370145720.0,0.0,0.0
Revenue Growth,0.0,0.0,
Cost of Revenue,221470918.0,0.0,0.0
Gross Profit,148674802.0,0.0,0.0
R&D Expenses,0.0,0.0,
SG&A Expense,136068633.0,0.0,39000.0
Operating Expenses,136068633.0,0.0,98558.0
Operating Income,12606169.0,-780280.0,-41000.0
Interest Expense,69550214.0,0.0,0.0
Earnings before Tax,-74635628.0,2235432.0,-41000.0
Income Tax Expense,-16241112.0,810926.0,
Net Income - Non-Controlling int,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,
Net Income,-58394516.0,1424506.0,
Preferred Dividends,0.0,0.0,
Net Income Com,-58394516.0,1424506.0,-41000.0
EPS,-0.67,-0.03,0.0
EPS Diluted,-0.67,-0.03,0.0
Weighted Average Shs Out,87320072.0,10122031.0,11000000.0
Weighted Average Shs Out (Dil),87320072.0,10122031.0,
Dividend per Share,0.0,0.0,
Gross Margin,0.401665598079,0.0,0.0
EBITDA Margin,0.338030616699,0.0,
EBIT Margin,0.0340573139681,0.0,0.0
Profit Margin,-0.157760884011,0.0,
Free Cash Flow margin,0.0525211070926,0.0,
EBITDA,125120586.0,-780280.0,
EBIT,12606169.0,-780280.0,-98558.0
Consolidated Income,-58394516.0,1424506.0,
Earnings Before Tax Margin,-0.201638500642,0.0,0.0
Net Profit Margin,-0.157760884011,0.0,
