date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,7024000000.0,9671000000.0,9379000000.0,5294000000.0,3951000000.0,3142000000.0,4325000000.0,3489518000.0,2811660000.0,2294063000.0,1961249000.0,1711516000.0,2338287000.0,1740851000.0,1632881000.0,2373223000.0,1832663000.0,1298647000.0,717434000.0,847022000.0,852738000.0,644600000.0,711500000.0,536800000.0
,costOfRevenue,6196000000.0,7356000000.0,6603000000.0,4013000000.0,3794000000.0,3250000000.0,2663000000.0,2058673000.0,1633592000.0,600749000.0,478287000.0,576743000.0,830770000.0,700067000.0,662402000.0,716071000.0,527193000.0,412286000.0,285464000.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,828000000.0,2315000000.0,2776000000.0,1281000000.0,157000000.0,-108000000.0,1662000000.0,1430845000.0,1178068000.0,1693314000.0,1482962000.0,1134773000.0,1507517000.0,1040784000.0,970479000.0,1657152000.0,1305470000.0,886361000.0,431970000.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.117881548974943,0.239375452383414,0.295980381703806,0.241972043823196,0.0397367754998735,-0.034373010821133,0.384277456647399,0.410040870974157,0.418993761692381,0.738128813376093,0.756131424413728,0.663022139436616,0.644709994966401,0.597859322825446,0.594335410847453,0.698270663987329,0.712335001034014,0.682526506433234,0.602104165679352,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,256000000.0,343000000.0,400000000.0,326000000.0,325000000.0,327000000.0,333000000.0,295868000.0,248282000.0,193215000.0,165301000.0,236406000.0,226529000.0,129587000.0,162936000.0,124556000.0,80528000.0,60545000.0,48402000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-89000000.0,-132000000.0,-206000000.0,-234000000.0,-202000000.0,-100000000.0,-69000000.0,-55410000.0,-55919000.0,-8256000.0,-10433000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,379000000.0,453000000.0,970000000.0,438000000.0,526000000.0,530000000.0,538000000.0,416968000.0,513418000.0,930196000.0,940013000.0,1101188000.0,807686000.0,516984000.0,522459000.0,692574000.0,655402000.0,451385000.0,264777000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,6575000000.0,7809000000.0,7573000000.0,4451000000.0,4320000000.0,3780000000.0,3201000000.0,2475641000.0,2147010000.0,1530945000.0,1418300000.0,1677931000.0,1638456000.0,1217051000.0,1184861000.0,1408645000.0,1182595000.0,863671000.0,550241000.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,143000000.0,117000000.0,128000000.0,158000000.0,201000000.0,157000000.0,201000000.0,183657000.0,185168000.0,181660000.0,183084000.0,173361000.0,153577000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,23000000.0,443000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387677000.0,387397000.0,359523000.0,568018000.0,574874000.0,390840000.0,216375000.0,222600000.0,214900000.0,236000000.0,337300000.0,212400000.0
,EBITDA,2018000000.0,1885000000.0,2249000000.0,2046000000.0,925000000.0,625000000.0,2132000000.0,1873038000.0,1428178000.0,1472483000.0,1179026000.0,685145000.0,1087508000.0,911197000.0,807543000.0,1532596000.0,1224942000.0,825816000.0,383568000.0,1069622000.0,1067638000.0,880600000.0,1048800000.0,749200000.0
,EBITDARatio,0.287300683371298,0.194912625374832,0.239791022497068,0.386475255005667,0.234117944824095,0.198917886696372,0.492947976878613,0.536761237511886,0.50794832945662,0.641866853700182,0.601160790904164,0.400314691770337,0.465087476430395,0.523420442071148,0.49455104199265,0.645786763401501,0.668394571178662,0.635904907184169,0.534638726349741,1.26280309130105,1.252011755076,1.36611852311511,1.47406886858749,1.3956780923994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,449000000.0,1862000000.0,1806000000.0,843000000.0,-369000000.0,-638000000.0,1124000000.0,1013877000.0,664650000.0,763118000.0,542949000.0,33585000.0,699831000.0,523800000.0,448020000.0,964578000.0,650068000.0,434976000.0,167193000.0,847022000.0,852738000.0,644600000.0,711500000.0,536800000.0
,operatingIncomeRatio,0.0639236902050114,0.192534381139489,0.192557841987419,0.159236871930487,-0.0933940774487472,-0.203055378739656,0.259884393063584,0.290549296493097,0.236390601993129,0.332649103359411,0.276838382071833,0.0196229541529264,0.299292174142866,0.300887324647543,0.274373943967748,0.406442209602722,0.354712241148536,0.334945524072361,0.233043039499104,1.0,1.0,1.0,1.0,1.0
,totalOtherIncomeExpensesNet,-586000000.0,-827000000.0,-458000000.0,-413000000.0,-405000000.0,401000000.0,657000000.0,-1392167000.0,-208681000.0,-27012000.0,356278000.0,-40679000.0,-119801000.0,-128567000.0,-39891000.0,-60836000.0,-81542000.0,-25104000.0,-12824000.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-261000000.0,987000000.0,1251000000.0,309000000.0,-959000000.0,-421000000.0,1597000000.0,-561719000.0,280057000.0,656406000.0,788483000.0,-180455000.0,426453000.0,354624000.0,308988000.0,715459000.0,479213000.0,330776000.0,54122000.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,-0.0371583143507973,0.102057698273188,0.13338308988165,0.0583679637325274,-0.242723361174386,-0.133991088478676,0.369248554913295,-0.16097323469889,0.0996055710861199,0.286132508130771,0.40203105266083,-0.105435765718813,0.182378382123324,0.203707267307771,0.189228731303751,0.301471458855742,0.261484517338976,0.25470816934856,0.075438298157043,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,-61000000.0,231000000.0,276000000.0,-524000000.0,-403000000.0,-155000000.0,556000000.0,-211775000.0,92384000.0,197644000.0,272317000.0,-48108000.0,205639000.0,112645000.0,136666000.0,291728000.0,166359000.0,-64403000.0,5063000.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-200000000.0,756000000.0,978000000.0,833000000.0,-556000000.0,-273000000.0,930000000.0,-838414000.0,192285000.0,834489000.0,605208000.0,-52106000.0,220063000.0,372728000.0,739731000.0,534568000.0,312854000.0,410592000.0,26713000.0,99996000.0,152181000.0,-22500000.0,-746400000.0,-890700000.0
,netIncomeRatio,-0.0284738041002278,0.0781718539964843,0.10427550911611,0.157347941065357,-0.140723867375348,-0.0868873329089752,0.215028901734104,-0.240266420749227,0.0683884253430358,0.363760280341037,0.308582948926934,-0.0304443545955749,0.0941129125723232,0.214106778811053,0.453021989967426,0.22524979742738,0.170710054167078,0.316169059028358,0.0372340870379714,0.1180559654885,0.178461614235557,-0.0349053676698728,-1.04905130007027,-1.65927719821162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.19760479041916,4.5,5.71,4.86,-3.34,-1.83,6.4,-6.16,1.54,7.01,5.14,-0.46,1.87,3.1,5.95,3.9,2.5,3.5,0.24,1.01,1.53,-0.22,-7.46,-17.14
,EPSDiluted,-1.19760479041916,4.5,5.7,4.85,-3.34,-1.83,6.38,-6.16,1.5,6.88,5.08,-0.46,1.85,3.06,5.81,3.8,2.46,3.46,0.23,1.0,1.53,-0.22,-7.46,-17.14
,weightedAverageShsOut,167000000.0,167000000.0,171000000.0,170000000.0,166000000.0,149000000.0,144000000.0,136130000.0,122966000.0,116904000.0,115062000.0,114176000.0,117462000.0,120158000.0,124359000.0,137110000.0,125156000.0,117185000.0,112542000.0,98529000.0,99378000.0,100307000.0,100055000.0,51973000.0
,weightedAverageShsOutDil,167000000.0,167000000.0,171000000.0,170000000.0,166000000.0,149000000.0,144000000.0,136130000.0,126320000.0,119215000.0,116330000.0,114176000.0,118645000.0,121659000.0,127608000.0,141417000.0,127488000.0,118513000.0,114288000.0,99714000.0,99378000.0,100307000.0,100055000.0,51973000.0
