date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,revenue,151451000.0,732724000.0,972410000.0,1005437000.0,995854000.0,981310000.0,984363000.0,974100000.0,1033200000.0,1079600000.0,1144900000.0,1195800000.0,1457900000.0,1721200000.0,1691000000.0,1521500000.0,1468900000.0,1516300000.0,1506200000.0,1463600000.0,1100700000.0,577400000.0,401200000.0,206900000.0,108900000.0
,costOfRevenue,61514000.0,255991000.0,328822000.0,354584000.0,354913000.0,359393000.0,373316000.0,375700000.0,402200000.0,450000000.0,510200000.0,524000000.0,652800000.0,797100000.0,772600000.0,723400000.0,689800000.0,693300000.0,639700000.0,626700000.0,467000000.0,255600000.0,175300000.0,92700000.0,46500000.0
,grossProfit,89937000.0,476733000.0,643588000.0,650853000.0,640941000.0,621917000.0,611047000.0,598400000.0,631000000.0,629600000.0,634800000.0,671700000.0,805100000.0,924100000.0,918400000.0,798100000.0,779100000.0,823000000.0,866600000.0,836900000.0,633700000.0,321800000.0,225900000.0,114200000.0,62400000.0
,grossProfitRatio,0.593835630005744,0.650631069816193,0.661848397280982,0.64733344804299,0.643609404591436,0.633762012004362,0.620753726013676,0.614310645724258,0.610723964382501,0.583178955168581,0.554458904707835,0.561716006021074,0.552232663419988,0.536892865442714,0.543110585452395,0.524548143279658,0.53039689563619,0.542768581415287,0.575355198512814,0.571809237496584,0.575724538929772,0.557325943886387,0.563060817547358,0.551957467375544,0.573002754820937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,10469000.0,26288000.0,5766000.0,43657000.0,46784000.0,49033000.0,51505000.0,50000000.0,61600000.0,61400000.0,67900000.0,85300000.0,99000000.0,89300000.0,101700000.0,92900000.0,78100000.0,31000000.0,29400000.0,31600000.0,18100000.0,13100000.0,14800000.0,6000000.0,2100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-2545000.0,0.0,3778000.0,11148000.0,14295000.0,10368000.0,12764000.0,7400000.0,15800000.0,19600000.0,10000000.0,17900000.0,19900000.0,-200000.0,9000000.0,-6300000.0,3400000.0,613882000.0,10200000.0,-119480000.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,88434000.0,343871000.0,427832000.0,456870000.0,394145000.0,365702000.0,348697000.0,349300000.0,430800000.0,463300000.0,504200000.0,561600000.0,713400000.0,583500000.0,580400000.0,504800000.0,453800000.0,370200000.0,332100000.0,395900000.0,350500000.0,153500000.0,96700000.0,40500000.0,22400000.0
,costAndExpenses,149948000.0,599862000.0,756654000.0,811454000.0,749058000.0,725095000.0,722013000.0,725000000.0,833000000.0,913300000.0,1014400000.0,1085600000.0,1366200000.0,1380600000.0,1353000000.0,1228200000.0,1143600000.0,1063500000.0,971800000.0,1022600000.0,817500000.0,409100000.0,272000000.0,133200000.0,68900000.0
,interestExpense,27512000.0,133686000.0,200634000.0,194615000.0,196389000.0,199685000.0,220971000.0,237048000.0,246761000.0,-318500000.0,-324600000.0,324160000.0,368709000.0,422130000.0,408075000.0,367860000.0,366617000.0,372746000.0,297507000.0,315860000.0,-199800000.0,-82700000.0,-64300000.0,-43500000.0,-24400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,77965000.0,300967000.0,377786000.0,366184000.0,333066000.0,306301000.0,282608000.0,291900000.0,366800000.0,378000000.0,426100000.0,444400000.0,458600000.0,487800000.0,470600000.0,412100000.0,368800000.0,335100000.0,292600000.0,364400000.0,330000000.0,151200000.0,101600000.0,43500000.0,21200000.0
,EBITDA,79468000.0,433829000.0,593542000.0,560167000.0,579862000.0,562516000.0,544958000.0,540900000.0,567000000.0,544300000.0,556600000.0,554600000.0,550300000.0,828400000.0,808600000.0,705400000.0,694100000.0,787900000.0,827000000.0,805300000.0,613200000.0,319400000.0,230900000.0,117300000.0,61200000.0
,EBITDARatio,0.524710962621574,0.592076962130352,0.610382451846443,0.557137841555463,0.582276116780171,0.57322966239007,0.553614875813089,0.555281798583308,0.548780487804878,0.504168210448314,0.48615599615687,0.46378993142666,0.377460731188696,0.481292121775505,0.478178592548788,0.463621426224121,0.47253046497379,0.519620127943019,0.549063869340061,0.550218638972397,0.557100027255383,0.553169379979217,0.575523429710867,0.566940550990817,0.56198347107438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1503000.0,132862000.0,215756000.0,193983000.0,246796000.0,256215000.0,262350000.0,249000000.0,200200000.0,166300000.0,130500000.0,110200000.0,91700000.0,340600000.0,338000000.0,293300000.0,325300000.0,452800000.0,534400000.0,440900000.0,283200000.0,168200000.0,129300000.0,73800000.0,40000000.0
,operatingIncomeRatio,0.00992400182237159,0.181326120067038,0.221877603068664,0.192934017745518,0.247823476132043,0.261094862989269,0.266517534689947,0.255620572836464,0.193766937669377,0.154038532789922,0.113983754039654,0.0921558789095166,0.0628986898964264,0.197885196374622,0.199881726788882,0.192770292474532,0.221458234052692,0.298621644793247,0.354800159341389,0.301243509155507,0.25729081493595,0.291305853827503,0.322283150548355,0.356694055099082,0.367309458218549
