date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-7837188.0,-19265644.0,-17211179.0,-8460799.0,-11938875.0,-8131738.0,-9321672.0,-4677795.0,-3663506.0,-5481648.0,-2908865.0,-2736715.0,-3017890.0,-3350754.0,-7671580.0,-80000.0
,depreciationAndAmortization,660788.0,581532.0,390551.0,218271.0,161613.0,112969.0,65547.0,64350.0,54606.0,39150.0,17804.0,51695.0,103701.0,190440.0,1255526.0,10000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3513671.0,1666024.0,4437250.0,3313603.0,2756793.0,382284.0,695841.0,65468.0,63128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,61334619.0,-10760626.0,8834879.0,11152203.0,-5077743.0,3714985.0,2679529.0,-440817.0,693320.0,-11554.0,-812868.0,-1094160.0,2582687.0,-2310547.0,1885974.0,-80000.0
,accountsReceivables,-326860.0,-642171.0,-1847848.0,-649318.0,-889715.0,131970.0,-412118.0,-401238.0,-15701.0,-36078.0,0.0,0.0,0.0,0.0,0.0,-74000.0
,inventory,-461512.0,-1284848.0,-56751.0,57320.0,340392.0,-632535.0,-303129.0,436764.0,-251350.0,-431022.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1107352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,72299881.0,10965262.0,21725888.0,12891009.0,1738806.0,6816549.0,3101564.0,422035.0,862852.0,169532.0,181086.0,993954.0,2088114.0,-494573.0,1815974.0,-70000.0
,otherNonCashItems,1516761.0,1288949.0,734041.0,82054.0,30480.0,-1345290.0,378744.0,833653.0,534480.0,-4616113.0,149325.0,251590.0,403917.0,850442.0,3535196.0,0.0
,netCashProvidedByOperatingActivites,-5613286.0,-16758782.0,-10839684.0,-6460705.0,-6730967.0,-9008934.0,-6661193.0,-3489320.0,-3616447.0,-3828527.0,-2477258.0,-2674613.0,-2365349.0,-2627839.0,-2849182.0,-50000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-708395.0,-698165.0,-671970.0,-990673.0,-140724.0,-403608.0,-153157.0,-38684.0,-19850.0,-34672.0,-139356.0,-6411.0,0.0,-33686.0,-64863.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-5678000.0,-6689547.0,0.0,0.0,0.0,0.0,0.0,-393607.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,2192000.0,5430547.0,4745000.0,0.0,0.0,0.0,0.0,199607.0,194000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1676218.0,-1520117.0,-1520264.0,-1678119.0,1596469.0,-890900.0,-2311869.0,-216356.0,-38806.0,-52490.0,-165449.0,185279.0,-221659.0,-33686.0,-64863.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-16410900.0,0.0,-666667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,80214008.0,673653.0,14126525.0,13679730.0,0.0,9524083.0,9751455.0,2199967.0,3500001.0,2756860.0,767498.0,0.0,0.0,0.0,5079927.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-375000.0,-4212.0,-147988.0,-1560.0,-118833.0,9524083.0,9751455.0,2199967.0,3500001.0,0.0,0.0,1335754.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,66348330.0,8177679.0,17465853.0,20123073.0,5064207.0,11640242.0,10016906.0,4202687.0,4210606.0,4012001.0,2102748.0,1335754.0,5124603.0,0.0,5079927.0,40000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-2607139.0,350365.0,784752.0,-1454136.0,358077.0,386435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,59189183.0,-10136419.0,5046975.0,12076684.0,-71673.0,1711571.0,1422250.0,453686.0,542691.0,130984.0,-539959.0,-1153580.0,2537595.0,-2661525.0,2165882.0,-20000.0
