date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-166345000.0,-3669000.0,9990000.0,99868000.0,116980000.0,41796000.0,67255000.0,49613000.0,22376000.0,-25234000.0,-16357000.0,-49861000.0,-8808000.0,17847000.0,5098000.0,3297000.0,2049000.0,785000.0,1292000.0,834000.0,847000.0,1338000.0,1948000.0
,depreciationAndAmortization,96958.0,98119000.0,91713000.0,85554000.0,76666000.0,75499000.0,70732000.0,64346000.0,59751000.0,59443000.0,54798000.0,46287000.0,43177000.0,36775000.0,21249000.0,11368000.0,7200000.0,4790000.0,4212000.0,4476000.0,3892000.0,2064000.0,1604000.0
,deferredIncomeTax,0.0,-312000.0,-144000.0,5262000.0,-4888000.0,-3141000.0,-2685000.0,-5500000.0,-3355000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,10803000.0,11436000.0,9286000.0,8048000.0,6523000.0,6028000.0,9746000.0,9678000.0,7590000.0,6649000.0,2143000.0,1502000.0,852000.0,339000.0,99000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-16042000.0,-14243000.0,-20575000.0,-199332000.0,216073000.0,-12508000.0,-77811000.0,-79590000.0,140671000.0,-12306000.0,75718000.0,-59830000.0,19627000.0,-14484000.0,-18927000.0,-17097000.0,-19272000.0,68643000.0,2835000.0,3362000.0,-5987000.0,-22273000.0,-1004000.0
,accountsReceivables,0.0,1028000.0,1760000.0,-135000.0,1024000.0,993000.0,-350000.0,2419000.0,-235000.0,-1358000.0,-1694000.0,-312000.0,420000.0,-2500000.0,-1731000.0,-435000.0,-1553000.0,-223000.0,-962000.0,62000.0,-1845000.0,-2500000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,2280000.0,10719000.0,-17155000.0,-1788000.0,3888000.0,-2373000.0,6326000.0,-2236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646000.0,-288000.0,230000.0,300000.0,0.0
,otherWorkingCapital,-63348000.0,-47306000.0,-33063000.0,-12488000.0,186844000.0,-29229000.0,-16721000.0,61090000.0,140680000.0,9000.0,12315000.0,-63403000.0,-3573000.0,-23200000.0,-8716000.0,10211000.0,27308000.0,46580000.0,-22063000.0,-24898000.0,-28260000.0,-22273000.0,0.0
,otherNonCashItems,0.0,12000.0,-4209000.0,3974000.0,11845000.0,0.0,-33161000.0,-12096000.0,-678000.0,-2094000.0,2117000.0,-3253000.0,-1621000.0,2323000.0,706000.0,154000.0,348000.0,1100000.0,3435000.0,1456000.0,2138000.0,4212000.0,95000.0
,netCashProvidedByOperatingActivites,0.0,103112000.0,114822000.0,108406000.0,86558000.0,121817000.0,112894000.0,90261000.0,71756000.0,58668000.0,46246000.0,21532000.0,53894000.0,59300000.0,27217000.0,15413000.0,12148000.0,5193000.0,7977000.0,6828000.0,5032000.0,3075000.0,2643000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185149000.0,-286231000.0,-9315000.0,-63626000.0,-32658000.0,-395359000.0,-135059000.0,-51516000.0,-31943000.0,-5142000.0,-5017000.0,-13017000.0,-7209000.0,-3251000.0
,acquisitionsNet,0.0,0.0,0.0,-1000000.0,0.0,-5000000.0,0.0,-2000000.0,-19000000.0,-18000000.0,-6000000.0,0.0,0.0,0.0,-2000000.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1570000.0,0.0,-2000000.0,-64200000.0,-65700000.0,-52673000.0,-34059000.0,-13939000.0,-15000000.0,0.0,0.0,0.0,-1000000.0,-501000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13285000.0,100000.0,9024000.0,6456000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,15806000.0,2069000.0,6476000.0,-779000.0,6458000.0,18686000.0,4986000.0,0.0,-14291000.0,-492000.0,25783000.0,57210000.0,35417000.0,-25448000.0,-10429000.0,-11427000.0,4997000.0,10599000.0,-800000.0,0.0,666000.0
,netCashUsedForInvestingActivites,0.0,-53566000.0,-17965000.0,-99594000.0,149924000.0,-143909000.0,-180504000.0,-125474000.0,-55817000.0,-230758000.0,-314358000.0,-8921000.0,-114870000.0,-46027000.0,-413881000.0,-191236000.0,-78378000.0,-58370000.0,-145000.0,5513000.0,-14895000.0,-9149000.0,-3132000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-57418000.0,-25711000.0,-128882000.0,-276859000.0,-184356000.0,-61348000.0,-54398000.0,-238478000.0,-8193000.0,-94979000.0,-48453000.0,-57421000.0,-20717000.0,-80222000.0,-178327000.0,-51621000.0,-42822000.0,-3857000.0,-17837000.0,-17016000.0,-11560000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128558000.0,0.0,420441000.0,21342000.0,61845000.0,0.0,191015000.0,0.0,38279000.0,77262000.0,1711000.0,0.0,0.0,11991000.0,0.0
