date,,2020-12-31_FY,2019-12-31_FY,2018-12-28_FY,2017-12-29_FY,2016-12-30_FY,2016-01-01_FY,2015-01-02_FY,2014-01-03_FY,2012-12-28_FY,2011-12-30_FY,2010-12-31_FY,2010-01-01_FY,2009-01-02_FY,2007-12-28_FY,2006-12-29_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2003-01-03_FY,2001-12-28_FY,2000-12-29_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,77258000.0,96336000.0,167964000.0,66679000.0,5961000.0,-7594000.0,55458000.0,36300000.0,-4800000.0,33100000.0,33138000.0,-9000000.0,18600000.0,15100000.0,16100000.0,10107000.0,16257000.0,23288000.0,14400000.0,8600000.0,-500000.0,-2272000.0
,depreciationAndAmortization,79324000.0,77895000.0,88988000.0,102796000.0,90524000.0,44632000.0,37457000.0,36000000.0,46400000.0,47700000.0,46447000.0,47200000.0,45400000.0,25800000.0,19300000.0,19718000.0,14835000.0,13179000.0,12100000.0,14200000.0,13000000.0,11363000.0
,deferredIncomeTax,-6966000.0,-10285000.0,61126000.0,-59212000.0,-7350000.0,-10298000.0,531000.0,-29900000.0,5700000.0,8800000.0,15419000.0,-10100000.0,1700000.0,-4900000.0,4900000.0,4330000.0,12203000.0,4578000.0,3800000.0,2400000.0,-400000.0,1309000.0
,stockBasedCompensation,9163000.0,9294000.0,10470000.0,14680000.0,8408000.0,9376000.0,13186000.0,14101000.0,10904000.0,12082000.0,6884000.0,5204000.0,11211000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,16161000.0,-40131000.0,-9919000.0,3428000.0,-6000000.0,-59311000.0,-18545000.0,-7038000.0,-16826000.0,-6846000.0,8604000.0,-11408000.0,-21714000.0,-8891000.0,-16214000.0,2000.0,-2618000.0,7927000.0,-6448000.0,-6892000.0,3593000.0,-4324000.0
,accountsReceivables,38153000.0,-6976000.0,9289000.0,-34597000.0,-2169000.0,3684000.0,-11731000.0,7379000.0,-18834000.0,-13477000.0,10922000.0,5876000.0,-18640000.0,-25700000.0,-1300000.0,0.0,0.0,0.0,-379000.0,-4396000.0,-2000000.0,0.0
,inventory,18441000.0,3724000.0,-16094000.0,-986000.0,22170000.0,-25752000.0,-6726000.0,-11508000.0,-7481000.0,-2139000.0,7406000.0,6898000.0,-21077000.0,-14200000.0,-12500000.0,-11157000.0,-5429000.0,5822000.0,-2752000.0,-10030000.0,0.0,-292000.0
,accountsPayables,-9055000.0,1887000.0,-94000.0,4887000.0,-1127000.0,3129000.0,-970000.0,1307000.0,5757000.0,4236000.0,-7568000.0,-12668000.0,14285000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282000.0,-641000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1826000.0
,otherNonCashItems,11738000.0,36748000.0,-140860000.0,35666000.0,22397000.0,45050000.0,6375000.0,21400000.0,34400000.0,7200000.0,-33607000.0,55100000.0,13200000.0,15900000.0,15100000.0,0.0,0.0,0.0,7700000.0,6200000.0,2500000.0,1798000.0
,netCashProvidedByOperatingActivites,181341000.0,165358000.0,167299000.0,149357000.0,105532000.0,12479000.0,81276000.0,56800000.0,64800000.0,89900000.0,76885000.0,71800000.0,57100000.0,43000000.0,39200000.0,43335000.0,45166000.0,54801000.0,27800000.0,21500000.0,18200000.0,8992000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-46832000.0,-48198000.0,-44908000.0,-47301000.0,-58632000.0,-44616000.0,-24823000.0,-18558000.0,-41069000.0,-22489000.0,-16140000.0,-19674000.0,-44172000.0,-20000000.0,-15400000.0,-28183000.0,-38444000.0,-11925000.0,-20501000.0,-9715000.0,-4900000.0,-8452000.0
,acquisitionsNet,-5219000.0,-15009000.0,581429000.0,0.0,0.0,-423389000.0,-13347000.0,4746000.0,-17224000.0,-66493000.0,0.0,0.0,-107577000.0,-189898000.0,0.0,0.0,-45716000.0,0.0,-47124000.0,-46913000.0,0.0,0.0
,purchasesOfInvestments,0.0,-417000.0,-1230000.0,-1316000.0,-3015000.0,-6300000.0,2248000.0,-3732000.0,-1887000.0,10315000.0,0.0,-1050000.0,-2010000.0,0.0,0.0,-82851000.0,0.0,-11559000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74743000.0,9059000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-4525000.0,28000.0,1379000.0,681000.0,-1653000.0,746000.0,0.0,-756000.0,380000.0,-1733000.0,2216000.0,-376000.0,5059000.0,64098000.0,-1000000.0,4897000.0,90000.0,2841000.0,-1475000.0,-2772000.0,1500000.0,-395000.0
,netCashUsedForInvestingActivites,-56576000.0,-63596000.0,536670000.0,-47936000.0,-63300000.0,-473559000.0,-35922000.0,-18300000.0,-59800000.0,-80400000.0,-13924000.0,-21100000.0,-148700000.0,-145800000.0,-16400000.0,-31394000.0,-75011000.0,-20643000.0,-69100000.0,-59400000.0,-3400000.0,-8847000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-272506000.0,-150500000.0,-705469000.0,-178558000.0,-46000000.0,-1232175000.0,-10000000.0,-458282000.0,-32000000.0,-40000000.0,-78450000.0,-46000000.0,-62058000.0,0.0,0.0,0.0,0.0,0.0,-29880000.0,-6013000.0,0.0,-2950000.0
,commonStockIssued,0.0,0.0,0.0,0.0,2821000.0,6583000.0,8278000.0,12807000.0,1263000.0,2401000.0,659000.0,0.0,0.0,0.0,0.0,1068000.0,1205000.0,868000.0,0.0,0.0,0.0,1101000.0
,commonStockRepurchased,0.0,0.0,12409000.0,19324000.0,2821000.0,6583000.0,8278000.0,12800000.0,1300000.0,2400000.0,0.0,200000.0,1400000.0,2500000.0,2100000.0,0.0,-95000.0,-179000.0,500000.0,43700000.0,86000000.0,-109000.0
