date,,2020-12-29_FY,2019-12-31_FY,2019-01-01_FY,2018-01-02_FY,2017-01-03_FY,2015-12-29_FY,2014-12-30_FY,2013-12-31_FY,2013-01-01_FY,2012-01-03_FY,2010-12-28_FY,2009-12-29_FY,2008-12-30_FY,2008-01-01_FY,2007-01-02_FY,2006-01-03_FY,2004-12-28_FY,2003-12-30_FY,2002-12-31_FY,2002-01-01_FY,2001-01-02_FY,1999-12-28_FY,1998-12-29_FY,1997-12-30_FY,1996-12-29_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,revenue,1983225000.0,2482692000.0,2332331000.0,2260502000.0,2275719000.0,2100609000.0,1976624000.0,1877910000.0,1809000000.0,1757600000.0,1659400000.0,1602000000.0,1606400000.0,1511600000.0,1315300000.0,1182100000.0,969200000.0,773800000.0,651970000.0,539100000.0,438300000.0,347500000.0,265200000.0,208600000.0,160300000.0,117200000.0,85600000.0,67000000.0,52000000.0
,costOfRevenue,458332000.0,1461450000.0,532880000.0,519388000.0,526628000.0,504031000.0,490306000.0,1058754000.0,450200000.0,448500000.0,412900000.0,394400000.0,416800000.0,381000000.0,333500000.0,302900000.0,257100000.0,195400000.0,516525000.0,146200000.0,117500000.0,95200000.0,76100000.0,94200000.0,74300000.0,36700000.0,26900000.0,20700000.0,15900000.0
,grossProfit,1524893000.0,1021242000.0,1799451000.0,1741114000.0,1749091000.0,1596578000.0,1486318000.0,819156000.0,1358900000.0,1309200000.0,1246500000.0,1207600000.0,1189600000.0,1130600000.0,981800000.0,879200000.0,712200000.0,578500000.0,135445000.0,393000000.0,320800000.0,252300000.0,189100000.0,114400000.0,86000000.0,80500000.0,58700000.0,46300000.0,36100000.0
,grossProfitRatio,0.76889561194519,0.411344621080666,0.771524710686433,0.770233337550686,0.768588301103959,0.760054822196801,0.751947765482965,0.436206207965238,0.751188501934771,0.744879380974055,0.751175123538628,0.753807740324594,0.740537848605578,0.747949192908177,0.746445677792139,0.743761103121563,0.734832851836566,0.747609201344017,0.20774728898569,0.728992765720646,0.731918777093315,0.726043165467626,0.713046757164404,0.548418024928092,0.536494073611978,0.686860068259386,0.685747663551402,0.691044776119403,0.694230769230769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,157644000.0,160199000.0,1006228000.0,938749000.0,927260000.0,844118000.0,785752000.0,114728000.0,702400000.0,673800000.0,637800000.0,629300000.0,628700000.0,602000000.0,518700000.0,436000000.0,353800000.0,287100000.0,42333000.0,199400000.0,165100000.0,133300000.0,102400000.0,93400000.0,66500000.0,64300000.0,46100000.0,37300000.0,30400000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,458425000.0,0.0,560438000.0,546448000.0,532714000.0,495640000.0,472304000.0,0.0,433800000.0,428400000.0,408400000.0,402900000.0,397500000.0,353500000.0,303200000.0,268300000.0,223500000.0,180700000.0,0.0,120700000.0,95900000.0,77200000.0,60500000.0,0.0,0.0,0.0,0.0,0.0,0.0
