date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,346894000.0,4265304000.0,3983865000.0,4091753000.0,3514582000.0,3092303000.0,2387852000.0,1617816826.2,2055342497.94,1903712458.0,1636031824.38,1463868227.64,1124065774.44,1051500022.65,702827722.8,626264613.15,428678881.43,279593440.2,149027104.6,187590135.6,62441928.64,152583265.0,140803450.0,293000000.0
,depreciationAndAmortization,676933000.0,639066000.0,436527000.0,426415000.0,407061000.0,400905000.0,433787000.0,345326427.6,282747762.3,246928436.4,235650186.41,206328587.01,180252824.31,152936463.87,153748625.2,133347862.32,152770560.55,166086973.8,156017310.2,160814158.4,167678596.8,141061127.5,129097700.0,86800000.0
,deferredIncomeTax,-1147311000.0,-52540000.0,91101000.0,-3556000.0,28228000.0,-117195000.0,-252710000.0,-30520324.2,-42494244.84,-23821721.4,-46772648.77,-24817818.48,-13805904.06,-44733008.79,-14624101.6,-39603571.38,-20737714.25,15296526.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,103632000.0,120062000.0,65547000.0,62043000.0,94871000.0,-73150000.0,62628000.0,64700919.1,69466156.07,18448222.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,7125442000.0,827097000.0,-6018779000.0,4023206000.0,-6637245000.0,-6172043000.0,-4974795000.0,-466146742.6,5989770705.16,-7134806769.6,7195278857.1,-3159437140.86,-516970466.64,483084116.64,966287666.0,4654311423.36,1615151546.49,-789380519.4,-150813334.2,-52905008.8,-263740930.96,241189730.0,-25083750.0,107800000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,7754945000.0,8022539000.0,5276547000.0,7382015000.0,-3113923000.0,3174192000.0,9514322000.0,3539735675.0,18509250640.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,1196055000.0,742235000.0,697411000.0,491657000.0,431588000.0,408808000.0,-1025924000.0,-1026867120.2,403916813.03,-71594044.0,-44902659.2,6393083.97,55456123.5,2435168343.33,-20200571.6,-1135829187.63,176521390.91,2091437461.8,1074100646.4,448894216.4,667217554.51,605555845.0,510370700.0,20400000.0
,netCashProvidedByOperatingActivites,12686823000.0,6933711000.0,-121962000.0,9301315000.0,-1457530000.0,-1362494000.0,-1825273000.0,2169185397.6,9341958966.8,-4485895526.8,9250136798.74,-1418234434.89,1420867575.81,4018772617.11,1804695416.4,4330927018.56,2306735464.26,1756204209.0,1232188998.4,635180137.2,652009331.61,986579077.5,752846950.0,507700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-98120000.0,-134776000.0,-181459000.0,-143851000.0,-110151000.0,-214661000.0,-301734000.0,-565518955.4,-422693703.41,-265174133.8,-229622118.96,-130737551.49,-287030212.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128800000.0
,acquisitionsNet,0.0,-113000000.0,0.0,-44000000.0,0.0,0.0,262000000.0,-21000000.0,-193000000.0,-83000000.0,0.0,-92000000.0,0.0,0.0,-140000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2837015000.0,-1688443000.0,0.0,0.0,-1550332000.0,-1135744000.0,0.0,-1262853302.4,-4546451646.7,0.0,0.0,0.0,0.0,-4621764341.79,-1325219831.2,-2183609120.58,0.0,-6056872788.6,-1134523027.2,-2034963943.6,-731176776.85,-503943570.0,-6700371300.0,0.0
,salesMaturitiesOfInvestments,1600519000.0,3256332000.0,295990000.0,670620000.0,0.0,0.0,0.0,0.0,0.0,0.0,3990108143.05,825241798.29,394055817.84,0.0,0.0,0.0,0.0,2676361354.2,1195859620.0,1277838002.0,306338069.44,146445140.0,7385324900.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6309849.8,-529699602.99,0.0,0.0,0.0,0.0,0.0,-1321000594.45,83076438.6,5485272.0,951175209.6,541539764.48,782674072.5,-1705026100.0,0.0
,netCashUsedForInvestingActivites,-1873356000.0,726207000.0,-234086000.0,405672000.0,-1889045000.0,-1582445000.0,2299578000.0,-2175992417.0,-5578826238.32,-6979693354.8,3231545298.95,434532374.64,112602637.62,-4780507912.29,-1864569898.4,-2222668667.94,-1455712130.48,-3401212039.2,-189382532.0,87895130.4,35003612.8,308144397.5,-1205023350.0,-2125900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-163392000.0,-1124850000.0,0.0,0.0,0.0,0.0,-1199524000.0,-1369038240.4,-1442000559.08,-1047887461.2,-2459594704.1,-333412533.09,-660100679.1,-227031786.72,-280886030.0,0.0,0.0,-235191891.6,0.0,-465150445.2,-498243965.18,-1567536825.0,146489100.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
