date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-24293000.0,-28478000.0,-43365000.0,-53580000.0,-57588000.0,-57246000.0,-45722000.0,-47889000.0
,depreciationAndAmortization,4366000.0,4237000.0,4122000.0,3669000.0,3153000.0,2619000.0,2080000.0,1882000.0
,deferredIncomeTax,0.0,0.0,-37000.0,37000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3406000.0,2837000.0,3886000.0,6048000.0,5324000.0,3607000.0,2550000.0,2337000.0
,changeInWorkingCapital,-12234000.0,-1922000.0,-20361000.0,-24635000.0,-51317000.0,87858000.0,-9241000.0,-3321000.0
,accountsReceivables,2501000.0,2070000.0,28000.0,1490000.0,4000.0,-6107000.0,-2929000.0,-2089000.0
,inventory,-512000.0,-2539000.0,-350000.0,2535000.0,-200000.0,-3829000.0,-1071000.0,-1424000.0
,accountsPayables,-3182000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,22425000.0,34659000.0,36581000.0,56942000.0,81577000.0,132894000.0,45036000.0,54277000.0
,otherNonCashItems,1892000.0,1569000.0,125000.0,100000.0,7000.0,135000.0,24000.0,151000.0
,netCashProvidedByOperatingActivites,-18310000.0,-2838000.0,-26982000.0,-37856000.0,-49132000.0,-54450000.0,-43539000.0,-46826000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3249000.0,-2926000.0,-4059000.0,-5233000.0,-7161000.0,-4643000.0,-2614000.0,-4112000.0
,acquisitionsNet,0.0,0.0,0.0,-6000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-27430000.0,-30991000.0,-65614000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,7250000.0,47115000.0,32125000.0,37050000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,-162000.0,300000.0,3837000.0,1108000.0,-4345000.0
,netCashUsedForInvestingActivites,-3249000.0,4324000.0,15626000.0,-10041000.0,-35425000.0,-806000.0,-1506000.0,-8457000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-15000000.0,-15225000.0,0.0,-485000.0,-10483000.0,-2382000.0,-4496000.0
,commonStockIssued,19046000.0,4999000.0,22768000.0,1023000.0,0.0,139766000.0,121000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-10000.0,-1656000.0,0.0,-434000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,23757000.0,8527000.0,7655000.0,32697000.0,3602000.0,134565000.0,29337000.0,69603000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,81000.0,1000.0,1733000.0,-3709000.0,1027000.0,-24000.0,-613000.0,167000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,2279000.0,10014000.0,-1968000.0,-18909000.0,-79928000.0,79285000.0,-16321000.0,14487000.0
,cashAtEndOfPeriod,29135000.0,26856000.0,16380000.0,18348000.0,37257000.0,117185000.0,37900000.0,54221000.0
,cashAtBeginningOfPeriod,26856000.0,16842000.0,18348000.0,37257000.0,117185000.0,37900000.0,54221000.0,39734000.0
,operatingCashFlow,-18310000.0,-2838000.0,-26982000.0,-37856000.0,-49132000.0,-54450000.0,-43539000.0,-46826000.0
,capitalExpenditure,-3249000.0,-2926000.0,-4059000.0,-5233000.0,-7161000.0,-4643000.0,-2614000.0,-4112000.0
,freeCashFlow,-21559000.0,-5764000.0,-31041000.0,-43089000.0,-56293000.0,-59093000.0,-46153000.0,-50938000.0
