date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-06-27_FY,2014-06-28_FY
,revenue,5063300000.0,4837400000.0,4731700000.0,4946200000.0,5280600000.0,2632200000.0,4603900000.0,4060800000.0
,costOfRevenue,3248100000.0,3064100000.0,2900200000.0,2966700000.0,3228800000.0,1553300000.0,2891400000.0,2613100000.0
,grossProfit,1815200000.0,1773300000.0,1831500000.0,1979500000.0,2051800000.0,1078900000.0,1712500000.0,1447700000.0
,grossProfitRatio,0.358501372622598,0.366581221317237,0.38707018619101,0.400206218915531,0.388554330947241,0.40988526707697,0.371967245161711,0.356506107171001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,177700000.0,187400000.0,218600000.0,167700000.0,184000000.0,88200000.0,187800000.0,152500000.0
,GeneralAndAdministrativeExpenses,496000000.0,503000000.0,435900000.0,461100000.0,452200000.0,355600000.0,452900000.0,466600000.0
,SellingAndMarketingExpenses,679500000.0,663100000.0,689900000.0,685400000.0,753300000.0,325000000.0,319000000.0,208600000.0
,otherExpenses,-27200000.0,66000000.0,-6100000.0,10100000.0,-22700000.0,600000000.0,0.0,12000000.0
,operatingExpenses,1349500000.0,1357700000.0,1349600000.0,1272800000.0,1389500000.0,1012200000.0,975300000.0,1046500000.0
,costAndExpenses,4597600000.0,4421800000.0,4249800000.0,4239500000.0,4618300000.0,2565500000.0,3866700000.0,3659600000.0
,interestExpense,125000000.0,0.0,0.0,0.0,0.0,-97900000.0,-137200000.0,-116200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,384800000.0,396500000.0,423600000.0,444800000.0,457000000.0,182400000.0,548800000.0,358900000.0
,EBITDA,850500000.0,812100000.0,905500000.0,1151500000.0,1119300000.0,249100000.0,1286000000.0,760100000.0
,EBITDARatio,0.167973456046452,0.167879439368256,0.191368852632246,0.232804981602038,0.211964549483013,0.094635665982828,0.27932839549078,0.187179866036249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,465700000.0,415600000.0,481900000.0,706700000.0,662300000.0,66700000.0,737200000.0,401200000.0
,operatingIncomeRatio,0.0919755890427192,0.0859139207012031,0.101845002853097,0.142877360397881,0.125421353634057,0.0253400197553377,0.160125111318665,0.0987982663514578
,totalOtherIncomeExpensesNet,-490100000.0,-122900000.0,-63300000.0,-258500000.0,-5294000000.0,40100000.0,-352000000.0,-12400000.0
,incomeBeforeTax,-149400000.0,171000000.0,290600000.0,280100000.0,-4848300000.0,8900000.0,248000000.0,272600000.0
,incomeBeforeTaxRatio,-0.0295064483637154,0.0353495679497251,0.0614155588900395,0.0566293316081032,-0.918134302920123,0.00338120203631943,0.0538673733139295,0.0671296296296296
,incomeTaxExpense,13200000.0,24900000.0,159600000.0,160500000.0,-835500000.0,-28000000.0,120000000.0,67300000.0
,netIncome,-162600000.0,146100000.0,131000000.0,119600000.0,-4012800000.0,42500000.0,128000000.0,205300000.0
,netIncomeRatio,-0.0321134438014733,0.0302021747219581,0.027685609823108,0.0241801787230601,-0.759913646176571,0.0161461894992782,0.0278025152588023,0.0505565405831363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.19,1.07426470588235,0.950653120464441,0.840477863668306,-28.01,0.2909,0.91559,1.77595
,EPSDiluted,-1.19,1.07032967032967,0.947216196673897,0.838709677419355,-28.01,0.2909,0.91559,1.77595
,weightedAverageShsOut,136100000.0,136000000.0,137800000.0,142300000.0,143300000.0,146100000.0,139800000.0,115600000.0
,weightedAverageShsOutDil,136100000.0,136500000.0,138300000.0,142600000.0,143300000.0,146100000.0,139800000.0,115600000.0
