date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,revenue,601256000.0,510762000.0,432676000.0,396444000.0,397991000.0,402928000.0,399300000.0,392300000.0,380000000.0,374000000.0,326000000.0,303800000.0,267900000.0,182800000.0,145500000.0,123800000.0
,costOfRevenue,21387000.0,28237000.0,8202000.0,1656000.0,1146000.0,3321000.0,2900000.0,1800000.0,1400000.0,2000000.0,1900000.0,3300000.0,1200000.0,2000000.0,700000.0,4900000.0
,grossProfit,579869000.0,482525000.0,424474000.0,394788000.0,396845000.0,399607000.0,396400000.0,390500000.0,378600000.0,372000000.0,324100000.0,300500000.0,266700000.0,180700000.0,144800000.0,118900000.0
,grossProfitRatio,0.964429460994984,0.944715934231599,0.981043552219213,0.99582286527227,0.997120537901611,0.991757832664893,0.992737290257951,0.99541167473872,0.996315789473684,0.994652406417112,0.994171779141104,0.989137590520079,0.99552071668533,0.988512035010941,0.995189003436426,0.960420032310178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,42515000.0,36182000.0,16541000.0,18499000.0,25118000.0,23860000.0,20444000.0,27149000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,111585000.0,117658000.0,103139000.0,88590000.0,94101000.0,95808000.0,99900000.0,86300000.0,89000000.0,84600000.0,77500000.0,77100000.0,56500000.0,38800000.0,28800000.0,30600000.0
,operatingExpenses,42515000.0,36182000.0,16541000.0,18499000.0,25118000.0,23860000.0,20444000.0,27149000.0,116039000.0,108254000.0,96904000.0,97081000.0,80591000.0,65180000.0,53128000.0,41263000.0
,costAndExpenses,302003000.0,362953000.0,284027000.0,243263000.0,216619000.0,219105000.0,222900000.0,244500000.0,206500000.0,195000000.0,179500000.0,181100000.0,138200000.0,106000000.0,89900000.0,76800000.0
,interestExpense,164521000.0,128303000.0,80937000.0,58844000.0,43259000.0,60414000.0,55703000.0,54211000.0,49880000.0,49019000.0,59281000.0,404245000.0,133688000.0,-86900000.0,31700000.0,-56100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,136765000.0,124378000.0,105545000.0,95542000.0,92253000.0,94127000.0,97900000.0,99800000.0,91900000.0,89300000.0,78700000.0,76900000.0,65500000.0,52000000.0,43200000.0,34900000.0
,EBITDA,436018000.0,272187000.0,254194000.0,248723000.0,273625000.0,277950000.0,274300000.0,247600000.0,265400000.0,268300000.0,225200000.0,199600000.0,195200000.0,128800000.0,98800000.0,81900000.0
