date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-120996000.0,-95186000.0,-68334000.0,-54568000.0,-71658000.0,-40703000.0,-26417000.0,-26624000.0,-22264000.0,-35750000.0,-24854000.0,-18587000.0,-24302000.0,-21480000.0,-17864000.0,-13293000.0,-13818000.0,-10433000.0,-29764000.0,-25249000.0,-9066000.0,-3800000.0
,depreciationAndAmortization,13369000.0,9607000.0,2359000.0,1498000.0,997000.0,988000.0,549000.0,569000.0,660000.0,646000.0,676000.0,572000.0,523000.0,-1871000.0,-686000.0,488000.0,1480000.0,2171000.0,2513000.0,4310000.0,5232000.0,700000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,-14000.0,-5722000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,25708000.0,19330000.0,14677000.0,9089000.0,15057000.0,11730000.0,9200000.0,6146000.0,5338000.0,8081000.0,7818000.0,8467000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,252586000.0,3591000.0,128472000.0,67249000.0,-56196000.0,22488000.0,82854000.0,27568000.0,-18913000.0,24266000.0,-15894000.0,15895000.0,-18216000.0,22581000.0,8188000.0,9640000.0,-11686000.0,-8401000.0,-8987000.0,-3375000.0,162000.0,500000.0
,accountsReceivables,31685000.0,-32236000.0,-1330000.0,1629000.0,-2144000.0,7847000.0,-7213000.0,1008000.0,-3414000.0,-553000.0,-297000.0,431000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,220962000.0,335601000.0,332010000.0,203538000.0,136289000.0,192485000.0,169997000.0,87143000.0,59575000.0,78488000.0,54222000.0,70116000.0,54221000.0,72437000.0,49856000.0,41668000.0,32028000.0,43714000.0,52115000.0,61102000.0,64477000.0,0.0
,otherNonCashItems,0.0,218000.0,966000.0,80000.0,99000.0,-1800000.0,230000.0,60000.0,6227000.0,-35750000.0,9005000.0,-302000.0,5749000.0,2437000.0,7796000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,169875000.0,-144402000.0,37152000.0,11179000.0,-65883000.0,-33720000.0,-5675000.0,-19482000.0,-8082000.0,-25895000.0,-23934000.0,-6137000.0,-17345000.0,-16068000.0,-14478000.0,-4069000.0,-10164000.0,-7440000.0,-9672000.0,-6107000.0,-2454000.0,-2400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-14714000.0,-20675000.0,-43065000.0,-3751000.0,-732000.0,-2411000.0,-621000.0,-432000.0,-723000.0,-576000.0,-695000.0,-272000.0,-739000.0,-1369000.0,-374000.0,-428000.0,-24000.0,-64000.0,-69000.0,-1403000.0,-1750000.0,-300000.0
,acquisitionsNet,0.0,0.0,-76000000.0,0.0,0.0,-2000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-570779000.0,-443711000.0,-451239000.0,-252328000.0,-218640000.0,-257988000.0,-227802000.0,-118894000.0,-91428000.0,-112974000.0,-100027000.0,-79406000.0,-82485000.0,-119855000.0,-67135000.0,-33518000.0,-20702000.0,-44803000.0,-35493000.0,-55353000.0,-54530000.0,-8200000.0
,salesMaturitiesOfInvestments,314570000.0,404847000.0,391845000.0,178675000.0,237497000.0,337861000.0,127765000.0,51129000.0,103470000.0,93550000.0,113096000.0,60500000.0,107014000.0,94586000.0,55277000.0,29518000.0,29160000.0,44028000.0,55154000.0,54891000.0,7306000.0,2600000.0
,otherInvestingActivites,0.0,0.0,0.0,-3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4656000.0,0.0,-100000.0
,netCashUsedForInvestingActivites,-271627000.0,-59801000.0,-178106000.0,-80904000.0,18125000.0,77462000.0,-100658000.0,-68118000.0,11319000.0,-20000000.0,12374000.0,-19178000.0,23790000.0,-26638000.0,-12232000.0,-4428000.0,8434000.0,-623000.0,19671000.0,2791000.0,-48974000.0,-6000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,142526000.0,136308000.0,231963000.0,98144000.0,1113000.0,6804000.0,106733000.0,78122000.0,1676000.0,51877000.0,1185000.0,26763000.0,1847000.0,42279000.0,20905000.0,18379000.0,553000.0,227000.0,468000.0,690000.0,49788000.0,7400000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
