date,,2021-10-31_FY,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY
,revenue,6808165.0,821512.0,5324980.0,141032.0,5271542.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,214334.0,221335.0,213686.0,217457.0,225184.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,18034.0,15171.0,17225.0,18893.0,-54799.0
,operatingExpenses,232368.0,236506.0,230911.0,236350.0,170385.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0
,interestExpense,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0
,EBITDA,6575797.0,585006.0,5094069.0,-95318.0,5101157.0
,EBITDARatio,0.965869217329486,0.712108891896893,0.95663626905641,-0.675860797549492,0.967678337761513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,6575797.0,585006.0,5094069.0,-95318.0,5101157.0
,incomeBeforeTaxRatio,0.965869217329486,0.712108891896893,0.95663626905641,-0.675860797549492,0.967678337761513
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0
,netIncome,6575797.0,585006.0,5094069.0,-95318.0,5101157.0
,netIncomeRatio,0.965869217329486,0.712108891896893,0.95663626905641,-0.675860797549492,0.967678337761513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.899245067571957,0.08,0.72,-0.013332919293581,0.72
,EPSDiluted,0.899245067571957,0.08,0.72,-0.013332919293581,0.72
,weightedAverageShsOut,7312575.0,7312575.0,7075096.0,7149072.0,7084940.0
,weightedAverageShsOutDil,7312575.0,7312575.0,7075096.0,7149072.0,7084940.0
