date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-02_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-360000000.0,-188000000.0,137000000.0,431000000.0,213000000.0,184000000.0,143000000.0,438000000.0,-543000000.0,-439000000.0,-441000000.0,-99000000.0,-262000000.0
,depreciationAndAmortization,186000000.0,169000000.0,195000000.0,198000000.0,202000000.0,201000000.0,190000000.0,176000000.0,173000000.0,186000000.0,186000000.0,197000000.0,194000000.0
,deferredIncomeTax,-114000000.0,-34000000.0,71000000.0,-63000000.0,124000000.0,96000000.0,77000000.0,-249000000.0,36000000.0,18000000.0,18000000.0,131000000.0,-59000000.0
,stockBasedCompensation,39000000.0,28000000.0,40000000.0,52000000.0,57000000.0,57000000.0,42000000.0,61000000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,309000000.0,824000000.0,-593000000.0,66000000.0,412000000.0,-792000000.0,142000000.0,43000000.0,593000000.0,0.0,-32000000.0,-372000000.0,501000000.0
,accountsReceivables,-4000000.0,5000000.0,7000000.0,-1000000.0,-10000000.0,-27000000.0,4000000.0,0.0,-1000000.0,-6000000.0,-6000000.0,-9000000.0,40000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,-71000000.0,9000000.0,-15000000.0,28000000.0,-53000000.0,-14000000.0,-128000000.0,-23000000.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,65000000.0,-759000000.0,-166000000.0,-232000000.0,-644000000.0,148000000.0,6000000.0,-37000000.0,-630000000.0,-630000000.0,-366000000.0,-7000000.0
,otherNonCashItems,-27000000.0,8000000.0,10000000.0,3000000.0,2000000.0,11000000.0,18000000.0,11000000.0,296000000.0,0.0,47000000.0,23000000.0,35000000.0
,netCashProvidedByOperatingActivites,748000000.0,371000000.0,394000000.0,667000000.0,587000000.0,544000000.0,423000000.0,492000000.0,-103000000.0,-192000000.0,-192000000.0,-118000000.0,341000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-95000000.0,-108000000.0,-105000000.0,-99000000.0,-87000000.0,-84000000.0,-71000000.0,-62000000.0,-54000000.0,-49000000.0,-49000000.0,-49000000.0,-40000000.0
,acquisitionsNet,0.0,0.0,0.0,-18000000.0,-95000000.0,-127000000.0,-215000000.0,-32000000.0,-3000000.0,-3000000.0,-6000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,10000000.0,4000000.0,11000000.0,15000000.0,-8000000.0,2000000.0,-12000000.0,-8000000.0,-2000000.0,0.0,6000000.0,-4000000.0,-2000000.0
,netCashUsedForInvestingActivites,-90000000.0,-117000000.0,-91000000.0,-146000000.0,-190000000.0,-209000000.0,-298000000.0,-102000000.0,-66000000.0,-49000000.0,-49000000.0,-70000000.0,-47000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-783000000.0,-643000000.0,-29000000.0,-183000000.0,-1339000000.0,-829000000.0,-748000000.0,-1055000000.0,-1660000000.0,-0.0,-1005000000.0,-5000000.0,-957000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176000000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-20000000.0,-402000000.0,-280000000.0,-195000000.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
,dividendsPaid,0.0,-31000000.0,-45000000.0,-49000000.0,-26000000.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
,otherFinancingActivites,-70000000.0,-48000000.0,-77000000.0,-66000000.0,-82000000.0,-42000000.0,-71000000.0,-59000000.0,-33000000.0,0.0,-41000000.0,-13000000.0,-22000000.0
,netCashUsedProvidedByFinancingActivities,-402000000.0,-215000000.0,-297000000.0,-570000000.0,-535000000.0,-231000000.0,-46000000.0,-530000000.0,401000000.0,192000000.0,192000000.0,124000000.0,-479000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1000000.0,0.0,-2000000.0,2000000.0,-3000000.0,-2000000.0,-2000000.0,0.0,1000000.0,0.0,0.0,1000000.0,3000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,257000000.0,-3000000.0,4000000.0,-47000000.0,-141000000.0,102000000.0,77000000.0,-140000000.0,233000000.0,-49000000.0,-49000000.0,-63000000.0,-182000000.0
,cashAtEndOfPeriod,523000000.0,235000000.0,238000000.0,234000000.0,274000000.0,415000000.0,313000000.0,236000000.0,376000000.0,143000000.0,143000000.0,192000000.0,255000000.0
,cashAtBeginningOfPeriod,266000000.0,238000000.0,234000000.0,281000000.0,415000000.0,313000000.0,236000000.0,376000000.0,143000000.0,192000000.0,192000000.0,255000000.0,437000000.0
