date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,379998000.0,301118000.0,229832000.0,141966000.0,68804000.0,54460000.0,40383000.0,23615000.0
,depreciationAndAmortization,29455000.0,19859000.0,14071000.0,14277000.0,13825000.0,8464000.0,3929000.0,2410000.0
,deferredIncomeTax,-1048000.0,-6663000.0,-8091000.0,3282000.0,-5073000.0,-6264000.0,-4268000.0,-1781000.0
,stockBasedCompensation,185001000.0,115906000.0,76425000.0,54049000.0,40798000.0,24258000.0,14325000.0,6950000.0
,changeInWorkingCapital,-75646000.0,-52440000.0,338932000.0,228379000.0,150396000.0,-51629000.0,99199000.0,10160000.0
,accountsReceivables,-174067000.0,-55531000.0,-78995000.0,-50673000.0,-38148000.0,-46653000.0,-34455000.0,-19738000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,754000.0,2813000.0,1822000.0,1396000.0,1113000.0,-494000.0,1290000.0,-1303000.0
,otherWorkingCapital,122741000.0,979952000.0,1032392000.0,693460000.0,465081000.0,314685000.0,366314000.0,267115000.0
,otherNonCashItems,20677000.0,20521000.0,18378000.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,551246000.0,437375000.0,310827000.0,233437000.0,144011000.0,80154000.0,67574000.0,41753000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-3113000.0,-8440000.0,-9633000.0,-6923000.0,-21153000.0,-26531000.0,-1860000.0
,acquisitionsNet,0.0,-448000000.0,0.0,0.0,0.0,-126000000.0,0.0,-12000000.0
,purchasesOfInvestments,-979292000.0,-752518000.0,-726379000.0,-437858000.0,-314847000.0,-313357000.0,-401955000.0,-21403000.0
,salesMaturitiesOfInvestments,654341000.0,688091000.0,632329000.0,294705000.0,225600000.0,364968000.0,156860000.0,9700000.0
,otherInvestingActivites,-8683000.0,0.0,0.0,-202000.0,102000.0,41000.0,21000.0,253000.0
,netCashUsedForInvestingActivites,-333634000.0,-516910000.0,-103869000.0,-154722000.0,-96652000.0,-96683000.0,-272018000.0,-26576000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1039000.0,-984000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,34172000.0,214523000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,25614000.0,13521000.0,25326000.0,174000.0
,netCashUsedProvidedByFinancingActivities,33818000.0,10010000.0,25910000.0,20773000.0,37976000.0,19406000.0,71262000.0,215440000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,484000.0,-2856000.0,-2077000.0,3089000.0,92000.0,49000.0,-72000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,251914000.0,-72381000.0,230791000.0,102577000.0,85427000.0,2926000.0,-133254000.0,230617000.0
,cashAtEndOfPeriod,731711000.0,479797000.0,552178000.0,320183000.0,217606000.0,132179000.0,129253000.0,262507000.0
,cashAtBeginningOfPeriod,479797000.0,552178000.0,321387000.0,217606000.0,132179000.0,129253000.0,262507000.0,31890000.0
,operatingCashFlow,551246000.0,437375000.0,310827000.0,233437000.0,144011000.0,80154000.0,67574000.0,41753000.0
,capitalExpenditure,0.0,-4321000.0,-9819000.0,-11367000.0,-7507000.0,-22152000.0,-26944000.0,-2977000.0
,freeCashFlow,551246000.0,433054000.0,301008000.0,222070000.0,136504000.0,58002000.0,40630000.0,38776000.0
