date,,2020-11-30_FY,2017-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-3939098.0,247458610.0
,depreciationAndAmortization,0.0,0.0
,deferredIncomeTax,0.0,0.0
,stockBasedCompensation,0.0,0.0
,changeInWorkingCapital,787316.0,583683.0
,accountsReceivables,0.0,0.0
,inventory,0.0,0.0
,accountsPayables,0.0,0.0
,otherWorkingCapital,0.0,0.0
,otherNonCashItems,-769935.0,0.0
,netCashProvidedByOperatingActivites,-140092411.0,44118854.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0
,acquisitionsNet,0.0,0.0
,purchasesOfInvestments,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0
,otherInvestingActivites,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,-41793909.0,-816074.0
,dividendsPaid,-40925259.0,-43280510.0
,otherFinancingActivites,222735444.0,0.0
,netCashUsedProvidedByFinancingActivities,140016276.0,-44096584.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,98.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,140016276.0,22368.0
,cashAtEndOfPeriod,0.0,28618.0
,cashAtBeginningOfPeriod,76135.0,6250.0
,operatingCashFlow,-140092411.0,44118854.0
,capitalExpenditure,0.0,0.0
,freeCashFlow,-140092411.0,44118854.0
