date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,71374488.0,30580790.0,45475880.0,90611340.0,95367820.0,78097700.0,49987990.0,63400000.0,27500000.0,6728845.0,70527552.0
,depreciationAndAmortization,0.0,0.0,0.0,2131838.0,-14514060.0,4329371.0,6085664.0,-55997303.0,-3450486.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,4753671.0,5840346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,23841630.0,21337785.0,-13529368.0,1196881.0,2797314.0,18086230.0,-22714967.0,-464731.0,22314964.0,40533306.0,-13380260.0
,accountsReceivables,0.0,1316667.0,0.0,-431483.0,0.0,10961369.0,-7355405.0,4121451.0,-3430145.0,-892532.0,-1124026.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3934.0,33547.0
,otherWorkingCapital,0.0,6900119.0,4061632.0,53131277.0,28576258.0,16698975.0,15725642.0,-15818.0,-6664811.0,0.0,0.0
,otherNonCashItems,-13714192.0,42639280.0,28774430.0,1041740.0,-17817700.0,1891660.0,17560750.0,-11740000.0,8350000.0,-159994.0,-6646162.0
,netCashProvidedByOperatingActivites,122325677.0,4693350.0,-46370550.0,-128218000.0,-46083700.0,40988830.0,-368067470.0,-195510000.0,-88440000.0,76762468.0,-52990622.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,13057446.0,908759.0,-854061998.0,-580837984.0,-494117029.0,-663469748.0,-468467273.0,-356251448.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,655674364.0,473457512.0,456059137.0,266008974.0,235641665.0,211216033.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-613991654.0,0.0,0.0,-584500000.0,-598500000.0,-338000000.0,-435500000.0,-3125685.0,0.0,-122000000.0,-217000000.0
,commonStockIssued,6253.0,0.0,0.0,94460898.0,34958570.0,3946066.0,207559903.0,224562890.0,80961755.0,0.0,0.0
,commonStockRepurchased,-6100190.0,-125680.0,-1046480.0,94460900.0,33079020.0,-130176810.0,207559900.0,224560000.0,80960000.0,-23500.0,0.0
,dividendsPaid,-76612359.0,-84622900.0,-84693500.0,-82610360.0,-73975200.0,-71629070.0,-64557560.0,-42020000.0,-30350000.0,-52657033.0,-25712091.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-147167636.0,12234783.0,-12334290.0,161263371.0,64034131.0,-32628182.0,372352084.0,200455779.0,95640434.0,-73680533.0,-50712091.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-24841959.0,16928140.0,-58704840.0,33045370.0,17950430.0,8360640.0,4284610.0,4950000.0,7200000.0,3081935.0,-103702713.0
,cashAtEndOfPeriod,20006580.0,44848540.0,27920400.0,86625240.0,53579870.0,35629430.0,27284610.0,22950000.0,18000000.0,10831678.0,7749743.0
,cashAtBeginningOfPeriod,44848539.0,27920400.0,86625240.0,53579870.0,35629440.0,27268790.0,23000000.0,18000000.0,10800000.0,7749743.0,111452456.0
,operatingCashFlow,122325677.0,4693350.0,-46370550.0,-128218000.0,-46083700.0,40988830.0,-368067470.0,-195510000.0,-88440000.0,76762468.0,-52990622.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,122325677.0,4693350.0,-46370550.0,-128218000.0,-46083700.0,40988830.0,-368067470.0,-195510000.0,-88440000.0,76762468.0,-52990622.0
