date,,2020-12-31_FY,2019-12-26_FY,2018-12-27_FY,2017-12-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,194981000.0,150631000.0,116187000.0,102788000.0
,depreciationAndAmortization,91640000.0,74001000.0,51992000.0,38062000.0
,deferredIncomeTax,9614000.0,-10584000.0,-968000.0,-557000.0
,stockBasedCompensation,16115000.0,8711000.0,6514000.0,4959000.0
,changeInWorkingCapital,-148603380.0,-6228000.0,11261000.0,51411000.0
,accountsReceivables,18874000.0,-17850000.0,-13486000.0,-19508000.0
,inventory,-72135000.0,-110851000.0,-53557000.0,-134248000.0
,accountsPayables,49439000.0,54956000.0,54773000.0,100264000.0
,otherWorkingCapital,341620.0,148945000.0,155173000.0,143912000.0
,otherNonCashItems,0.0,15194000.0,1831000.0,7218000.0
,netCashProvidedByOperatingActivites,406164000.0,204658000.0,185624000.0,109207000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-212448000.0,-196008000.0,-151397000.0,-102253000.0
,acquisitionsNet,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-212448000.0,-196008000.0,-151397000.0,-102253000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,12670000.0,-3500000.0,-3500000.0,-197500000.0
,commonStockIssued,0.0,0.0,0.0,192336000.0
,commonStockRepurchased,0.0,21243000.0,10531000.0,201210000.0
,dividendsPaid,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,21243000.0,-30639000.0,-1129000.0
,netCashUsedProvidedByFinancingActivities,87019000.0,17743000.0,-34139000.0,-6849000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,280735000.0,26393000.0,88000.0,105000.0
,cashAtEndOfPeriod,307772000.0,27037000.0,644000.0,556000.0
,cashAtBeginningOfPeriod,27037000.0,644000.0,556000.0,451000.0
,operatingCashFlow,406164000.0,204658000.0,185624000.0,109207000.0
,capitalExpenditure,-212448000.0,-196008000.0,-151397000.0,-102253000.0
,freeCashFlow,193716000.0,8650000.0,34227000.0,6954000.0
