date,,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY,2012-01-31_FY
,revenue,886401000.0,849129000.0,809671000.0,779956000.0,706764000.0,660003000.0,643163000.0,526942000.0,376551000.0
,costOfRevenue,589768000.0,564199000.0,535811000.0,516726000.0,468234000.0,444796000.0,435933000.0,364326000.0,259354000.0
,grossProfit,296633000.0,284930000.0,273860000.0,263230000.0,238530000.0,215207000.0,207230000.0,162616000.0,117197000.0
,grossProfitRatio,0.334648765062314,0.335555610513832,0.338236147768662,0.337493397063424,0.337495967536547,0.326069729986076,0.322204480046271,0.308603223884223,0.311238052747171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,263169000.0,240911000.0,227292000.0,202543000.0,179218000.0,170315000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,263169000.0,240911000.0,227292000.0,202543000.0,179218000.0,170315000.0,0.0,0.0,0.0
,costAndExpenses,852937000.0,805110000.0,763103000.0,719269000.0,647452000.0,615111000.0,583073000.0,473734000.0,349013000.0
,interestExpense,7995000.0,13206000.0,13738000.0,13402000.0,14156000.0,22480000.0,25447000.0,6321000.0,4392000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,19320000.0,18250000.0,17706000.0,13974000.0,11569000.0,9150000.0,13229000.0,3431000.0,3816000.0
,EBITDA,52784000.0,62269000.0,64274000.0,74661000.0,70881000.0,54042000.0,73319000.0,56639000.0,31354000.0
,EBITDARatio,0.0595486692817359,0.0733327916017472,0.079382860445786,0.0957246306201888,0.100289488428952,0.0818814459934273,0.113997540281391,0.107486212903887,0.0832662773435736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,33464000.0,44019000.0,46568000.0,60687000.0,59312000.0,44892000.0,60090000.0,53208000.0,27538000.0
,operatingIncomeRatio,0.0377526649902245,0.0518401797606724,0.0575147189413972,0.0778082353363523,0.0839205166080898,0.0680178726460334,0.0934288819475001,0.100975059873762,0.0731321919208819
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,-55000.0,263000.0,-919000.0
,incomeBeforeTax,25469000.0,30813000.0,32830000.0,47285000.0,45156000.0,22412000.0,34588000.0,47150000.0,22227000.0
,incomeBeforeTaxRatio,0.0287330452018894,0.0362877725292623,0.0405473334230817,0.0606252147557042,0.0638911998913357,0.0339574214056603,0.0537779691928796,0.0894785384349701,0.0590278607678641
,incomeTaxExpense,5254000.0,7063000.0,15088000.0,17616000.0,17385000.0,8628000.0,12838000.0,19076000.0,-11467000.0
,netIncome,20215000.0,23750000.0,17742000.0,29669000.0,27771000.0,13784000.0,21750000.0,28074000.0,33694000.0
,netIncomeRatio,0.0228057053184732,0.0279698373274261,0.0219126040082947,0.0380393252952731,0.0392931728271389,0.0208847535541505,0.0338172438402085,0.0532772107746204,0.0894805750084318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.46377,0.5526,0.41724,0.69834,0.656,0.344936312905082,0.52,0.676172,0.811532
,EPSDiluted,0.46377,0.5526,0.41724,0.69834,0.656,0.3433895518298,0.52,0.675928,0.811239
,weightedAverageShsOut,43588000.0,42979000.0,42522000.0,42485000.0,42334000.0,39961000.0,41519000.0,41519000.0,41519000.0
,weightedAverageShsOutDil,43588000.0,42979000.0,42522000.0,42485000.0,42334000.0,40141000.0,41534000.0,41534000.0,41534000.0
