Date,2017-12-31,2017-12,2016-12-25,2016-12,2015-12-27,2015-12,2014-12-28,2014-12,2013-12-29,2013-12
Revenue,3144002000.0,3144000000.0,3127938000.0,3128000000.0,2655792000.0,2656000000.0,2591183000.0,2591000000.0,2463802000.0,2464000000.0
Revenue Growth,0.000000636132315521628,0.00513501226686718,-0.0000198209718670077,0.177803080964172,-0.0000783132530120482,0.0250144432099161,0.0000706291007333076,0.0516267135102577,-0.0000803571428571429,
Cost of Revenue,2275854000.0,2276000000.0,2211864000.0,2212000000.0,1915286000.0,1915000000.0,1909985000.0,1910000000.0,1809553000.0,1810000000.0
Gross Profit,868148000.0,868000000.0,916074000.0,916000000.0,740506000.0,741000000.0,681198000.0,681000000.0,654249000.0,654000000.0
R&D Expenses,16070000.0,16000000.0,18113000.0,18000000.0,12992000.0,13000000.0,11281000.0,11000000.0,10516000.0,11000000.0
SG&A Expense,324003000.0,324000000.0,381316000.0,381000000.0,283706000.0,284000000.0,294647000.0,295000000.0,295492000.0,295000000.0
Operating Expenses,419492000.0,355000000.0,436429000.0,415000000.0,315804000.0,309000000.0,305928000.0,318000000.0,361212000.0,321000000.0
Operating Income,448656000.0,513000000.0,479645000.0,501000000.0,424702000.0,431000000.0,512271000.0,363000000.0,293037000.0,333000000.0
Interest Expense,169587000.0,117000000.0,139243000.0,121000000.0,88513000.0,81000000.0,96174000.0,89000000.0,132354000.0,104000000.0
Earnings before Tax,279222000.0,279000000.0,340547000.0,341000000.0,336387000.0,336000000.0,416218000.0,416000000.0,158190000.0,161000000.0
Income Tax Expense,-252999000.0,-253000000.0,129430000.0,129000000.0,123879000.0,124000000.0,167800000.0,168000000.0,71475000.0,71000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,532049000.0,532000000.0,211117000.0,211000000.0,212508000.0,213000000.0,248418000.0,248000000.0,89349000.0,89000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income Com,532049000.0,532000000.0,211117000.0,211000000.0,212508000.0,213000000.0,248418000.0,248000000.0,89349000.0,89000000.0
EPS,4.5,4.50,1.81,1.81,1.83,1.83,2.15,2.15,0.84,0.84
EPS Diluted,4.45,4.45,1.79,1.79,1.81,1.81,2.13,2.13,0.82,0.82
Weighted Average Shs Out,118140957.0,118000000.0,116871948.0,117000000.0,116032000.0,116000000.0,115697621.0,116000000.0,106841198.0,107000000.0
Weighted Average Shs Out (Dil),119552000.0,120000000.0,118160704.0,118000000.0,117322526.0,117000000.0,116885222.0,117000000.0,108618740.0,109000000.0
Dividend per Share,1.17721158994,,1.03968574866,,0.952570693884,,0.869280121656,,0.383580218294,
Gross Margin,0.276128323074,0.27608142493639,0.292868336904,0.29283887468031,0.278826805714,0.27899096385542,0.262890733692,0.26283288305673,0.265544471512,0.26542207792208
EBITDA Margin,0.186474754151,0.16825699745547,0.190211890389,0.18126598465473,0.196067689036,0.19088855421687,0.231324842746,0.22616750289464,0.15302000729,0.13920454545455
EBIT Margin,0.142702199299,0.12595419847328,0.153342233766,0.14737851662404,0.15991538494,0.15737951807229,0.197697731114,0.19490544191432,0.118936911326,0.10714285714286
Profit Margin,0.16922667352,0.16921119592875,0.0674939848552,0.067455242966752,0.0800168085452,0.08019578313253,0.0958704962174,0.095715939791586,0.0362646836069,0.03612012987013
Free Cash Flow margin,0.102330405642,,0.123549124056,,0.0995687915319,,0.172794819972,,0.0723219641838,
EBITDA,586277000.0,529000000.0,594971000.0,567000000.0,520715000.0,507000000.0,599405000.0,586000000.0,377011000.0,343000000.0
EBIT,448656000.0,396000000,479645000.0,461000000,424702000.0,418000000,512271000.0,505000000,293037000.0,264000000
Consolidated Income,532049000.0,532000000.0,211117000.0,211000000.0,212508000.0,213000000.0,248418000.0,248000000.0,89349000.0,89000000.0
Earnings Before Tax Margin,0.0888110122067,0.088740458015267,0.108872682259,0.10901534526854,0.126661651214,0.12650602409639,0.160628562321,0.16055576997298,0.0642056463953,0.065340909090909
Net Profit Margin,0.16922667352,0.16921119592875,0.0674939848552,0.067455242966752,0.0800168085452,0.08019578313253,0.0958704962174,0.095715939791586,0.0362646836069,0.03612012987013
