date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,108085000.0,40893000.0,30336000.0,1605000.0,154000.0,250000.0,229000.0,387000.0,634000.0,152000.0
,costOfRevenue,2705000.0,2407000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,105380000.0,38486000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.974973400564371,0.941139070256523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,150813000.0,122340000.0,161372000.0,107273000.0,86938000.0,97744000.0,60127000.0,28452000.0,14095000.0,8623000.0
,GeneralAndAdministrativeExpenses,126417000.0,105421000.0,48847000.0,24870000.0,23948000.0,21582000.0,15948000.0,5885000.0,2429000.0,1840000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,206000.0,-50000.0,-33000.0,-81000.0,10000.0,-2000.0,-27000.0,0.0,0.0,0.0
,operatingExpenses,277230000.0,227761000.0,210219000.0,132143000.0,110886000.0,119326000.0,76075000.0,34337000.0,0.0,0.0
,costAndExpenses,279935000.0,230168000.0,210219000.0,132143000.0,110886000.0,119326000.0,76075000.0,34337000.0,16524000.0,10463000.0
,interestExpense,27140000.0,15647000.0,2493000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,972000.0,974000.0,735000.0,713000.0,717000.0,634000.0,323000.0,144000.0,122000.0,83000.0
,EBITDA,-170878000.0,-188301000.0,-179148000.0,-129825000.0,-110015000.0,-118442000.0,-75523000.0,-33806000.0,-15768000.0,-10228000.0
,EBITDARatio,-1.58095943007818,-4.60472452497982,-5.90545886075949,-80.8878504672897,-714.383116883117,-473.768,-329.794759825328,-87.3540051679587,-24.8706624605678,-67.2894736842105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-171850000.0,-189275000.0,-179883000.0,-130538000.0,-110732000.0,-119076000.0,-75846000.0,-33950000.0,-15890000.0,-10311000.0
,operatingIncomeRatio,-1.58995235231531,-4.62854278238329,-5.9296875,-81.3320872274143,-719.038961038961,-476.304,-331.205240174672,-87.7260981912145,-25.0630914826498,-67.8355263157895
,totalOtherIncomeExpensesNet,206000.0,-50000.0,-33000.0,-81000.0,10000.0,-2000.0,-27000.0,0.0,0.0,0.0
,incomeBeforeTax,-195964000.0,-199550000.0,-178381000.0,-128921000.0,-109438000.0,-118181000.0,-75777000.0,-33947000.0,-15888000.0,-10311000.0
,incomeBeforeTaxRatio,-1.81305454040801,-4.87980828014575,-5.88017536919831,-80.3246105919003,-710.636363636364,-472.724,-330.903930131004,-87.71834625323,-25.0599369085174,-67.8355263157895
,incomeTaxExpense,309000.0,40000.0,26000.0,63000.0,139000.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-196273000.0,-199590000.0,-178407000.0,-128984000.0,-109577000.0,-118181000.0,-75777000.0,-33947000.0,-15888000.0,-10311000.0
,netIncomeRatio,-1.81591340148957,-4.88078644266745,-5.88103243670886,-80.3638629283489,-711.538961038961,-472.724,-330.903930131004,-87.71834625323,-25.0599369085174,-67.8355263157895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.72,-3.22,-3.14,-2.81,-2.92,-3.32,-2.43,-5.59,-2.74,-1.052471
,EPSDiluted,-2.72,-3.22,-3.14,-2.81,-2.92,-3.32,-2.43,-5.59,-2.74,-1.052471
,weightedAverageShsOut,72044000.0,61955420.0,56799699.0,45899784.0,37523051.0,35619506.0,31135694.0,6067679.0,5799420.0,9796943.0
,weightedAverageShsOutDil,72044000.0,61955420.0,56799699.0,45899784.0,37523051.0,35619506.0,31135694.0,6067679.0,5799420.0,9796943.0
